,customer,driver_id,end_time,km,start_time
0,aminach,369,2015-04-01 07:04:00,569.2794784559678,2015-04-01 00:14:00
1,iaf,597,2015-04-01 14:37:00,79.3639951857249,2015-04-01 13:30:00
2,tnuva,325,2015-04-02 05:50:00,150.2571032346099,2015-04-02 03:30:00
3,tara,652,2015-04-02 23:21:00,533.1817055847936,2015-04-02 15:48:00
4,osem,145,2015-04-03 01:19:00,46.788449836310264,2015-04-03 00:40:00
5,electricity,318,2015-04-03 13:35:00,65.70150352527119,2015-04-03 12:40:00
6,bituch_leumi,631,2015-04-04 03:16:00,82.0207162574778,2015-04-04 02:05:00
7,osem,576,2015-04-04 18:21:00,314.1642147615432,2015-04-04 14:17:00
8,osem,198,2015-04-05 04:38:00,115.20594941519555,2015-04-05 03:13:00
9,electricity,598,2015-04-05 23:35:00,524.030324384536,2015-04-05 15:44:00
10,intel,745,2015-04-06 03:10:00,56.69038186717037,2015-04-06 02:20:00
11,angel,765,2015-04-06 19:18:00,371.0792319994034,2015-04-06 14:19:00
12,iaf,828,2015-04-07 01:17:00,70.32115135772986,2015-04-07 00:17:00
13,bituch_leumi,448,2015-04-07 18:12:00,313.86447717708234,2015-04-07 13:49:00
14,intel,755,2015-04-08 02:15:00,101.98270519248389,2015-04-08 01:03:00
15,bituch_leumi,493,2015-04-08 16:43:00,136.63195392296274,2015-04-08 15:10:00
16,hot,117,2015-04-09 10:04:00,683.7043768277694,2015-04-09 02:17:00
17,jerusalem_muni,262,2015-04-09 15:31:00,230.89870927659234,2015-04-09 12:50:00
18,electricity,123,2015-04-09 07:33:00,472.7468279243478,
19,yes,358,2015-04-10 16:23:00,115.86228927786811,2015-04-10 14:56:00
20,jerusalem_muni,607,2015-04-11 09:11:00,499.2864343634759,2015-04-11 03:33:00
21,electricity,351,2015-04-11 18:19:00,387.24456238131734,2015-04-11 12:34:00
22,tnuva,146,2015-04-12 08:08:00,322.6324063605383,2015-04-12 03:59:00
23,aminach,640,2015-04-12 17:00:00,291.6119203735846,2015-04-12 13:44:00
24,aminach,890,2015-04-13 00:53:00,41.11709483544317,2015-04-13 00:18:00
25,bituch_leumi,133,2015-04-13 19:35:00,581.3392017284256,2015-04-13 12:55:00
26,electricity,996,2015-04-14 08:07:00,478.67416634534163,2015-04-14 00:20:00
27,angel,768,2015-04-14 18:42:00,382.8909490358885,2015-04-14 14:16:00
28,aminach,237,2015-04-15 10:28:00,489.2593107055987,2015-04-15 02:36:00
29,yes,750,2015-04-15 20:45:00,469.8813450143098,2015-04-15 13:22:00
30,electricity,448,2015-04-16 09:32:00,442.3572781178348,2015-04-16 02:36:00
31,intel,87,2015-04-16 16:48:00,278.9893905044274,2015-04-16 12:59:00
32,electricity,157,2015-04-17 04:23:00,257.78584425317956,2015-04-17 00:39:00
33,intel,126,,337.30798531060873,2015-04-17 13:26:00
34,yes,294,2015-04-18 10:13:00,436.61978855865334,2015-04-18 03:50:00
35,iaf,680,2015-04-18 13:30:00,84.30737191048345,2015-04-18 12:24:00
36,osem,671,2015-04-19 06:48:00,448.0373014123529,2015-04-19 00:56:00
37,angel,272,2015-04-19 16:52:00,233.0658071531593,2015-04-19 13:18:00
38,osem,430,2015-04-20 02:10:00,87.90594041266647,2015-04-20 00:49:00
39,jerusalem_muni,516,2015-04-20 16:02:00,202.75274406395292,2015-04-20 13:27:00
40,tara,153,2015-04-21 04:11:00,188.98978175324274,2015-04-21 01:40:00
41,hot,487,2015-04-21 17:16:00,155.7035784966665,2015-04-21 14:57:00
42,tnuva,708,2015-04-22 09:38:00,456.5168999950689,2015-04-22 03:53:00
43,hot,231,2015-04-22 18:24:00,405.46347601087916,2015-04-22 13:32:00
44,tnuva,192,2015-04-23 02:01:00,127.00713750449555,2015-04-23 00:32:00
45,osem,970,2015-04-23 20:45:00,595.0632481599935,2015-04-23 13:37:00
46,hot,792,2015-04-24 06:12:00,294.72325001247975,2015-04-24 01:42:00
47,yes,509,2015-04-24 15:49:00,59.55807330891588,2015-04-24 14:54:00
48,electricity,162,2015-04-25 04:42:00,219.96797699672814,2015-04-25 01:03:00
49,osem,804,2015-04-25 15:30:00,61.8164526399765,2015-04-25 14:36:00
50,yes,619,2015-04-26 08:54:00,552.048787241898,2015-04-26 02:30:00
51,osem,685,2015-04-26 12:48:00,48.98477857893311,2015-04-26 12:09:00
52,yes,710,2015-04-27 10:06:00,535.3929166898566,2015-04-27 02:53:00
53,yes,737,2015-04-27 14:16:00,72.71466327291878,2015-04-27 13:12:00
