,customer,driver_id,end_time,km,start_time
0,electricity,980,2015-01-01 04:47:00,125.52870630664782,2015-01-01 02:51:00
1,hot,698,2015-01-01 17:42:00,222.28882894822934,2015-01-01 14:05:00
2,angel,674,2015-01-02 02:57:00,42.086423604153495,2015-01-02 02:21:00
3,yes,248,2015-01-02 16:34:00,326.41673907119457,2015-01-02 12:28:00
4,electricity,341,2015-01-03 06:31:00,323.2629686550625,2015-01-03 01:25:00
5,electricity,52,2015-01-03 19:30:00,454.8554441864498,2015-01-03 13:34:00
6,yes,145,2015-01-04 08:59:00,548.4568969037446,2015-01-04 02:05:00
7,jerusalem_muni,910,2015-01-04 23:41:00,553.3701792720013,2015-01-04 15:53:00
8,angel,3,2015-01-05 03:45:00,304.3000922468046,2015-01-05 00:06:00
9,osem,715,2015-01-05 21:22:00,327.2922598508015,2015-01-05 15:58:00
10,angel,771,2015-01-06 09:36:00,396.67722357038514,2015-01-06 03:38:00
11,osem,829,2015-01-06 17:46:00,393.8649619779864,2015-01-06 12:41:00
12,jerusalem_muni,809,2015-01-06 05:52:00,158.86825040753197,
13,tara,406,2015-01-07 16:47:00,107.30742411425375,2015-01-07 15:28:00
14,intel,570,2015-01-08 05:17:00,341.3972920694766,2015-01-08 01:09:00
15,bituch_leumi,820,2015-01-08 16:06:00,73.76335958726922,2015-01-08 15:00:00
16,tara,403,2015-01-09 09:02:00,488.4314439786852,2015-01-09 01:46:00
17,electricity,798,2015-01-09 21:38:00,404.90246116656016,2015-01-09 15:30:00
18,aminach,559,2015-01-10 07:11:00,412.90914745125116,2015-01-10 00:40:00
19,aminach,652,2015-01-10 17:32:00,339.6283523546064,2015-01-10 13:11:00
20,yes,103,2015-01-11 02:39:00,137.70843579405232,2015-01-11 00:49:00
21,osem,715,2015-01-11 19:22:00,237.22022315901862,2015-01-11 15:59:00
22,bituch_leumi,349,2015-01-12 04:22:00,282.5320356080546,2015-01-12 00:28:00
23,yes,425,2015-01-12 18:08:00,231.2438440952353,2015-01-12 15:15:00
24,tnuva,729,2015-01-13 07:48:00,441.6314978475046,2015-01-13 00:50:00
25,intel,409,2015-01-13 22:48:00,479.7582161386746,2015-01-13 15:08:00
26,jerusalem_muni,69,2015-01-14 05:04:00,328.7238105347869,2015-01-14 01:03:00
27,intel,189,2015-01-14 22:03:00,589.0295861495854,2015-01-14 15:25:00
28,bituch_leumi,744,2015-01-15 09:02:00,557.4173490486793,2015-01-15 01:54:00
29,tnuva,720,2015-01-15 17:08:00,202.0764689761896,2015-01-15 14:09:00
30,tara,525,2015-01-16 05:49:00,295.92606983945853,2015-01-16 02:04:00
31,hot,716,2015-01-16 17:22:00,174.19410019683554,2015-01-16 15:02:00
32,iaf,95,2015-01-17 08:08:00,607.4866522200967,2015-01-17 00:54:00
33,electricity,23,2015-01-17 15:52:00,90.6973754977676,2015-01-17 14:43:00
34,intel,621,2015-01-18 10:02:00,553.2450614223721,2015-01-18 02:38:00
35,tara,120,2015-01-18 17:57:00,373.69098360122297,2015-01-18 13:40:00
36,intel,390,2015-01-19 08:49:00,582.9319110959964,2015-01-19 02:09:00
37,bituch_leumi,206,2015-01-19 20:30:00,592.5015134607697,2015-01-19 13:29:00
38,intel,914,2015-01-20 09:36:00,475.8354100864349,2015-01-20 03:06:00
39,iaf,424,2015-01-22 01:20:00,2714.6744915544186,2015-01-20 12:09:00
40,iaf,264,2015-01-22 16:05:00,3530.4750597060656,2015-01-21 00:48:00
41,electricity,232,2015-01-21 22:26:00,503.2666774618127,2015-01-21 14:48:00
42,tnuva,35,2015-01-22 04:44:00,77.14666705995802,2015-01-22 03:36:00
43,iaf,896,2015-01-22 20:37:00,494.27421835465253,2015-01-22 14:30:00
44,osem,630,2015-01-23 08:45:00,448.13921515098326,2015-01-23 02:26:00
45,hot,158,2015-01-23 19:06:00,242.8925225686149,2015-01-23 15:10:00
46,angel,162,2015-01-24 08:18:00,424.4674775214148,2015-01-24 02:42:00
47,jerusalem_muni,245,2015-01-24 13:52:00,92.56330018098005,2015-01-24 12:42:00
48,jerusalem_muni,758,2015-01-25 04:10:00,122.53825123157073,2015-01-25 02:36:00
49,bituch_leumi,474,2015-01-25 21:53:00,486.616419196246,2015-01-25 15:09:00
50,iaf,606,2015-01-26 05:52:00,334.91489238467943,2015-01-26 01:18:00
51,yes,838,2015-01-26 17:42:00,283.0437353282591,2015-01-26 13:29:00
52,tara,141,2015-01-27 07:21:00,226.58655011081458,2015-01-27 03:58:00
53,tnuva,626,2015-01-27 21:32:00,440.77052012579173,2015-01-27 14:14:00
