,customer,driver_id,end_time,km,start_time
0,jerusalem_muni,162,2015-01-01 01:09:00,60.30666255736077,2015-01-01 00:21:00
1,hot,755,2015-01-01 17:17:00,147.71432784651677,2015-01-01 15:02:00
2,electricity,540,2015-01-02 03:08:00,133.62793935253876,2015-01-02 00:58:00
3,iaf,175,2015-01-02 16:08:00,236.0287337768004,2015-01-02 13:10:00
4,angel,619,2015-01-03 03:19:00,171.670174722938,2015-01-03 00:57:00
5,osem,66,2015-01-03 19:35:00,446.1828331918514,2015-01-03 12:27:00
6,bituch_leumi,840,2015-01-04 03:15:00,123.26699674856152,2015-01-04 01:24:00
7,osem,904,2015-01-03 16:11:00,326.40799419088717,
8,angel,509,2015-01-05 05:44:00,497.288548697033,2015-01-05 00:04:00
9,electricity,958,2015-01-05 14:54:00,117.48781522840841,2015-01-05 13:17:00
10,intel,759,2015-01-06 05:09:00,146.91951008680562,2015-01-06 03:22:00
11,bituch_leumi,70,,116.05255432896647,2015-01-06 14:02:00
12,intel,991,2015-01-07 08:17:00,380.4062505267603,2015-01-07 02:29:00
13,angel,629,2015-01-07 17:14:00,330.19191828588896,2015-01-07 12:01:00
14,hot,363,2015-01-08 10:52:00,640.454936010588,2015-01-08 02:56:00
15,electricity,918,2015-01-08 14:27:00,50.68672643173541,2015-01-08 13:52:00
16,osem,532,2015-01-09 06:35:00,410.4827895699017,2015-01-09 00:41:00
17,osem,413,2015-01-09 18:09:00,477.65998082337836,2015-01-09 12:46:00
18,electricity,117,2015-01-10 05:43:00,395.1693583842185,2015-01-10 00:49:00
19,hot,976,2015-01-10 20:09:00,622.8198857695321,2015-01-10 13:08:00
20,hot,109,2015-01-11 03:32:00,78.42028217001118,2015-01-11 02:23:00
21,yes,300,2015-01-11 21:58:00,606.2128370305812,2015-01-11 13:59:00
22,angel,364,2015-01-12 05:25:00,816.6354270021867,2015-01-12 01:20:00
23,bituch_leumi,308,2015-01-12 20:10:00,379.8912965885008,2015-01-12 14:38:00
24,jerusalem_muni,335,2015-01-13 02:47:00,66.56676422959214,2015-01-13 01:48:00
25,angel,620,2015-01-13 18:46:00,268.06192552056046,2015-01-13 15:41:00
26,tara,164,2015-01-14 06:58:00,377.3149388833921,2015-01-14 01:15:00
27,tnuva,666,2015-01-14 17:07:00,247.56948091000064,2015-01-14 13:47:00
28,jerusalem_muni,39,2015-01-15 07:50:00,485.8036877148401,2015-01-15 00:58:00
29,tara,663,2015-01-15 19:41:00,471.43884408442733,2015-01-15 13:03:00
30,hot,627,2015-01-16 04:00:00,117.00452041437507,2015-01-16 02:19:00
31,electricity,306,2015-01-16 21:35:00,621.4649364530022,2015-01-16 14:02:00
32,intel,703,2015-01-17 05:58:00,408.3505454419789,2015-01-17 00:46:00
33,yes,191,2015-01-16 20:40:00,431.1696794466168,
34,iaf,107,2015-01-18 06:48:00,451.004633323806,2015-01-18 01:26:00
35,intel,212,2015-01-18 17:23:00,306.62956165401755,2015-01-18 13:20:00
36,yes,501,2015-01-19 01:19:00,77.82500050177278,2015-01-19 00:07:00
37,osem,989,2015-01-19 14:04:00,52.429793753621894,2015-01-19 13:27:00
38,osem,788,2015-01-20 03:57:00,153.79146243315765,2015-01-20 01:37:00
39,hot,933,2015-01-20 22:26:00,691.6566052969231,2015-01-20 14:28:00
40,iaf,97,2015-01-21 03:18:00,32.90908581801285,2015-01-21 02:48:00
41,bituch_leumi,189,2015-01-21 16:42:00,204.24656624838894,2015-01-21 13:53:00
42,angel,552,2015-01-22 05:39:00,305.4066186129106,2015-01-22 00:46:00
43,iaf,775,2015-01-22 14:09:00,34.96910110831679,2015-01-22 13:36:00
44,aminach,851,2015-01-23 11:12:00,598.4953505628166,2015-01-23 03:27:00
45,bituch_leumi,469,2015-01-23 17:20:00,152.80939339740414,2015-01-23 15:09:00
46,intel,574,2015-01-24 09:13:00,443.95300482994526,2015-01-24 02:15:00
47,bituch_leumi,191,2015-01-24 17:37:00,313.7138444489208,2015-01-24 13:24:00
48,osem,752,2015-01-25 06:01:00,178.63546795045775,2015-01-25 03:47:00
49,aminach,490,2015-01-25 15:39:00,49.031846417158775,2015-01-25 15:00:00
50,yes,470,2015-01-26 06:13:00,512.4187844540866,2015-01-26 00:03:00
51,iaf,97,2015-01-26 19:18:00,458.463050743607,2015-01-26 13:45:00
52,jerusalem_muni,818,2015-01-27 07:33:00,368.6525652621108,2015-01-27 03:07:00
53,angel,966,2015-01-27 22:23:00,575.881964276002,2015-01-27 15:33:00
