,customer,driver_id,end_time,km,start_time
0,tnuva,39,2015-07-01 08:19:00,468.05720958543844,2015-07-01 02:36:00
1,electricity,925,2015-07-01 18:08:00,234.12798009750747,2015-07-01 14:24:00
2,iaf,92,2015-07-02 09:46:00,569.8257583969537,2015-07-02 03:14:00
3,hot,707,2015-07-02 16:16:00,304.55200380469245,2015-07-02 12:30:00
4,tnuva,698,2015-07-03 08:20:00,315.1550955539446,2015-07-03 03:39:00
5,tara,988,2015-07-03 17:44:00,378.9085016487529,2015-07-03 13:18:00
6,tnuva,831,2015-07-04 04:57:00,350.9561152215953,2015-07-04 00:02:00
7,aminach,932,2015-07-03 21:11:00,519.9099888777306,
8,bituch_leumi,205,2015-07-05 03:13:00,254.48053448160454,2015-07-05 00:03:00
9,osem,987,2015-07-05 16:05:00,275.1096531490041,2015-07-05 12:05:00
10,electricity,26,2015-07-06 03:36:00,153.75833652117296,2015-07-06 01:44:00
11,iaf,480,2015-07-06 18:01:00,370.1661408609972,2015-07-06 12:43:00
12,bituch_leumi,186,2015-07-07 07:40:00,493.4128420159203,2015-07-07 01:13:00
13,jerusalem_muni,600,2015-07-07 17:00:00,193.08732741852046,2015-07-07 14:45:00
14,iaf,611,2015-07-08 04:06:00,231.0928617189183,2015-07-08 01:31:00
15,hot,998,2015-07-08 16:32:00,301.68323120858184,2015-07-08 12:49:00
16,tara,596,2015-07-09 00:48:00,51.016094587379214,2015-07-09 00:09:00
17,intel,203,2015-07-09 19:46:00,98.08498557689381,2015-07-09 13:22:00
18,tnuva,887,2015-07-10 05:33:00,270.05506970311666,2015-07-10 02:18:00
19,electricity,682,2015-07-10 16:10:00,70.10523094313122,2015-07-10 15:01:00
20,electricity,844,2015-07-11 03:58:00,55.918296892892485,2015-07-11 03:17:00
21,tara,648,2015-07-11 20:23:00,392.8997952566764,2015-07-11 15:44:00
22,electricity,405,2015-07-12 02:01:00,116.32238025457968,2015-07-12 00:05:00
23,jerusalem_muni,559,2015-07-12 22:07:00,467.3805295899847,2015-07-12 15:40:00
24,tara,577,2015-07-13 10:55:00,488.8257283690452,2015-07-13 03:28:00
25,tara,315,2015-07-13 13:53:00,44.58870439064127,2015-07-13 13:14:00
26,osem,260,2015-07-14 07:25:00,342.4060556785372,2015-07-14 03:36:00
27,intel,630,2015-07-14 20:18:00,619.5445040541454,2015-07-14 12:37:00
28,intel,612,2015-07-15 03:14:00,117.0487851634465,2015-07-15 01:39:00
29,jerusalem_muni,500,2015-07-15 15:18:00,139.9637149530392,2015-07-15 13:32:00
30,yes,299,2015-07-16 02:31:00,116.14634264952026,2015-07-16 00:46:00
31,tnuva,683,2015-07-16 15:59:00,41.27353655723449,2015-07-16 15:28:00
32,electricity,348,2015-07-17 07:59:00,539.699317551554,2015-07-17 00:09:00
33,tnuva,512,2015-07-17 14:38:00,187.11644214783533,2015-07-17 12:10:00
34,intel,718,2015-07-18 10:29:00,553.504879103897,2015-07-18 02:59:00
35,bituch_leumi,174,2015-07-18 18:47:00,289.19872072618864,2015-07-18 15:20:00
36,jerusalem_muni,647,2015-07-19 08:57:00,528.5479684155648,2015-07-19 01:51:00
37,intel,800,2015-07-19 20:05:00,505.08299168415584,2015-07-19 12:18:00
38,bituch_leumi,457,,617.257370876449,2015-07-20 02:36:00
39,intel,549,2015-07-20 21:12:00,479.2504777684212,2015-07-20 14:45:00
40,tnuva,990,2015-07-21 04:40:00,250.6569511855717,2015-07-21 01:23:00
41,hot,850,2015-07-21 21:29:00,593.3577214806018,2015-07-21 14:17:00
42,angel,299,2015-07-22 06:12:00,426.18159211379526,2015-07-22 01:19:00
43,iaf,119,2015-07-22 16:00:00,175.41300272623943,2015-07-22 13:53:00
44,bituch_leumi,65,2015-07-23 09:21:00,528.5844114329068,2015-07-23 02:22:00
45,hot,542,2015-07-23 17:14:00,230.75790645936962,2015-07-23 14:24:00
46,aminach,52,2015-07-24 07:00:00,374.2847710667578,2015-07-24 01:51:00
47,osem,831,2015-07-24 15:43:00,210.03186171542444,2015-07-24 12:18:00
48,jerusalem_muni,547,2015-07-25 04:03:00,168.29189518757755,2015-07-25 01:32:00
49,tnuva,753,2015-07-25 20:39:00,394.59632707648797,2015-07-25 15:10:00
50,iaf,235,2015-07-26 05:59:00,273.6896635482433,2015-07-26 01:27:00
51,aminach,902,2015-07-26 17:40:00,325.66440506189963,2015-07-26 14:00:00
52,iaf,335,2015-07-27 01:52:00,74.06771373062865,2015-07-27 00:45:00
53,iaf,132,2015-07-27 15:20:00,145.20024277227046,2015-07-27 13:37:00
