,customer,driver_id,end_time,km,start_time
0,angel,538,2015-03-01 05:27:00,387.39467431019096,2015-03-01 01:00:00
1,jerusalem_muni,166,2015-03-01 14:02:00,141.64130048478714,2015-03-01 12:26:00
2,angel,757,2015-03-02 03:26:00,101.34180206575239,2015-03-02 02:05:00
3,angel,687,2015-03-01 16:46:00,293.19407548954655,
4,electricity,390,2015-03-03 05:18:00,289.076494123524,2015-03-03 01:03:00
5,tnuva,404,2015-03-03 19:21:00,561.9780030301746,2015-03-03 12:31:00
6,tara,180,2015-03-04 08:02:00,370.6028983210374,2015-03-04 02:52:00
7,jerusalem_muni,775,2015-03-04 17:16:00,234.02600409972604,2015-03-04 14:39:00
8,aminach,83,2015-03-05 05:16:00,194.73775208468385,2015-03-05 02:35:00
9,iaf,714,2015-03-05 14:37:00,75.98430169027567,2015-03-05 13:24:00
10,hot,145,2015-03-06 02:58:00,102.3458904544285,2015-03-06 01:20:00
11,yes,280,2015-03-06 13:13:00,59.95549262027404,2015-03-06 12:25:00
12,jerusalem_muni,170,2015-03-07 06:17:00,412.1585497553465,2015-03-07 01:03:00
13,electricity,420,2015-03-07 22:09:00,564.525340695625,2015-03-07 15:35:00
14,yes,828,2015-03-08 03:50:00,61.45548408204385,2015-03-08 02:50:00
15,osem,485,2015-03-08 15:01:00,82.13938940583331,2015-03-08 14:06:00
16,osem,741,2015-03-09 07:13:00,400.93676635216224,2015-03-09 01:12:00
17,angel,423,2015-03-09 18:43:00,472.5508793882765,2015-03-09 12:19:00
18,tnuva,34,2015-03-10 08:28:00,455.1516257971727,2015-03-10 01:40:00
19,tara,525,2015-03-10 19:51:00,394.7035922398826,2015-03-10 14:25:00
20,osem,304,2015-03-11 08:59:00,587.0556432773604,2015-03-11 01:50:00
21,intel,243,2015-03-11 20:02:00,317.87396961672493,2015-03-11 15:37:00
22,jerusalem_muni,35,2015-03-12 09:25:00,482.06332525697593,2015-03-12 02:31:00
23,bituch_leumi,875,2015-03-12 19:33:00,318.9062976271434,2015-03-12 14:29:00
24,iaf,553,2015-03-13 06:19:00,327.2476865154875,2015-03-13 02:39:00
25,angel,680,2015-03-13 15:29:00,46.42118429251986,2015-03-13 14:57:00
26,osem,971,2015-03-14 07:27:00,54.19763417477748,2015-03-14 03:47:00
27,tnuva,331,2015-03-14 14:45:00,148.57146449711445,2015-03-14 12:54:00
28,aminach,986,2015-03-15 09:24:00,465.14786699770906,2015-03-15 03:54:00
29,tnuva,982,2015-03-15 21:21:00,440.1927524438424,2015-03-15 15:56:00
30,intel,680,2015-03-16 07:15:00,336.086884191504,2015-03-16 02:21:00
31,hot,436,2015-03-16 16:37:00,220.04587184270883,2015-03-16 13:23:00
32,yes,496,2015-03-17 06:01:00,220.08800537978448,2015-03-17 02:22:00
33,iaf,531,2015-03-17 20:42:00,481.4401828718408,2015-03-17 14:16:00
34,aminach,837,2015-03-18 07:52:00,308.0640416908516,2015-03-18 03:47:00
35,tara,192,2015-03-18 16:22:00,295.2335176355389,2015-03-18 12:27:00
36,yes,124,2015-03-19 04:50:00,245.95941470517243,2015-03-19 00:51:00
37,tara,682,2015-03-19 15:25:00,198.70989172074084,2015-03-19 12:48:00
38,hot,205,2015-03-20 02:08:00,64.37351515945073,2015-03-20 01:21:00
39,aminach,992,2015-03-20 17:08:00,395.2553215630926,2015-03-20 12:29:00
40,intel,998,2015-03-21 09:39:00,457.28956129585316,2015-03-21 02:46:00
41,osem,596,2015-03-21 14:31:00,148.1470895915062,2015-03-21 12:11:00
42,intel,43,2015-03-22 08:04:00,567.0546356776168,2015-03-22 00:20:00
43,osem,52,2015-03-22 18:17:00,442.4132310752048,2015-03-22 12:38:00
44,bituch_leumi,14,2015-03-23 07:30:00,357.2755695194376,2015-03-23 03:24:00
45,osem,336,2015-03-23 21:47:00,648.1007566527455,2015-03-23 13:59:00
46,osem,548,2015-03-24 08:27:00,375.0669785675028,2015-03-24 02:16:00
47,tara,793,2015-03-24 22:13:00,688.3194869240568,2015-03-24 14:33:00
48,osem,321,2015-03-25 08:18:00,468.5875569144983,2015-03-25 02:25:00
49,bituch_leumi,902,2015-03-25 18:40:00,269.26765637332306,2015-03-25 15:03:00
50,hot,525,2015-03-26 06:47:00,447.81074729470873,2015-03-26 00:35:00
51,electricity,890,2015-03-26 18:58:00,527.5982430421523,2015-03-26 12:34:00
52,tnuva,546,2015-03-27 09:36:00,458.01456422523233,2015-03-27 03:29:00
53,tara,157,2015-03-27 19:05:00,397.3201855183403,2015-03-27 12:36:00
