,customer,driver_id,end_time,km,start_time
0,aminach,926,2015-03-01 05:03:00,254.5075530945985,2015-03-01 02:04:00
1,yes,896,2015-03-01 20:26:00,499.1316652813875,2015-03-01 13:59:00
2,electricity,218,2015-03-02 05:59:00,186.13455056388477,2015-03-02 03:27:00
3,jerusalem_muni,901,2015-03-02 15:38:00,245.5080159565654,2015-03-02 12:49:00
4,intel,153,2015-03-03 07:18:00,511.9118467215697,2015-03-03 00:37:00
5,angel,209,2015-03-03 21:28:00,506.5472648322399,2015-03-03 13:42:00
6,hot,71,2015-03-04 03:06:00,101.17755167267768,2015-03-04 01:26:00
7,hot,34,2015-03-04 17:00:00,382.9721773484942,2015-03-04 12:19:00
8,angel,191,2015-03-05 07:31:00,405.67347529490155,2015-03-05 02:54:00
9,intel,684,2015-03-05 15:33:00,103.92443120439377,2015-03-05 14:12:00
10,iaf,110,2015-03-06 08:15:00,494.6379330048378,2015-03-06 02:41:00
11,electricity,925,2015-03-06 17:03:00,134.3853129293234,2015-03-06 15:12:00
12,angel,29,2015-03-07 07:08:00,254.11995626472918,2015-03-07 03:54:00
13,iaf,702,2015-03-07 18:13:00,287.92857756540434,2015-03-07 14:59:00
14,tnuva,38,2015-03-08 07:28:00,277.2551488028729,2015-03-08 02:58:00
15,hot,604,2015-03-08 16:13:00,217.60028764482922,2015-03-08 13:09:00
16,hot,467,2015-03-09 05:02:00,334.3913710806375,2015-03-09 01:16:00
17,tara,51,2015-03-09 17:23:00,247.28179185515546,2015-03-09 14:28:00
18,bituch_leumi,690,2015-03-10 08:33:00,400.23770512766464,2015-03-10 02:57:00
19,jerusalem_muni,678,2015-03-10 15:39:00,93.53745322243033,2015-03-10 14:26:00
20,intel,805,2015-03-11 05:58:00,268.50037517645364,2015-03-11 01:52:00
21,tara,580,2015-03-11 22:28:00,594.4634075489439,2015-03-11 15:31:00
22,bituch_leumi,967,2015-03-12 06:42:00,207.96267740900723,2015-03-12 03:48:00
23,angel,922,2015-03-12 19:21:00,428.9627373045398,2015-03-12 13:06:00
24,tara,636,2015-03-13 07:14:00,341.1104514527885,2015-03-13 02:28:00
25,hot,698,2015-03-13 17:28:00,284.1767950770356,2015-03-13 13:18:00
26,angel,355,2015-03-14 09:21:00,552.0699639187096,2015-03-14 02:48:00
27,yes,677,2015-03-14 17:07:00,304.07077731615743,2015-03-14 12:29:00
28,hot,349,2015-03-15 02:20:00,33.57136762097778,2015-03-15 01:50:00
29,iaf,127,2015-03-15 13:48:00,133.8476215057014,2015-03-15 12:06:00
30,iaf,552,2015-03-16 08:46:00,550.8679924816475,2015-03-16 02:15:00
31,electricity,991,2015-03-16 22:08:00,481.26019492029235,2015-03-16 14:11:00
32,osem,384,2015-03-17 06:03:00,367.26047064600175,2015-03-17 00:51:00
33,osem,96,2015-03-17 21:48:00,529.0400790538142,2015-03-17 14:28:00
34,intel,87,2015-03-18 03:32:00,78.88976658751302,2015-03-18 02:34:00
35,angel,587,2015-03-18 19:24:00,464.15753768529504,2015-03-18 13:52:00
36,yes,783,2015-03-19 05:09:00,158.3057865738534,2015-03-19 02:42:00
37,bituch_leumi,914,2015-03-19 15:29:00,66.08746022711435,2015-03-19 14:41:00
38,tara,373,2015-03-20 04:56:00,273.2554187500399,2015-03-20 01:26:00
39,bituch_leumi,841,2015-03-20 20:44:00,342.24780322362454,2015-03-20 15:32:00
40,iaf,960,2015-03-21 05:36:00,167.5320224853647,2015-03-21 02:52:00
41,angel,369,2015-03-21 18:20:00,408.8504774489525,2015-03-21 13:47:00
42,iaf,917,2015-03-22 06:43:00,386.8891062010824,2015-03-22 01:59:00
43,tara,688,2015-03-22 19:20:00,387.6255987375993,2015-03-22 13:00:00
44,hot,45,2015-03-23 04:26:00,283.8120027228455,2015-03-23 00:49:00
45,angel,593,2015-03-23 14:10:00,157.52545053893027,2015-03-23 12:18:00
46,intel,687,2015-03-24 07:39:00,265.2097721153162,2015-03-24 03:36:00
47,yes,189,2015-03-24 22:04:00,520.0188344014664,2015-03-24 15:12:00
48,iaf,749,2015-03-25 03:46:00,322.13988719810595,2015-03-25 00:03:00
49,yes,734,2015-03-25 15:31:00,104.2921780163364,2015-03-25 14:09:00
50,bituch_leumi,745,2015-03-26 06:10:00,219.2783858825047,2015-03-26 03:40:00
51,jerusalem_muni,836,2015-03-26 13:54:00,50.8923019993483,2015-03-26 13:12:00
52,hot,778,2015-03-27 05:24:00,106.49539607599237,2015-03-27 03:57:00
53,intel,718,2015-03-27 15:48:00,223.2081725574624,2015-03-27 13:11:00
