,customer,driver_id,end_time,km,start_time
0,bituch_leumi,497,2015-04-01 04:06:00,144.67562958509106,2015-04-01 01:53:00
1,osem,133,2015-04-01 16:10:00,148.31349712346085,2015-04-01 14:19:00
2,tnuva,641,2015-04-02 05:07:00,311.52242969806764,2015-04-02 00:37:00
3,angel,488,2015-04-02 22:04:00,526.9698264950648,2015-04-02 15:19:00
4,tara,445,2015-04-03 04:54:00,169.42528167008078,2015-04-03 02:29:00
5,angel,436,2015-04-03 21:38:00,464.59162569294807,2015-04-03 14:55:00
6,angel,29,2015-04-04 07:32:00,624.8098477453462,2015-04-04 00:00:00
7,electricity,780,2015-04-04 20:21:00,474.3816100797014,2015-04-04 14:40:00
8,aminach,707,2015-04-05 04:00:00,242.4953868705802,2015-04-05 00:55:00
9,bituch_leumi,649,2015-04-05 20:29:00,571.6746250210958,2015-04-05 12:54:00
10,tnuva,640,2015-04-06 08:38:00,443.33106342265484,2015-04-06 03:00:00
11,intel,32,2015-04-06 16:25:00,322.1244345530256,2015-04-06 12:19:00
12,yes,912,2015-04-07 05:52:00,158.29165604188125,2015-04-07 03:25:00
13,hot,674,2015-04-07 18:00:00,371.71532910147954,2015-04-07 13:21:00
14,osem,22,2015-04-08 07:37:00,317.4677563005478,2015-04-08 03:46:00
15,bituch_leumi,65,2015-04-08 21:42:00,571.5064572884893,2015-04-08 15:05:00
16,aminach,818,2015-04-09 07:15:00,66.61075065260198,2015-04-09 02:03:00
17,intel,344,2015-04-09 21:25:00,670.3236704329807,2015-04-09 13:58:00
18,intel,984,2015-04-10 07:19:00,481.2434626139211,2015-04-10 00:38:00
19,angel,188,2015-04-10 18:56:00,267.4764046975673,2015-04-10 14:50:00
20,aminach,841,2015-04-11 11:26:00,623.8018940368618,2015-04-11 03:59:00
21,aminach,687,2015-04-11 15:20:00,214.91913043233532,2015-04-11 12:26:00
22,hot,568,2015-04-12 04:34:00,283.38374438238355,2015-04-12 01:25:00
23,electricity,749,2015-04-12 18:18:00,372.90064891210085,2015-04-12 12:51:00
24,electricity,850,2015-04-13 07:05:00,375.58488508651743,2015-04-13 01:08:00
25,electricity,658,2015-04-13 15:21:00,207.225198538231,2015-04-13 12:28:00
26,tara,809,2015-04-14 10:28:00,503.39189317880437,2015-04-14 03:16:00
27,electricity,283,2015-04-16 01:23:00,2526.1332476187736,2015-04-14 13:30:00
28,yes,951,2015-04-15 03:47:00,196.83504423152698,2015-04-15 00:57:00
29,tnuva,279,2015-04-15 18:14:00,250.5679131673729,2015-04-15 14:07:00
30,yes,958,2015-04-16 07:58:00,492.2494018177118,2015-04-16 00:35:00
31,hot,39,2015-04-16 16:40:00,75.63947438608811,2015-04-16 15:36:00
32,yes,684,2015-04-17 04:03:00,108.29028775345499,2015-04-17 02:35:00
33,jerusalem_muni,325,2015-04-17 14:43:00,85.52982334993077,2015-04-17 13:36:00
34,intel,385,2015-04-18 05:52:00,392.71756760563966,2015-04-18 00:43:00
35,iaf,733,2015-04-18 19:19:00,279.06966865391905,2015-04-18 15:14:00
36,intel,566,2015-04-19 05:47:00,216.37774267841547,2015-04-19 02:20:00
37,bituch_leumi,941,2015-04-19 20:43:00,346.39500821877846,2015-04-19 15:09:00
38,bituch_leumi,246,2015-04-20 04:27:00,224.90926881119594,2015-04-20 01:02:00
39,osem,207,2015-04-20 22:56:00,670.9056066161509,2015-04-20 14:57:00
40,hot,477,2015-04-21 10:26:00,126.3776547383129,2015-04-21 02:53:00
41,bituch_leumi,923,2015-04-21 19:15:00,254.93734493248238,2015-04-21 15:40:00
42,bituch_leumi,814,2015-04-22 10:39:00,612.8321542702813,2015-04-22 03:15:00
43,hot,16,2015-04-22 22:53:00,617.1811159577951,2015-04-22 15:37:00
44,bituch_leumi,922,2015-04-23 09:59:00,440.0436223605121,2015-04-23 03:41:00
45,bituch_leumi,761,2015-04-23 20:02:00,472.56754742326393,2015-04-23 13:51:00
46,osem,562,2015-04-24 03:42:00,316.04644595500434,2015-04-24 00:01:00
47,tnuva,497,2015-04-24 19:47:00,427.39834620219324,2015-04-24 13:40:00
48,bituch_leumi,153,2015-04-25 05:50:00,359.75410532765386,2015-04-25 01:25:00
49,tara,267,,476.5082984131609,2015-04-25 14:37:00
50,osem,560,2015-04-26 05:33:00,161.74734066412583,2015-04-26 03:38:00
51,jerusalem_muni,69,2015-04-26 20:41:00,573.1825587338141,2015-04-26 12:51:00
52,angel,848,2015-04-27 06:41:00,451.4064602520665,2015-04-27 00:46:00
53,yes,432,2015-04-27 14:28:00,45.74930068375076,2015-04-27 13:50:00
