,customer,driver_id,end_time,km,start_time
0,tara,649,2015-08-01 03:59:00,253.09204569868572,2015-08-01 00:45:00
1,bituch_leumi,460,2015-08-01 17:29:00,266.2265292561442,2015-08-01 13:27:00
2,electricity,572,2015-08-02 06:25:00,233.07065078650106,2015-08-02 03:42:00
3,yes,859,2015-08-02 20:40:00,380.0537840699896,2015-08-02 15:40:00
4,jerusalem_muni,987,2015-08-03 08:30:00,1003.7607573099247,2015-08-03 03:05:00
5,electricity,11,2015-08-03 17:43:00,330.4187895574393,2015-08-03 13:33:00
6,angel,248,2015-08-04 03:44:00,62.709500006230584,2015-08-04 02:57:00
7,angel,280,2015-08-04 16:34:00,193.58586991535756,2015-08-04 13:50:00
8,intel,893,2015-08-05 10:11:00,490.5150466535778,2015-08-05 02:41:00
9,angel,488,2015-08-05 16:54:00,138.24355983813427,2015-08-05 14:56:00
10,jerusalem_muni,630,2015-08-06 08:51:00,594.3639680611137,2015-08-06 02:05:00
11,iaf,976,2015-08-06 16:29:00,176.32629627071023,2015-08-06 14:24:00
12,tara,743,2015-08-07 10:48:00,475.5811967647446,2015-08-07 03:33:00
13,angel,175,2015-08-07 19:44:00,483.0291979198911,2015-08-07 13:56:00
14,iaf,113,2015-08-08 06:57:00,303.2268231866125,2015-08-08 03:07:00
15,yes,53,2015-08-08 19:34:00,486.35421207341466,2015-08-08 13:06:00
16,jerusalem_muni,547,2015-08-09 06:40:00,427.77166931093797,2015-08-09 00:52:00
17,osem,518,2015-08-09 21:58:00,564.2385175366317,2015-08-09 14:58:00
18,tara,973,2015-08-10 03:29:00,187.57383256441236,2015-08-10 00:29:00
19,iaf,168,2015-08-10 17:26:00,182.17616974189409,2015-08-10 14:45:00
20,tnuva,894,2015-08-11 09:19:00,445.80909052659496,2015-08-11 03:32:00
21,bituch_leumi,347,2015-08-11 21:55:00,606.6244467815833,2015-08-11 14:49:00
22,yes,914,2015-08-12 05:12:00,160.7636242711139,2015-08-12 03:17:00
23,jerusalem_muni,693,2015-08-12 16:33:00,89.18198617758958,2015-08-12 15:31:00
24,jerusalem_muni,815,2015-08-13 03:44:00,235.9717177928843,2015-08-13 00:46:00
25,aminach,996,2015-08-13 20:30:00,386.0438301265113,2015-08-13 15:15:00
26,electricity,254,2015-08-14 08:57:00,572.1457857999804,2015-08-14 01:45:00
27,tnuva,781,2015-08-14 20:22:00,549.6854332220635,2015-08-14 13:44:00
28,bituch_leumi,963,2015-08-15 01:31:00,47.11393877070288,2015-08-15 00:48:00
29,iaf,996,2015-08-15 18:41:00,436.8984135024691,2015-08-15 13:41:00
30,osem,709,2015-08-16 07:38:00,350.48936458661854,2015-08-16 02:14:00
31,tnuva,440,2015-08-16 19:37:00,557.6968593319293,2015-08-16 13:20:00
32,hot,302,2015-08-17 09:16:00,1352.763712239582,2015-08-17 02:17:00
33,yes,9,2015-08-17 13:42:00,40.6329696946586,2015-08-17 13:11:00
34,tara,516,2015-08-18 05:35:00,187.0293967143486,2015-08-18 03:29:00
35,hot,417,2015-08-18 17:40:00,204.61915941646092,2015-08-18 15:06:00
36,intel,836,2015-08-19 07:11:00,337.16391843706344,2015-08-19 03:14:00
37,angel,394,2015-08-19 18:50:00,461.69339249668633,2015-08-19 13:31:00
38,electricity,576,2015-08-20 03:26:00,125.10120201803134,2015-08-20 01:49:00
39,bituch_leumi,443,2015-08-20 16:01:00,45.23553066268786,2015-08-20 15:22:00
40,intel,501,2015-08-21 05:23:00,232.81107732269,2015-08-21 01:33:00
41,osem,528,2015-08-21 16:59:00,209.91288770700368,2015-08-21 13:46:00
42,yes,683,2015-08-22 07:58:00,521.4233959320494,2015-08-22 01:17:00
43,bituch_leumi,891,2015-08-22 15:22:00,197.15724595283527,2015-08-22 12:19:00
44,jerusalem_muni,309,2015-08-23 09:12:00,378.4930477944069,2015-08-23 03:15:00
45,tara,880,2015-08-23 15:35:00,236.74691696462997,2015-08-23 12:31:00
46,osem,361,2015-08-24 03:12:00,127.1456197442119,2015-08-24 01:07:00
47,yes,966,2015-08-24 17:00:00,128.39586536070712,2015-08-24 15:28:00
48,tnuva,706,2015-08-25 07:39:00,426.2149965062631,2015-08-25 01:04:00
49,tnuva,889,2015-08-25 19:30:00,541.0362143437412,2015-08-25 12:10:00
50,aminach,34,2015-08-26 07:11:00,632.1728482983937,2015-08-26 00:03:00
51,osem,640,2015-08-26 15:49:00,56.74640865990707,2015-08-26 14:58:00
52,tara,83,2015-08-27 03:00:00,213.63420243906003,2015-08-27 00:00:00
53,angel,114,2015-08-27 17:54:00,55.72532440635495,2015-08-27 13:17:00
