,customer,driver_id,end_time,km,start_time
0,tara,792,2015-08-01 06:14:00,472.08528157357915,2015-08-01 00:21:00
1,bituch_leumi,163,2015-08-01 16:05:00,135.68710636959563,2015-08-01 14:07:00
2,osem,866,2015-08-02 06:58:00,527.5403429051739,2015-08-02 00:49:00
3,intel,81,2015-08-02 16:40:00,201.44015845518018,2015-08-02 13:44:00
4,angel,74,2015-08-03 04:09:00,174.03350991535424,2015-08-03 01:28:00
5,bituch_leumi,241,2015-08-03 17:33:00,125.28471520124864,2015-08-03 15:42:00
6,yes,272,2015-08-04 05:52:00,160.84768594129935,2015-08-04 03:48:00
7,tnuva,373,2015-08-04 18:38:00,337.40891355217843,2015-08-04 14:42:00
8,jerusalem_muni,962,2015-08-05 06:52:00,345.71023628888804,2015-08-05 02:04:00
9,bituch_leumi,884,2015-08-05 19:34:00,282.72900039094424,2015-08-05 15:17:00
10,bituch_leumi,288,2015-08-06 02:33:00,203.14912817631821,2015-08-06 00:15:00
11,intel,555,2015-08-06 21:51:00,385.47930350873435,2015-08-06 15:40:00
12,osem,34,2015-08-07 04:55:00,381.25247027562364,2015-08-07 00:23:00
13,bituch_leumi,603,2015-08-07 17:11:00,285.4555186974559,2015-08-07 13:38:00
14,electricity,159,2015-08-08 03:29:00,25.81323340902306,2015-08-08 01:28:00
15,jerusalem_muni,476,2015-08-08 15:54:00,157.11138454428905,2015-08-08 13:45:00
16,electricity,247,2015-08-09 04:48:00,106.18442651302557,2015-08-09 03:15:00
17,electricity,500,2015-08-09 21:27:00,522.2495260920495,2015-08-09 15:09:00
18,iaf,672,2015-08-10 06:18:00,389.1333194374558,2015-08-10 01:37:00
19,yes,673,2015-08-10 19:43:00,467.95146283279234,2015-08-10 14:08:00
20,intel,502,2015-08-11 05:13:00,238.06633271940615,2015-08-11 01:42:00
21,electricity,299,2015-08-11 13:42:00,18.744694639116933,2015-08-11 12:05:00
22,tara,631,2015-08-12 08:12:00,460.07344643682796,2015-08-12 00:34:00
23,intel,68,2015-08-12 14:31:00,79.48890594725177,2015-08-12 13:20:00
24,osem,942,2015-08-13 05:20:00,135.18983031852966,2015-08-13 03:46:00
25,yes,526,2015-08-13 18:05:00,163.31594463298538,2015-08-13 15:54:00
26,iaf,347,2015-08-14 06:12:00,349.8966207256422,2015-08-14 01:34:00
27,angel,721,2015-08-14 20:27:00,517.106528188802,2015-08-14 13:49:00
28,hot,985,2015-08-15 08:22:00,526.280555655844,2015-08-15 00:49:00
29,electricity,331,2015-08-15 16:25:00,352.21280347139697,2015-08-15 12:24:00
30,bituch_leumi,391,2015-08-16 07:40:00,502.5966936835395,2015-08-16 00:18:00
31,jerusalem_muni,143,2015-08-16 18:53:00,389.7084026233627,2015-08-16 12:34:00
32,electricity,839,2015-08-17 09:12:00,627.7475637547968,2015-08-17 01:24:00
33,jerusalem_muni,274,2015-08-17 21:29:00,428.0543406032815,2015-08-17 15:15:00
34,tnuva,961,2015-08-18 07:53:00,412.0756182592379,2015-08-18 02:25:00
35,jerusalem_muni,787,2015-08-18 21:05:00,474.7180963566355,2015-08-18 13:21:00
36,iaf,692,2015-08-19 02:13:00,66.29595942182112,2015-08-19 01:26:00
37,osem,334,2015-08-19 21:17:00,536.358594374512,2015-08-19 14:50:00
38,osem,24,2015-08-20 05:07:00,282.4166707739465,2015-08-20 00:54:00
39,tara,922,2015-08-20 21:00:00,429.75162591851597,2015-08-20 14:58:00
40,iaf,712,2015-08-21 03:37:00,31.053659440099718,2015-08-21 03:07:00
41,tnuva,303,2015-08-21 16:24:00,243.46917588380035,2015-08-21 13:14:00
42,intel,789,2015-08-22 05:19:00,170.04987873554742,2015-08-22 03:02:00
43,aminach,540,2015-08-22 17:23:00,206.0014661845479,2015-08-22 14:59:00
44,osem,669,2015-08-23 04:53:00,67.10512105510736,2015-08-23 03:57:00
45,bituch_leumi,133,2015-08-23 20:05:00,696.5468010371151,2015-08-23 12:18:00
46,iaf,639,2015-08-25 16:30:00,2731.0089874646683,2015-08-24 03:59:00
47,bituch_leumi,963,2015-08-24 14:29:00,98.04504012385934,2015-08-24 13:16:00
48,jerusalem_muni,57,2015-08-25 03:14:00,190.17141027827708,2015-08-25 00:16:00
49,electricity,72,2015-08-25 20:42:00,431.5075867786989,2015-08-25 15:37:00
50,osem,402,2015-08-26 04:47:00,218.63091854659444,2015-08-26 01:24:00
51,bituch_leumi,835,2015-08-28 05:51:00,2661.4740725397287,2015-08-26 13:48:00
52,jerusalem_muni,599,2015-08-27 04:31:00,237.058928194806,2015-08-27 01:34:00
53,tnuva,210,2015-08-27 13:08:00,41.18655508375391,2015-08-27 12:28:00
