,customer,driver_id,end_time,km,start_time
0,electricity,463,2015-12-01 03:32:00,206.31754365869338,2015-12-01 00:45:00
1,iaf,551,2015-12-01 20:14:00,545.0572884631164,2015-12-01 12:27:00
2,osem,493,2015-12-02 07:55:00,392.3525857970986,2015-12-02 03:07:00
3,hot,619,2015-12-02 17:58:00,377.7094799597238,2015-12-02 12:51:00
4,intel,700,2015-12-03 03:29:00,80.2020543737232,2015-12-03 02:15:00
5,aminach,952,2015-12-03 19:43:00,566.1885003840213,2015-12-03 12:59:00
6,hot,872,2015-12-04 09:48:00,511.103597510314,2015-12-04 01:55:00
7,intel,392,2015-12-04 16:56:00,86.0233266347178,2015-12-04 15:53:00
8,bituch_leumi,594,2015-12-05 08:19:00,607.9373907859701,2015-12-05 00:48:00
9,intel,31,2015-12-05 19:40:00,423.330918890473,2015-12-05 14:33:00
10,tara,667,2015-12-06 08:59:00,344.9185114687892,2015-12-06 03:58:00
11,bituch_leumi,943,2015-12-06 19:23:00,388.78336548006126,2015-12-06 13:59:00
12,electricity,252,2015-12-07 04:24:00,153.7575500096265,2015-12-07 02:40:00
13,tara,462,2015-12-07 20:48:00,501.3661176530525,2015-12-07 15:00:00
14,osem,17,2015-12-08 10:34:00,567.8652385494178,2015-12-08 03:12:00
15,aminach,322,2015-12-08 16:16:00,80.42971827176467,2015-12-08 15:19:00
16,intel,94,2015-12-09 03:22:00,63.3241577905612,2015-12-09 02:33:00
17,bituch_leumi,384,2015-12-09 19:59:00,357.1881409535277,2015-12-09 14:24:00
18,jerusalem_muni,329,2015-12-09 06:39:00,296.0558684079971,
19,yes,938,2015-12-10 17:49:00,203.49202426422383,2015-12-10 15:12:00
20,aminach,796,2015-12-11 08:08:00,455.06547017417773,2015-12-11 02:51:00
21,osem,2,2015-12-11 22:07:00,548.7756169494442,2015-12-11 14:31:00
22,intel,267,2015-12-12 04:12:00,311.234567140949,2015-12-12 00:02:00
23,osem,534,2015-12-12 17:36:00,344.09829749643717,2015-12-12 12:54:00
24,osem,696,2015-12-13 02:49:00,218.6479276507204,2015-12-13 00:20:00
25,osem,486,2015-12-13 17:01:00,264.7489399682982,2015-12-13 12:51:00
26,hot,97,2015-12-14 07:36:00,273.6247952049167,2015-12-14 03:22:00
27,iaf,2,2015-12-14 19:35:00,498.3758669613428,2015-12-14 13:23:00
28,bituch_leumi,435,2015-12-15 11:26:00,643.3465352660893,2015-12-15 03:31:00
29,jerusalem_muni,104,2015-12-15 22:19:00,599.9291769919341,2015-12-15 15:16:00
30,electricity,622,2015-12-15 10:24:00,521.5197094015882,
31,bituch_leumi,886,2015-12-16 15:19:00,62.17201506551174,2015-12-16 14:33:00
32,yes,560,2015-12-17 02:47:00,55.77584918127115,2015-12-17 01:54:00
33,jerusalem_muni,618,2015-12-17 18:28:00,285.2320691391687,2015-12-17 14:34:00
34,tnuva,576,2015-12-18 05:31:00,211.00722705961988,2015-12-18 02:17:00
35,intel,107,2015-12-18 21:55:00,503.54613475227507,2015-12-18 14:20:00
36,intel,607,2015-12-19 08:04:00,425.61214938538564,2015-12-19 03:17:00
37,yes,900,2015-12-19 20:28:00,552.067497318943,2015-12-19 13:41:00
38,jerusalem_muni,745,2015-12-20 08:40:00,351.5216344699517,2015-12-20 03:32:00
39,bituch_leumi,611,2015-12-20 17:36:00,317.95055975296236,2015-12-20 13:11:00
40,aminach,804,2015-12-21 06:27:00,193.3471114641886,2015-12-21 03:40:00
41,bituch_leumi,799,2015-12-21 20:16:00,386.859101226744,2015-12-21 15:24:00
42,aminach,829,2015-12-22 09:44:00,434.66114439960324,2015-12-22 02:36:00
43,iaf,60,2015-12-22 16:50:00,265.2421489249854,2015-12-22 13:43:00
44,hot,498,2015-12-23 06:33:00,239.28227928307015,2015-12-23 02:58:00
45,osem,784,2015-12-22 20:16:00,399.8089306481111,
46,electricity,163,2015-12-24 01:47:00,149.37911517614384,2015-12-24 00:00:00
47,bituch_leumi,845,2015-12-24 12:57:00,67.67067085556361,2015-12-24 12:06:00
48,yes,293,2015-12-25 06:07:00,474.97764788485864,2015-12-25 00:13:00
49,aminach,453,2015-12-25 20:24:00,515.3946577596732,2015-12-25 13:34:00
50,iaf,399,2015-12-26 04:18:00,149.5628146930382,2015-12-26 01:53:00
51,iaf,312,2015-12-27 05:22:00,2810.7137541307657,
52,electricity,356,2015-12-27 07:06:00,525.381130102225,2015-12-27 00:55:00
53,tara,907,2015-12-27 13:46:00,83.30757233426687,2015-12-27 12:23:00
