,customer,driver_id,end_time,km,start_time
0,bituch_leumi,927,2015-12-01 04:37:00,374.7603470969897,2015-12-01 00:25:00
1,bituch_leumi,734,2015-12-01 14:36:00,181.60615563927297,2015-12-01 12:10:00
2,intel,81,2015-12-02 01:07:00,76.89643152328213,2015-12-02 00:07:00
3,tnuva,543,2015-12-02 16:52:00,125.33089716105178,2015-12-02 14:48:00
4,aminach,579,2015-12-03 11:13:00,497.8983690098313,2015-12-03 03:24:00
5,tnuva,79,2015-12-03 20:12:00,429.4692812079579,2015-12-03 13:07:00
6,angel,371,2015-12-04 10:45:00,1405.3338367387648,2015-12-04 03:07:00
7,tara,194,2015-12-04 22:56:00,592.324256138188,2015-12-04 15:49:00
8,intel,157,2015-12-05 05:04:00,235.3343428541245,2015-12-05 01:10:00
9,tara,755,2015-12-05 19:02:00,324.89241583961626,2015-12-05 15:06:00
10,hot,582,2015-12-06 08:02:00,515.5367038298403,2015-12-06 01:20:00
11,yes,974,2015-12-06 15:40:00,45.897493398718694,2015-12-06 15:06:00
12,yes,11,2015-12-07 08:28:00,489.8483905323491,2015-12-07 02:01:00
13,yes,585,2015-12-07 17:16:00,135.42266283488252,2015-12-07 15:32:00
14,angel,328,2015-12-08 05:38:00,244.22676542641895,2015-12-08 02:37:00
15,aminach,613,2015-12-08 18:55:00,265.9638523365182,2015-12-08 14:38:00
16,iaf,936,2015-12-09 07:57:00,64.53537329791678,2015-12-09 03:46:00
17,electricity,82,2015-12-09 15:58:00,205.1925846019499,2015-12-09 13:17:00
18,bituch_leumi,777,2015-12-10 05:40:00,339.1688093711963,2015-12-10 01:21:00
19,osem,471,2015-12-10 23:04:00,671.8056299425494,2015-12-10 15:35:00
20,electricity,81,2015-12-11 02:36:00,102.27610934945346,2015-12-11 01:14:00
21,tara,918,2015-12-11 19:06:00,463.4653951546799,2015-12-11 12:31:00
22,iaf,441,2015-12-12 10:03:00,430.16902104963685,2015-12-12 02:55:00
23,electricity,187,2015-12-12 16:14:00,122.03534011739886,2015-12-12 14:16:00
24,hot,319,2015-12-13 06:23:00,398.7099812955017,2015-12-13 00:41:00
25,intel,865,2015-12-13 13:36:00,54.86187556692165,2015-12-13 12:51:00
26,intel,703,2015-12-14 02:58:00,63.13480614440214,2015-12-14 02:09:00
27,osem,649,2015-12-14 18:10:00,397.5181711699267,2015-12-14 12:56:00
28,intel,979,2015-12-15 09:55:00,529.8340984998954,2015-12-15 03:07:00
29,electricity,73,2015-12-15 16:00:00,312.40557300803187,2015-12-15 12:28:00
30,bituch_leumi,101,2015-12-16 06:33:00,235.0473870215538,2015-12-16 02:51:00
31,osem,965,2015-12-16 19:02:00,262.42914777689646,2015-12-16 15:24:00
32,bituch_leumi,113,2015-12-17 04:53:00,101.90295603509666,2015-12-17 03:13:00
33,bituch_leumi,393,2015-12-17 19:15:00,241.63694000905855,2015-12-17 15:50:00
34,jerusalem_muni,423,2015-12-18 09:21:00,502.52986929853995,2015-12-18 02:05:00
35,hot,957,2015-12-18 17:31:00,207.10001016606145,2015-12-18 14:27:00
36,yes,404,2015-12-19 09:21:00,440.4256058742077,2015-12-19 02:50:00
37,aminach,844,2015-12-19 12:51:00,57.8905087507065,2015-12-19 12:05:00
38,hot,484,2015-12-20 01:29:00,55.18011295762919,2015-12-20 00:48:00
39,yes,116,2015-12-20 14:08:00,84.92102048024874,2015-12-20 13:02:00
40,angel,104,2015-12-21 02:20:00,70.69789160952605,2015-12-21 01:25:00
41,iaf,343,2015-12-21 21:08:00,530.8665566040372,2015-12-21 14:05:00
42,hot,234,2015-12-22 08:19:00,484.06773116568894,2015-12-22 02:55:00
43,angel,502,2015-12-22 17:52:00,219.41615743721965,2015-12-22 14:29:00
44,bituch_leumi,32,2015-12-23 09:32:00,505.7185327569479,2015-12-23 03:45:00
45,yes,355,2015-12-23 21:05:00,532.7237606374802,2015-12-23 13:16:00
46,jerusalem_muni,403,2015-12-24 09:48:00,631.4361990695045,2015-12-24 02:04:00
47,osem,96,2015-12-24 19:11:00,531.6503707193987,2015-12-24 12:21:00
48,aminach,746,2015-12-25 09:39:00,554.6788974543049,2015-12-25 02:19:00
49,osem,825,2015-12-25 13:10:00,78.82726595129503,2015-12-25 12:09:00
50,angel,760,2015-12-26 01:18:00,95.50754636623151,2015-12-26 00:14:00
51,angel,160,2015-12-26 20:17:00,353.80438126819087,2015-12-26 14:32:00
52,hot,51,2015-12-27 07:04:00,361.22545053623503,2015-12-27 02:23:00
53,osem,11,2015-12-27 16:11:00,75.76807617099608,2015-12-27 15:04:00
