,customer,driver_id,end_time,km,start_time
0,iaf,17,2015-02-01 07:12:00,273.88330667501106,2015-02-01 03:10:00
1,angel,368,2015-02-01 18:55:00,282.90572416503267,2015-02-01 15:23:00
2,osem,327,2015-02-02 10:53:00,667.1890406709945,2015-02-02 03:02:00
3,tara,824,2015-02-02 14:26:00,118.97231510675111,2015-02-02 12:49:00
4,tara,707,2015-02-03 08:17:00,376.5547397424629,2015-02-03 03:49:00
5,hot,510,2015-02-03 17:59:00,224.50580367142493,2015-02-03 15:01:00
6,intel,94,2015-02-04 09:49:00,422.6767191027252,2015-02-04 03:28:00
7,electricity,424,2015-02-04 19:59:00,614.7619059714687,2015-02-04 12:30:00
8,yes,317,2015-02-05 06:00:00,186.96415662347545,2015-02-05 03:36:00
9,yes,699,2015-02-05 16:21:00,210.14738060673358,2015-02-05 13:58:00
10,electricity,63,2015-02-06 09:48:00,429.0634109106861,2015-02-06 03:45:00
11,electricity,462,2015-02-06 21:01:00,564.3765521342464,2015-02-06 13:59:00
12,iaf,44,2015-02-07 03:14:00,162.99497062368476,2015-02-07 00:39:00
13,tnuva,736,2015-02-07 18:11:00,316.31699310168017,2015-02-07 14:28:00
14,iaf,438,2015-02-08 09:49:00,533.3693428658914,2015-02-08 03:18:00
15,yes,160,2015-02-08 16:24:00,121.74260646658682,2015-02-08 14:50:00
16,intel,298,2015-02-09 08:33:00,339.2130566595108,2015-02-09 03:59:00
17,angel,833,2015-02-09 18:21:00,264.9765802106146,2015-02-09 14:58:00
18,iaf,923,2015-02-10 03:55:00,307.9569675014313,2015-02-10 00:17:00
19,iaf,844,2015-02-10 15:26:00,62.18024381397367,2015-02-10 14:27:00
20,electricity,598,2015-02-11 05:10:00,144.5825683422985,2015-02-11 03:17:00
21,intel,801,2015-02-11 20:01:00,405.0668225929572,2015-02-11 15:13:00
22,intel,673,2015-02-12 04:18:00,148.00216288520082,2015-02-12 02:37:00
23,tnuva,798,2015-02-12 16:39:00,316.56607754418684,2015-02-12 12:18:00
24,electricity,768,2015-02-13 05:57:00,280.60428755809795,2015-02-13 02:15:00
25,tnuva,738,2015-02-13 16:02:00,63.26500468554134,2015-02-13 15:19:00
26,angel,95,2015-02-14 07:35:00,406.0901650985824,2015-02-14 02:43:00
27,osem,986,2015-02-14 21:12:00,506.5655653738066,2015-02-14 14:48:00
28,yes,7,2015-02-15 04:42:00,192.28156548813323,2015-02-15 02:01:00
29,electricity,617,2015-02-15 16:22:00,77.21768900134424,2015-02-15 15:24:00
30,intel,518,2015-02-16 04:33:00,137.63088170468043,2015-02-16 02:23:00
31,aminach,125,2015-02-16 21:05:00,416.5449271786744,2015-02-16 14:42:00
32,hot,490,2015-02-17 10:31:00,601.3666126655694,2015-02-17 02:35:00
33,yes,954,2015-02-17 16:14:00,66.01868495607646,2015-02-17 15:16:00
34,tara,50,2015-02-18 02:56:00,188.98769990609867,2015-02-18 00:31:00
35,yes,352,2015-02-18 19:02:00,485.2745678908904,2015-02-18 13:25:00
36,tara,346,2015-02-19 05:11:00,96.58928919069604,2015-02-19 03:55:00
37,hot,354,2015-02-19 19:36:00,429.32852025010556,2015-02-19 14:34:00
38,tnuva,20,2015-02-20 03:14:00,59.898145318456756,2015-02-20 02:27:00
39,bituch_leumi,131,2015-02-20 23:34:00,597.8088988731873,2015-02-20 15:38:00
40,hot,55,2015-02-21 06:26:00,308.7904071728698,2015-02-21 02:27:00
41,osem,844,2015-02-21 14:34:00,86.99803702433671,2015-02-21 13:32:00
42,electricity,833,2015-02-22 03:11:00,51.62085910347584,2015-02-22 02:24:00
43,iaf,751,2015-02-22 19:15:00,441.6852506606852,2015-02-22 12:03:00
44,osem,236,2015-02-23 09:21:00,455.4338177434484,2015-02-23 02:19:00
45,tnuva,7,2015-02-23 20:41:00,356.33684549443154,2015-02-23 15:30:00
46,yes,283,2015-02-24 06:24:00,402.0099000988257,2015-02-24 00:07:00
47,aminach,740,2015-02-24 15:34:00,95.16982047255942,2015-02-24 14:10:00
48,intel,793,2015-02-25 05:24:00,199.6590867461495,2015-02-25 02:06:00
49,yes,520,2015-02-25 18:17:00,181.5505790242405,2015-02-25 15:55:00
50,iaf,748,2015-02-25 08:28:00,542.8375982503534,
51,angel,865,2015-02-26 17:02:00,255.7991305076004,2015-02-26 12:56:00
52,hot,585,2015-02-27 06:59:00,486.1716852609889,2015-02-27 00:04:00
53,osem,27,2015-02-27 17:25:00,303.8125548071965,2015-02-27 13:55:00
