,customer,driver_id,end_time,km,start_time
0,angel,556,2015-02-01 09:10:00,422.2579644578268,2015-02-01 02:39:00
1,hot,716,2015-02-01 15:47:00,124.75473164629678,2015-02-01 14:11:00
2,angel,550,2015-02-02 09:00:00,628.6427105834078,2015-02-02 01:58:00
3,aminach,202,2015-02-02 16:56:00,380.3976227148631,2015-02-02 12:14:00
4,aminach,742,2015-02-03 01:25:00,41.48353616057878,2015-02-03 00:54:00
5,iaf,952,2015-02-03 19:58:00,330.11897099227093,2015-02-03 15:23:00
6,yes,221,2015-02-04 04:22:00,257.7537955890547,2015-02-04 00:25:00
7,tnuva,873,2015-02-04 17:48:00,243.2149260625262,2015-02-04 14:42:00
8,intel,207,2015-02-05 08:44:00,335.493411360648,2015-02-05 03:46:00
9,angel,978,2015-02-05 18:40:00,55.956309824184586,2015-02-05 12:58:00
10,yes,748,2015-02-06 04:43:00,83.10530265577775,2015-02-06 03:41:00
11,tnuva,888,2015-02-06 19:09:00,53.20344812789241,2015-02-06 14:44:00
12,jerusalem_muni,122,2015-02-07 07:39:00,384.11230397076747,2015-02-07 02:57:00
13,bituch_leumi,905,2015-02-07 17:34:00,473.54593752956544,2015-02-07 12:03:00
14,osem,341,2015-02-08 07:37:00,382.7732919348484,2015-02-08 02:20:00
15,angel,348,2015-02-08 18:13:00,201.7647194104868,2015-02-08 15:15:00
16,bituch_leumi,440,2015-02-09 02:51:00,183.54496627157516,2015-02-09 00:03:00
17,hot,766,2015-02-09 20:33:00,626.0663047004447,2015-02-09 12:59:00
18,iaf,147,2015-02-10 05:57:00,260.55479664929015,2015-02-10 02:03:00
19,yes,352,2015-02-10 20:48:00,376.9856135018569,2015-02-10 14:44:00
20,intel,86,2015-02-11 04:29:00,45.12788070348433,2015-02-11 03:51:00
21,tnuva,325,2015-02-11 20:50:00,549.59765022856,2015-02-11 12:58:00
22,hot,813,2015-02-12 10:03:00,533.2242246116024,2015-02-12 02:08:00
23,aminach,400,2015-02-12 19:57:00,288.02911359996654,2015-02-12 15:17:00
24,bituch_leumi,575,2015-02-13 02:03:00,117.17810730961621,2015-02-13 00:06:00
25,tnuva,216,2015-02-13 18:12:00,270.26072544637066,2015-02-13 14:29:00
26,osem,367,2015-02-14 03:48:00,54.97379378119528,2015-02-14 02:59:00
27,electricity,187,2015-02-14 15:47:00,141.83893705409122,2015-02-14 14:07:00
28,hot,234,2015-02-15 07:10:00,482.8660879116986,2015-02-15 01:46:00
29,bituch_leumi,29,2015-02-15 15:06:00,170.50593871095728,2015-02-15 12:37:00
30,bituch_leumi,112,2015-02-15 02:49:00,71.49306304834558,
31,yes,170,2015-02-16 20:09:00,438.44871533959065,2015-02-16 15:06:00
32,electricity,153,2015-02-17 06:43:00,325.73752300644554,2015-02-17 02:37:00
33,angel,476,2015-02-17 18:28:00,220.1440881317889,2015-02-17 14:54:00
34,osem,98,2015-02-18 06:36:00,248.3948547635001,2015-02-18 03:49:00
35,hot,667,2015-02-18 15:14:00,106.98175863636959,2015-02-18 13:52:00
36,tara,872,2015-02-19 08:40:00,432.4135639144707,2015-02-19 03:44:00
37,electricity,494,2015-02-19 18:06:00,351.0650199459832,2015-02-19 13:41:00
38,bituch_leumi,244,2015-02-20 09:10:00,427.5007648902465,2015-02-20 02:19:00
39,yes,422,2015-02-20 17:23:00,290.1647172147327,2015-02-20 13:00:00
40,intel,597,2015-02-21 08:20:00,283.58152104246255,2015-02-21 03:38:00
41,intel,304,2015-02-21 15:07:00,210.66563012674482,2015-02-21 12:46:00
42,angel,798,2015-02-22 01:58:00,123.27595413186503,2015-02-22 00:00:00
43,iaf,548,2015-02-22 19:27:00,471.2184300085638,2015-02-22 14:07:00
44,hot,45,2015-02-23 06:10:00,156.5572007480662,2015-02-23 03:44:00
45,aminach,788,2015-02-23 15:33:00,54.260172911063584,2015-02-23 14:53:00
46,tnuva,323,2015-02-24 05:57:00,342.9827829035456,2015-02-24 02:07:00
47,bituch_leumi,717,2015-02-24 15:13:00,232.76095486052654,2015-02-24 14:11:00
48,jerusalem_muni,8,2015-02-25 01:59:00,137.68717237762834,2015-02-25 00:09:00
49,hot,446,2015-02-25 14:29:00,165.56835512963724,2015-02-25 12:33:00
50,hot,172,2015-02-26 02:57:00,157.85675464845667,2015-02-26 00:41:00
51,jerusalem_muni,303,2015-02-26 19:34:00,291.2140845993409,2015-02-26 15:57:00
52,angel,486,2015-02-27 03:07:00,134.32224625377978,2015-02-27 01:23:00
53,tara,573,2015-02-27 15:36:00,174.09827453737313,2015-02-27 12:43:00
