,customer,driver_id,end_time,km,start_time
0,electricity,855,2015-07-01 07:44:00,501.51184218278496,2015-07-01 00:24:00
1,yes,684,2015-07-01 19:57:00,320.0936811012412,2015-07-01 15:36:00
2,yes,927,2015-07-02 03:29:00,131.2125685224259,2015-07-02 01:51:00
3,yes,554,2015-07-02 17:57:00,172.60306678137525,2015-07-02 15:58:00
4,electricity,883,2015-07-03 07:15:00,753.8805794595743,2015-07-03 03:21:00
5,yes,47,2015-07-03 18:30:00,290.25708824624337,2015-07-03 14:25:00
6,angel,198,2015-07-04 06:47:00,206.89882557209606,2015-07-04 03:30:00
7,yes,433,2015-07-04 19:48:00,561.6670008536153,2015-07-04 13:18:00
8,angel,336,2015-07-05 05:06:00,185.58658967796717,2015-07-05 02:39:00
9,tara,281,2015-07-05 17:21:00,411.1498425209528,2015-07-05 12:01:00
10,osem,56,2015-07-06 03:03:00,178.81194525657847,2015-07-06 00:09:00
11,yes,170,2015-07-06 14:03:00,109.26753689307952,2015-07-06 12:46:00
12,aminach,452,2015-07-07 04:10:00,69.77716126948101,2015-07-07 03:02:00
13,bituch_leumi,939,2015-07-07 20:11:00,434.9374288882232,2015-07-07 14:37:00
14,tara,23,2015-07-08 10:02:00,489.97413293207234,2015-07-08 02:08:00
15,intel,263,2015-07-08 17:38:00,320.4354345664623,2015-07-08 13:44:00
16,tnuva,801,2015-07-09 02:36:00,60.125416123413,2015-07-09 01:45:00
17,tara,310,2015-07-09 20:24:00,538.2164564928955,2015-07-09 14:10:00
18,iaf,21,2015-07-10 07:38:00,375.44848791602226,2015-07-10 02:19:00
19,iaf,841,2015-07-10 16:29:00,63.237356240991595,2015-07-10 15:42:00
20,angel,54,2015-07-11 02:11:00,70.35126767470531,2015-07-11 01:06:00
21,tnuva,624,2015-07-11 16:48:00,171.6111647482195,2015-07-11 14:35:00
22,electricity,64,2015-07-12 02:37:00,45.03043402943552,2015-07-12 02:03:00
23,yes,660,2015-07-12 13:47:00,80.47707353742874,2015-07-12 12:31:00
24,electricity,955,2015-07-13 11:29:00,704.8993989762067,2015-07-13 03:37:00
25,hot,940,2015-07-13 19:48:00,77.31614843575018,2015-07-13 15:09:00
26,intel,107,2015-07-14 04:18:00,228.8497649009822,2015-07-14 01:31:00
27,intel,84,2015-07-14 19:45:00,571.0982482387825,2015-07-14 12:39:00
28,angel,346,2015-07-15 07:06:00,479.06193631416266,2015-07-15 01:03:00
29,jerusalem_muni,496,2015-07-15 18:06:00,196.75612601580946,2015-07-15 15:44:00
30,hot,608,2015-07-16 05:02:00,214.72139673113406,2015-07-16 01:57:00
31,angel,107,2015-07-16 17:59:00,381.10416834939025,2015-07-16 12:14:00
32,osem,822,,269.71475337777815,
33,bituch_leumi,751,2015-07-17 17:06:00,234.92352959465288,2015-07-17 14:16:00
34,tnuva,179,2015-07-18 07:01:00,307.0760293099803,2015-07-18 02:03:00
35,osem,324,2015-07-18 19:01:00,431.4667616067435,2015-07-18 14:07:00
36,hot,858,2015-07-19 03:09:00,188.46382895358582,2015-07-19 00:02:00
37,iaf,137,2015-07-19 19:56:00,280.5684995605666,2015-07-19 15:38:00
38,jerusalem_muni,79,2015-07-20 07:47:00,400.75885490423394,2015-07-20 02:50:00
39,jerusalem_muni,227,2015-07-20 18:31:00,326.9474175645365,2015-07-20 13:42:00
40,osem,379,2015-07-21 11:54:00,627.0947960826545,2015-07-21 03:57:00
41,aminach,176,2015-07-21 16:03:00,131.72629262571493,2015-07-21 14:22:00
42,tnuva,725,2015-07-22 10:03:00,498.94985561117375,2015-07-22 02:07:00
43,osem,131,2015-07-22 22:08:00,459.7115134720511,2015-07-22 15:15:00
44,hot,613,2015-07-23 06:55:00,381.3262798704221,2015-07-23 00:55:00
45,intel,813,2015-07-23 20:53:00,463.17851798942957,2015-07-23 13:23:00
46,tnuva,518,2015-07-24 08:39:00,420.84546553491145,2015-07-24 03:44:00
47,aminach,132,2015-07-24 14:05:00,44.769493663222505,2015-07-24 13:32:00
48,hot,843,2015-07-24 05:17:00,100.37256623780475,
49,angel,196,2015-07-25 18:39:00,295.50516728903807,2015-07-25 14:52:00
50,aminach,308,2015-07-26 06:54:00,535.500187064652,2015-07-26 00:38:00
51,tara,205,2015-07-26 16:11:00,39.866526604909495,2015-07-26 15:35:00
52,osem,108,2015-07-27 07:54:00,269.23051056903586,2015-07-27 03:35:00
53,yes,90,2015-07-27 21:12:00,347.6833115079371,2015-07-27 15:48:00
