,customer,driver_id,end_time,km,start_time
0,intel,961,2015-06-01 05:14:00,187.78565760195406,2015-06-01 02:36:00
1,hot,483,2015-06-01 16:45:00,299.2483944718576,2015-06-01 13:13:00
2,iaf,845,2015-06-02 04:59:00,221.56120119938043,2015-06-02 01:51:00
3,tnuva,592,2015-06-02 22:48:00,605.2329057003642,2015-06-02 15:54:00
4,tnuva,503,2015-06-03 04:52:00,176.9333973821687,2015-06-03 02:13:00
5,iaf,446,2015-06-03 21:30:00,442.38691400491024,2015-06-03 14:54:00
6,aminach,713,2015-06-04 06:22:00,299.93407668947066,2015-06-04 02:28:00
7,intel,922,2015-06-04 15:51:00,94.93223292198284,2015-06-04 14:26:00
8,aminach,296,2015-06-05 05:52:00,166.18774508710467,2015-06-05 03:52:00
9,yes,19,2015-06-05 14:53:00,96.69940520433651,2015-06-05 13:19:00
10,hot,755,2015-06-06 07:18:00,331.7370189561748,2015-06-06 03:27:00
11,jerusalem_muni,648,2015-06-06 14:11:00,99.43261681160655,2015-06-06 13:00:00
12,tara,424,2015-06-07 06:33:00,216.34212327365017,2015-06-07 03:59:00
13,hot,391,2015-06-07 17:23:00,92.20164546707879,2015-06-07 15:53:00
14,tnuva,774,2015-06-08 09:23:00,569.1775423334558,2015-06-08 02:33:00
15,osem,731,2015-06-08 16:53:00,323.87770066623915,2015-06-08 12:51:00
16,intel,403,2015-06-09 04:24:00,114.30874966297002,2015-06-09 02:59:00
17,iaf,260,2015-06-09 19:09:00,231.97693104598594,2015-06-09 15:48:00
18,osem,259,2015-06-10 07:12:00,439.6699333824514,2015-06-10 01:04:00
19,jerusalem_muni,722,2015-06-10 16:17:00,279.8415961332649,2015-06-10 12:02:00
20,aminach,65,2015-06-11 02:39:00,75.24175408240725,2015-06-11 01:43:00
21,tara,484,2015-06-11 16:16:00,31.664991196180623,2015-06-11 15:46:00
22,angel,533,2015-06-12 06:18:00,538.5407422465862,2015-06-12 00:11:00
23,iaf,913,2015-06-12 19:46:00,552.6701842640164,2015-06-12 13:04:00
24,osem,631,2015-06-13 06:49:00,483.43332416965364,2015-06-13 00:37:00
25,tnuva,324,2015-06-13 19:36:00,424.93902394333287,2015-06-13 14:03:00
26,bituch_leumi,371,2015-06-14 04:04:00,120.43018111662349,2015-06-14 02:35:00
27,yes,977,2015-06-14 20:39:00,359.19796011558174,2015-06-14 15:14:00
28,yes,816,2015-06-15 04:00:00,200.60225053470182,2015-06-15 01:16:00
29,angel,588,2015-06-15 20:55:00,52.44968067149736,2015-06-15 15:27:00
30,hot,538,2015-06-16 06:48:00,453.2319424072628,2015-06-16 00:50:00
31,iaf,960,2015-06-16 22:13:00,594.4879066801994,2015-06-16 14:41:00
32,tnuva,856,2015-06-17 07:20:00,456.8177144757167,2015-06-17 00:16:00
33,bituch_leumi,653,2015-06-16 18:10:00,252.36131994176353,
34,angel,814,2015-06-18 07:01:00,282.4005431208576,2015-06-18 02:51:00
35,bituch_leumi,498,2015-06-18 20:13:00,649.7201675069576,2015-06-18 12:27:00
36,yes,312,2015-06-19 03:05:00,193.6361286904591,2015-06-19 00:33:00
37,intel,546,2015-06-19 19:08:00,213.56075022338212,2015-06-19 15:55:00
38,aminach,473,2015-06-20 03:56:00,133.42638223908608,2015-06-20 02:22:00
39,aminach,94,2015-06-20 23:01:00,626.4013158212966,2015-06-20 15:15:00
40,electricity,231,2015-06-21 05:14:00,199.87614907745024,2015-06-21 02:53:00
41,jerusalem_muni,898,2015-06-21 16:06:00,176.35904467035812,2015-06-21 13:54:00
42,osem,661,2015-06-22 03:12:00,79.24233433464303,2015-06-22 01:56:00
43,tnuva,97,2015-06-22 20:53:00,589.2206759243684,2015-06-22 14:00:00
44,intel,472,2015-06-23 01:08:00,60.345196156076774,2015-06-23 00:11:00
45,hot,756,2015-06-23 22:15:00,466.8928376689222,2015-06-23 15:12:00
46,angel,979,2015-06-24 04:56:00,380.4443432018195,2015-06-24 00:25:00
47,osem,57,2015-06-24 18:54:00,409.7478933751037,2015-06-24 14:06:00
48,bituch_leumi,102,2015-06-25 03:56:00,212.5594398622128,2015-06-25 00:46:00
49,tara,651,2015-06-25 20:24:00,598.2738077321824,2015-06-25 12:46:00
50,jerusalem_muni,635,2015-06-26 09:24:00,530.1117761697591,2015-06-26 01:34:00
51,electricity,742,,658.5324805697904,2015-06-26 13:55:00
52,tnuva,990,2015-06-27 10:36:00,474.23344518222046,2015-06-27 03:50:00
53,aminach,743,2015-06-27 20:41:00,465.65629849188383,2015-06-27 14:47:00
