,customer,driver_id,end_time,km,start_time
0,tnuva,194,2015-06-01 07:35:00,556.7878847175344,2015-06-01 00:56:00
1,angel,854,2015-06-01 19:07:00,309.9419473297976,2015-06-01 14:43:00
2,angel,85,2015-06-02 02:39:00,75.10233276668745,2015-06-02 01:46:00
3,jerusalem_muni,936,2015-06-02 21:17:00,558.765301187045,2015-06-02 14:34:00
4,tnuva,691,2015-06-03 07:46:00,390.7414929473844,2015-06-03 01:25:00
5,osem,775,2015-06-03 20:22:00,614.4083254783133,2015-06-03 13:00:00
6,intel,469,2015-06-04 05:25:00,408.35033460514643,2015-06-04 00:29:00
7,iaf,897,2015-06-04 16:15:00,272.43207131939965,2015-06-04 12:12:00
8,bituch_leumi,885,2015-06-05 02:22:00,100.78384130044408,2015-06-05 01:09:00
9,aminach,57,2015-06-05 19:41:00,405.36304917351555,2015-06-05 13:47:00
10,intel,63,2015-06-06 03:47:00,47.32700111177021,2015-06-06 03:14:00
11,iaf,566,,499.0706260037801,2015-06-06 12:18:00
12,yes,796,2015-06-07 01:43:00,104.15702608386486,2015-06-07 00:30:00
13,tnuva,312,2015-06-07 18:56:00,381.56602012150336,2015-06-07 13:56:00
14,hot,875,2015-06-08 02:12:00,145.78213455195618,2015-06-08 00:17:00
15,intel,240,2015-06-08 19:04:00,439.2141854595741,2015-06-08 12:13:00
16,bituch_leumi,390,2015-06-09 06:17:00,309.72760458690226,2015-06-09 02:30:00
17,angel,942,2015-06-09 19:03:00,366.5926638274567,2015-06-09 13:08:00
18,angel,705,2015-06-10 06:17:00,377.2223382966461,2015-06-10 00:49:00
19,angel,322,2015-06-10 19:51:00,454.87737171541437,2015-06-10 14:21:00
20,electricity,605,2015-06-11 02:34:00,169.26424796295734,2015-06-11 00:23:00
21,angel,602,2015-06-11 15:56:00,287.4483089818634,2015-06-11 12:31:00
22,bituch_leumi,808,2015-06-12 05:02:00,362.4180090566775,2015-06-12 00:56:00
23,aminach,966,2015-06-12 14:33:00,165.3743779654736,2015-06-12 12:25:00
24,angel,688,2015-06-13 07:44:00,352.6874859170319,2015-06-13 02:52:00
25,bituch_leumi,344,2015-06-13 22:36:00,621.1120016457734,2015-06-13 14:40:00
26,angel,630,2015-06-14 08:16:00,410.57790247373805,2015-06-14 02:58:00
27,hot,742,2015-06-13 16:22:00,112.7715941954379,
28,bituch_leumi,232,2015-06-15 09:06:00,599.4829197726234,2015-06-15 02:23:00
29,angel,947,2015-06-15 16:34:00,146.43830734978246,2015-06-15 14:43:00
30,bituch_leumi,712,2015-06-16 06:36:00,399.0576398839615,2015-06-16 01:21:00
31,intel,710,2015-06-16 15:13:00,188.00256818583728,2015-06-16 12:21:00
32,angel,698,2015-06-17 07:34:00,330.60425671630765,2015-06-17 02:37:00
33,hot,713,2015-06-16 17:54:00,457.26361554977143,
34,aminach,173,2015-06-18 07:23:00,357.3459592702158,2015-06-18 03:11:00
35,hot,653,2015-06-18 15:01:00,192.37623737337208,2015-06-18 12:28:00
36,osem,384,2015-06-19 10:01:00,483.0836718530768,2015-06-19 02:09:00
37,bituch_leumi,916,2015-06-19 16:24:00,100.59221851258873,2015-06-19 15:13:00
38,tara,888,2015-06-20 04:21:00,264.57081869536444,2015-06-20 01:04:00
39,bituch_leumi,430,2015-06-20 18:34:00,479.84841249687787,2015-06-20 13:07:00
40,yes,722,2015-06-21 02:49:00,75.70085842897923,2015-06-21 01:54:00
41,jerusalem_muni,450,,405.8003198997423,2015-06-21 13:58:00
42,tara,382,2015-06-22 08:24:00,384.3362177379459,2015-06-22 03:59:00
43,osem,36,2015-06-22 17:56:00,226.33666256528946,2015-06-22 15:15:00
44,tnuva,180,2015-06-23 08:09:00,353.95468623207915,2015-06-23 03:02:00
45,intel,346,2015-06-23 20:20:00,476.3547673750598,2015-06-23 12:25:00
46,osem,809,2015-06-24 06:53:00,183.9972087024621,2015-06-24 03:55:00
47,tnuva,369,2015-06-24 19:22:00,600.1122845210487,2015-06-24 12:37:00
48,tara,787,2015-06-25 04:16:00,203.83461582219286,2015-06-25 01:57:00
49,jerusalem_muni,607,2015-06-25 18:27:00,260.3006824027527,2015-06-25 14:51:00
50,hot,744,2015-06-27 11:32:00,2812.0139954754773,2015-06-26 01:23:00
51,angel,660,2015-06-26 18:52:00,504.01524135870017,2015-06-26 12:13:00
52,intel,532,2015-06-27 03:39:00,67.05577505291683,2015-06-27 02:44:00
53,osem,217,2015-06-27 19:39:00,359.64050399495034,2015-06-27 15:37:00
