,customer,driver_id,end_time,km,start_time
0,yes,999,2015-11-02 11:58:00,2270.8166718330185,2015-11-01 01:57:00
1,osem,55,2015-11-01 13:50:00,140.89674814397776,2015-11-01 12:04:00
2,osem,878,2015-11-02 05:34:00,383.86077363298335,2015-11-02 01:15:00
3,jerusalem_muni,580,2015-11-02 13:56:00,39.904882225806375,2015-11-02 13:26:00
4,osem,557,2015-11-03 09:36:00,606.8197513826452,2015-11-03 02:05:00
5,intel,809,2015-11-03 17:57:00,409.4581372669039,2015-11-03 12:14:00
6,jerusalem_muni,956,2015-11-04 06:59:00,366.5195139418678,2015-11-04 02:11:00
7,intel,177,2015-11-04 14:53:00,61.828871512911604,2015-11-04 13:52:00
8,jerusalem_muni,743,2015-11-05 04:19:00,140.96847747853994,2015-11-05 02:22:00
9,electricity,445,2015-11-05 19:16:00,534.4010813579155,2015-11-05 12:40:00
10,jerusalem_muni,210,2015-11-06 04:23:00,167.47914393760135,2015-11-06 01:39:00
11,tara,844,2015-11-06 13:02:00,63.207785545400334,2015-11-06 12:06:00
12,yes,804,2015-11-07 09:37:00,514.0955407538147,2015-11-07 02:29:00
13,yes,126,2015-11-07 19:05:00,512.9291389596248,2015-11-07 12:22:00
14,osem,681,2015-11-08 02:46:00,218.4065623892414,2015-11-08 00:02:00
15,hot,75,2015-11-08 18:32:00,328.2689478802761,2015-11-08 14:51:00
16,electricity,383,2015-11-09 03:51:00,284.5209768744512,2015-11-09 00:38:00
17,bituch_leumi,954,2015-11-09 18:18:00,377.88175507281113,2015-11-09 12:46:00
18,iaf,693,2015-11-10 06:04:00,144.3468287323769,2015-11-10 03:51:00
19,bituch_leumi,796,2015-11-10 18:54:00,292.875676399135,2015-11-10 15:02:00
20,hot,890,2015-11-11 03:28:00,50.01161641688858,2015-11-11 02:42:00
21,bituch_leumi,832,2015-11-11 19:31:00,514.2580818199507,2015-11-11 12:24:00
22,jerusalem_muni,149,2015-11-12 08:21:00,363.87218032807596,2015-11-12 03:42:00
23,jerusalem_muni,997,2015-11-12 19:51:00,438.98711628335735,2015-11-12 14:21:00
24,jerusalem_muni,373,2015-11-13 04:56:00,292.4696033198807,2015-11-13 01:40:00
25,electricity,2,2015-11-13 14:08:00,41.480940175873954,2015-11-13 13:34:00
26,angel,486,2015-11-14 06:45:00,314.33215914466393,2015-11-14 03:07:00
27,iaf,948,2015-11-14 21:50:00,633.2613506860941,2015-11-14 14:15:00
28,iaf,151,2015-11-15 05:52:00,277.6228836227991,2015-11-15 01:15:00
29,tara,591,2015-11-15 19:13:00,550.6483138742539,2015-11-15 12:56:00
30,intel,327,2015-11-16 03:55:00,129.43439199943484,2015-11-16 02:08:00
31,bituch_leumi,252,2015-11-16 19:11:00,533.1918849166073,2015-11-16 12:38:00
32,iaf,577,2015-11-17 10:47:00,591.4160345524224,2015-11-17 03:23:00
33,angel,804,2015-11-17 20:29:00,437.3961505221743,2015-11-17 13:48:00
34,osem,540,2015-11-18 08:16:00,375.56887452387826,2015-11-18 03:23:00
35,iaf,511,2015-11-18 18:01:00,353.2789941426266,2015-11-18 12:44:00
36,intel,247,2015-11-19 01:32:00,49.81398730619412,2015-11-19 00:54:00
37,bituch_leumi,863,2015-11-19 19:08:00,398.5162941231374,2015-11-19 12:41:00
38,intel,364,2015-11-20 07:17:00,327.7642223648621,2015-11-20 02:19:00
39,iaf,441,2015-11-20 18:39:00,302.1202027866946,2015-11-20 15:03:00
40,intel,707,2015-11-22 17:04:00,3285.201615934562,2015-11-21 03:38:00
41,yes,314,2015-11-21 20:17:00,540.9682143151006,2015-11-21 13:49:00
42,tara,761,2015-11-22 02:22:00,53.70779088234535,2015-11-22 01:38:00
43,tnuva,303,2015-11-22 15:59:00,135.7000684460624,2015-11-22 14:05:00
44,osem,336,2015-11-23 05:57:00,368.88317923567735,2015-11-23 01:49:00
45,aminach,297,2015-11-23 15:02:00,44.45100844424593,2015-11-23 14:30:00
46,hot,859,2015-11-24 05:46:00,196.69466988023194,2015-11-24 03:03:00
47,osem,822,2015-11-24 20:00:00,314.1203956361449,2015-11-24 15:59:00
48,hot,475,2015-11-25 06:50:00,529.6964283948515,2015-11-25 00:02:00
49,iaf,833,2015-11-25 15:39:00,270.33180659332373,2015-11-25 12:17:00
50,angel,907,2015-11-26 06:41:00,470.74891523726933,2015-11-26 00:12:00
51,osem,320,2015-11-26 17:45:00,231.21854838756363,2015-11-26 14:50:00
52,osem,821,2015-11-27 02:48:00,123.90397984976136,2015-11-27 01:22:00
53,electricity,497,2015-11-27 23:44:00,497.68852257327245,2015-11-27 15:54:00
