,customer,driver_id,end_time,km,start_time
0,intel,336,2015-11-01 05:37:00,410.81950490561087,2015-11-01 00:45:00
1,osem,429,2015-11-01 16:27:00,212.5873168844916,2015-11-01 13:16:00
2,yes,913,2015-11-02 04:54:00,290.16737011755475,2015-11-02 01:24:00
3,angel,281,2015-11-02 22:44:00,667.9039278566156,2015-11-02 15:09:00
4,iaf,370,2015-11-03 07:53:00,694.0125711246194,2015-11-03 00:04:00
5,bituch_leumi,330,2015-11-03 21:02:00,603.4653625281368,2015-11-03 13:43:00
6,electricity,794,2015-11-04 09:30:00,574.92181513404,2015-11-04 02:01:00
7,osem,818,2015-11-04 23:33:00,608.959987792326,2015-11-04 15:54:00
8,osem,693,2015-11-05 04:08:00,169.95832601061628,2015-11-05 01:59:00
9,intel,717,2015-11-05 19:26:00,395.17275563324836,2015-11-05 14:37:00
10,jerusalem_muni,298,2015-11-06 08:19:00,451.53525649119484,2015-11-06 02:55:00
11,iaf,598,,373.84690002528515,2015-11-06 12:54:00
12,osem,246,2015-11-07 06:30:00,296.6372594901644,2015-11-07 01:39:00
13,angel,96,2015-11-07 21:21:00,353.59800403816746,2015-11-07 15:59:00
14,electricity,546,2015-11-08 09:40:00,449.2114211687762,2015-11-08 02:56:00
15,jerusalem_muni,547,2015-11-08 19:35:00,312.4343439441659,2015-11-08 15:38:00
16,bituch_leumi,351,2015-11-09 11:19:00,651.5623783538432,2015-11-09 03:30:00
17,angel,769,2015-11-09 18:32:00,424.09452366764907,2015-11-09 13:35:00
18,tara,209,2015-11-10 09:29:00,477.19161274110724,2015-11-10 02:32:00
19,hot,853,2015-11-10 20:58:00,444.8736491693486,2015-11-10 14:02:00
20,electricity,380,2015-11-11 10:16:00,652.5011602860177,2015-11-11 02:20:00
21,tara,372,2015-11-11 16:37:00,233.73724668145655,2015-11-11 13:52:00
22,aminach,535,2015-11-12 06:57:00,421.3074345509703,2015-11-12 01:36:00
23,tnuva,243,2015-11-12 16:55:00,161.87188594571995,2015-11-12 15:04:00
24,yes,280,2015-11-13 06:05:00,324.5143635907604,2015-11-13 01:34:00
25,electricity,818,2015-11-13 16:10:00,248.57181161084367,2015-11-13 13:17:00
26,aminach,325,2015-11-14 04:29:00,154.95150002105626,2015-11-14 02:26:00
27,intel,236,2015-11-14 15:21:00,109.69060101053104,2015-11-14 13:56:00
28,intel,746,2015-11-15 06:38:00,384.8689536897925,2015-11-15 01:31:00
29,bituch_leumi,846,2015-11-15 21:34:00,388.9042644471559,2015-11-15 15:28:00
30,hot,468,2015-11-16 05:19:00,228.55719142109947,2015-11-16 02:32:00
31,electricity,48,2015-11-16 18:32:00,410.5978998672715,2015-11-16 13:26:00
32,aminach,640,2015-11-17 01:42:00,84.77404499339528,2015-11-17 00:24:00
33,hot,163,2015-11-17 17:18:00,223.76673234327126,2015-11-17 14:48:00
34,iaf,721,2015-11-18 08:30:00,510.3095905115677,2015-11-18 02:31:00
35,electricity,744,2015-11-18 18:09:00,460.4047347813888,2015-11-18 13:00:00
36,iaf,261,2015-11-19 07:38:00,490.6649040928259,2015-11-19 00:48:00
37,tnuva,269,2015-11-19 18:01:00,167.64427344224666,2015-11-19 15:15:00
38,intel,340,2015-11-20 02:42:00,77.45468546165341,2015-11-20 01:48:00
39,tnuva,966,2015-11-20 15:21:00,261.5005377786766,2015-11-20 12:14:00
40,iaf,922,2015-11-21 04:41:00,214.11787631835077,2015-11-21 01:36:00
41,intel,589,2015-11-21 22:02:00,410.58461142702697,2015-11-21 15:59:00
42,tnuva,555,2015-11-22 03:55:00,58.82433215780979,2015-11-22 03:15:00
43,iaf,906,2015-11-22 14:58:00,108.54519058409467,2015-11-22 13:18:00
44,electricity,872,2015-11-23 10:57:00,537.648528532718,2015-11-23 03:07:00
45,electricity,606,2015-11-23 22:12:00,383.4370748216289,2015-11-23 15:55:00
46,angel,641,2015-11-24 10:50:00,580.9552346718334,2015-11-24 03:33:00
47,osem,986,2015-11-24 20:19:00,558.7596211241867,2015-11-24 12:55:00
48,iaf,920,2015-11-25 09:09:00,651.760617736743,2015-11-25 01:44:00
49,yes,832,2015-11-25 20:50:00,532.082631574468,2015-11-25 13:23:00
50,intel,153,2015-11-26 04:39:00,112.779662104359,2015-11-26 02:58:00
51,osem,538,2015-11-26 17:52:00,380.60827791453505,2015-11-26 12:41:00
52,electricity,177,2015-11-27 02:27:00,164.74960871842512,2015-11-27 00:14:00
53,tnuva,30,2015-11-27 18:30:00,260.35898176925986,2015-11-27 15:14:00
