,customer,driver_id,end_time,km,start_time
0,osem,131,2015-09-01 05:45:00,231.6841927502674,2015-09-01 02:41:00
1,hot,255,2015-09-01 19:22:00,304.295041925858,2015-09-01 15:58:00
2,tnuva,203,2015-09-02 08:49:00,438.2049567063167,2015-09-02 03:19:00
3,angel,577,2015-09-02 22:28:00,613.94113581155,2015-09-02 14:54:00
4,tara,679,2015-09-03 05:14:00,400.6819416836236,2015-09-03 00:44:00
5,electricity,712,2015-09-03 16:54:00,411.7496603830286,2015-09-03 12:18:00
6,iaf,874,,281.0812297760827,2015-09-04 01:42:00
7,angel,27,2015-09-04 19:23:00,547.5716977003516,2015-09-04 12:55:00
8,jerusalem_muni,539,2015-09-05 04:33:00,250.45216963930727,2015-09-05 01:19:00
9,iaf,104,2015-09-04 13:58:00,70.51005814459985,
10,hot,699,2015-09-06 05:12:00,425.66019306139276,2015-09-06 00:19:00
11,osem,993,2015-09-06 16:01:00,297.0254595878379,2015-09-06 12:36:00
12,osem,789,2015-09-07 04:45:00,165.3661519490439,2015-09-07 02:18:00
13,yes,288,2015-09-07 17:01:00,334.25717494268264,2015-09-07 12:04:00
14,iaf,614,2015-09-08 05:31:00,331.91914269560937,2015-09-08 01:15:00
15,tara,607,2015-09-08 16:51:00,321.1179790278025,2015-09-08 13:12:00
16,osem,920,2015-09-09 08:38:00,504.8911905462636,2015-09-09 01:15:00
17,tnuva,671,2015-09-09 16:21:00,168.80131091280077,2015-09-09 14:08:00
18,bituch_leumi,901,,487.21592864913765,2015-09-10 02:25:00
19,angel,75,2015-09-10 16:38:00,104.01758233930933,2015-09-10 14:59:00
20,jerusalem_muni,550,2015-09-11 09:20:00,617.3194395351532,2015-09-11 01:31:00
21,tnuva,731,2015-09-11 19:51:00,590.7664011081769,2015-09-11 12:10:00
22,tara,729,2015-09-12 06:29:00,367.8350745667608,2015-09-12 02:22:00
23,aminach,999,2015-09-12 14:50:00,144.40948279383778,2015-09-12 13:09:00
24,electricity,23,2015-09-13 07:18:00,399.1746669818794,2015-09-13 01:44:00
25,tara,784,2015-09-13 18:37:00,470.2573182879314,2015-09-13 12:15:00
26,iaf,203,2015-09-14 08:26:00,498.6326402114484,2015-09-14 01:13:00
27,bituch_leumi,350,,384.9184080165029,
28,iaf,817,2015-09-15 04:56:00,99.19018879370356,2015-09-15 03:25:00
29,angel,564,2015-09-15 17:36:00,286.8237330809089,2015-09-15 14:18:00
30,angel,676,2015-09-16 09:43:00,470.4367131940038,2015-09-16 02:37:00
31,intel,303,2015-09-16 18:34:00,322.9560380676427,2015-09-16 14:49:00
32,hot,204,2015-09-17 05:46:00,395.99236154595485,2015-09-17 00:52:00
33,osem,642,2015-09-17 18:15:00,501.966976649346,2015-09-17 12:29:00
34,tara,259,2015-09-18 07:28:00,428.82943004727736,2015-09-18 00:50:00
35,aminach,201,2015-09-18 22:49:00,510.9256793443973,2015-09-18 15:19:00
36,bituch_leumi,98,2015-09-19 10:14:00,436.273882421847,2015-09-19 03:01:00
37,tnuva,316,2015-09-19 22:28:00,630.1989596086341,2015-09-19 15:16:00
38,jerusalem_muni,583,2015-09-20 05:54:00,316.61362684925405,2015-09-20 02:11:00
39,yes,225,2015-09-20 16:42:00,249.89723817595663,2015-09-20 13:54:00
40,hot,334,2015-09-21 07:57:00,368.8175852499359,2015-09-21 02:08:00
41,tara,841,2015-09-21 18:56:00,301.5690927886046,2015-09-21 14:53:00
42,intel,555,2015-09-22 04:35:00,303.3944454085378,2015-09-22 01:03:00
43,jerusalem_muni,486,2015-09-22 23:12:00,505.6874694553299,2015-09-22 15:41:00
44,electricity,189,2015-09-23 02:09:00,135.2074899198733,2015-09-23 00:24:00
45,electricity,356,2015-09-23 18:48:00,277.69322819173277,2015-09-23 14:29:00
46,tara,820,2015-09-24 09:41:00,376.8660067429198,2015-09-24 03:50:00
47,electricity,966,2015-09-24 14:37:00,103.37666870771866,2015-09-24 13:19:00
48,iaf,504,2015-09-25 06:37:00,390.2573595297457,2015-09-25 00:27:00
49,intel,414,2015-09-24 14:23:00,70.90400381788301,
50,tnuva,921,2015-09-27 19:07:00,2999.0532287821757,2015-09-26 02:24:00
51,tnuva,730,2015-09-26 16:51:00,361.0581668562725,2015-09-26 12:46:00
52,electricity,380,2015-09-27 03:45:00,115.04352752139336,2015-09-27 01:52:00
53,iaf,69,2015-09-27 15:15:00,192.68436158137746,2015-09-27 12:08:00
