"photo_id";"owner";"gender";"occupation";"title";"description";"faves";"lat";"lon";"u_city";"u_country";"taken";"weather";"season";"daytime"
"17271526139";"130418712@N05";"1";NA;"Rio Trejo";"Son numerosos los rios y arroyos que discurren por Setenil de las Bodegas, tanto por el municipio, como por el nucleo urbano.
Dos de esos rios o arroyos, el Rio Setenil o Rio de la Peña y el Arroyo del Burgo confluyen y se unen para formar el Rio Trejo, el cual, kilómetros mas adelante se une con el Arroyo del Zumacal para formar el Rio Guadalporcun, pero ya en tierras de Torre Alhaquime.
La imagen corresponde practicamente al nacimiento del Rio Trejo, a escasos metros del mismo, y bajo un puente por donde discurre una carretera.
La unica pega es la calidad del agua, sucia y mal oliente, lo cual no quita la belleza de ese bonito pueblo";701;36,861544;-5,177747;NA;NA;"2015-04-26 17:11:11";NA;1;2
"17776887679";"55101137@N02";"1";NA;"2015-05-13-022FD PH-XRD";"<u><b>Aircraft Type - Registration - (c/n)</b></u> . . <b>Boeing 737-7K2 - PH-XRD - (30659)</b>

<u><b>Owner/Operator</b></u> . . <b>Transavia</b>

<u><b>Location &amp; Date</b></u> . . <b>Eindhoven (EIN/EHEH) Welschap  Netherlands - 13th May 2015</b>";1;51,463766;5,392935;"Bodmin";"United Kingdom";"2015-05-13 00:00:22";9;1;3
"17898331633";"55101137@N02";"1";NA;"2015-05-17-022FD OO-GWA";"<u><b>Aircraft Type - Registration - (c/n)</b></u> . . <b>SNCAN Stampe SV-4C - OO-GWA - (478)</b>

<u><b>Owner/Operator</b></u> . . <b>Private</b>

<u><b>Location &amp; Date</b></u> . . <b>Antwerp (ANR/EBAW) Deurne Belgium - 17th May 2015</b>

<b>V66 (Belgian Air Force)</b>";2;51,190492;4,453765;"Bodmin";"United Kingdom";"2015-05-17 00:00:22";9;1;3
"17940239919";"55101137@N02";"1";NA;"2015-05-14-020FD D-1553";"<u><b>Aircraft Type - Registration - (c/n)</b></u> . . <b>Schleicher K7 - D-1553 - (?)</b>

<u><b>Owner/Operator</b></u> . . <b>PS Aero</b>

<u><b>Location &amp; Date</b></u> . . <b>Baarlo Limburg Netherlands - 14th May 2015</b>";0;51,326247;6,085953;"Bodmin";"United Kingdom";"2015-05-14 00:00:20";9;1;3
"17963122505";"55101137@N02";"1";NA;"2015-05-13-025FD EI-DLI";"<u><b>Aircraft Type - Registration - (c/n)</b></u> . . <b>Boeing 737-8AS - EI-DLI - (33591)</b>

<u><b>Owner/Operator</b></u> . . <b>Ryanair</b>

<u><b>Location &amp; Date</b></u> . . <b>Eindhoven (EIN/EHEH) Welschap  Netherlands - 13th May 2015</b>";2;51,463766;5,392935;"Bodmin";"United Kingdom";"2015-05-13 00:00:25";9;1;3
"18331250198";"55101137@N02";"1";NA;"2015-05-17-023FD OO-PAX";"<u><b>Aircraft Type - Registration - (c/n)</b></u> . . <b>Stampe-Vertongen SV-4B - OO-PAX - (1147)</b>

<u><b>Owner/Operator</b></u> . . <b>Private</b>

<u><b>Location &amp; Date</b></u> . . <b>Antwerp (ANR/EBAW) Deurne Belgium - 17th May 2015</b>

<b>5 Belgian Air Force</b>";2;51,190492;4,453765;"Bodmin";"United Kingdom";"2015-05-17 00:00:23";9;1;3
"20052582226";"69258414@N08";"3";NA;"2x218, Hattstedt, 22.07.2015";"Ein Intercity nordwärts in Hattstedt. Bespannt mit einem 218er Pärchen gebildet aus 218 319 und 218 344 unterwegs nach Westerland auf Sylt.";47;54,529777;9,029133;NA;NA;"2015-07-22 15:31:00";9;2;1
"20383414776";"131084835@N03";"1";NA;"Skyffel";"Tour Eiffel in March on a cloudy day in Paris.";72;48,861686;2,293117;NA;NA;"2015-03-21 15:17:56";7;1;1
"25740797653";"133755874@N03";"2";NA;"Osterglocken in weiß ;)";"Braunschweig

OLYMPUS art filter &quot;Partial Color&quot;";11;52,213888;10,523333;"Braunschweig";"Deutschland";"2016-04-03 14:19:35";1;1;1
"25843872864";"32675973@N00";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"26503578166";"130418712@N05";"1";NA;"Atardeciendo en Almeria";"Atardecer sobre el Golfo de Almería, captado desde el Espigón de los Juegos, un un golfo que se situa en la costa de Almería y que se abre al mar de Alborán. 
Está delimitado de oeste a este por la punta del Moro y el cabo de Gata, donde destacan sus prominentes formaciones rocosas pertenecientes a las cordilleras Béticas, que dan lugar a acantilados que se alternan con zonas de costa baja. 
Parte de su medio natural está integrado en el Parque Natural del Cabo de Gata-Níjar.";688;36,821091;-2,443153;NA;NA;"2016-04-18 20:15:15";9;1;2
"27624094755";"130418712@N05";"1";NA;"Laguna Colgada";"Viata de la Laguna de Colgada, una de las que componen las Lagunas de Ruidera, vista desde el Hotel Entrelagos.
Esta laguna es la mas grande de todas y está comunicada con la Laguna del Rey por el río Las Paranzas, justo a la altura del citado Hotel, desde el que se pueden divisar ambas lagunas";616;38,964631;-2,884812;NA;NA;"2016-06-11 20:13:46";1;1;2
"28853122201";"69258414@N08";"3";NA;"InterCity auf Usedom";"Auf Regen folgt Sonne.
Glücklicherweise ließ sich die Sonne blicken, als 218 369 mit dem einzigen auf der Insel Usedom verkehrenden IC zwischen Koserow und Kölpinsee fotografisch verewigt werden konnte (aufgenommen am 06.August 2016)";49;54,040938;14,010755;NA;NA;"2016-08-06 17:39:01";9;2;2
"29263898094";"146106459@N03";"1";"Informaticien";"_DSC2493_DxO A travers";"Monochrome I like B&amp;W";5;48,836108;2,381694;"Paris";"France";"2016-08-10 14:41:21";9;2;1
