,customer,driver_id,end_time,km,start_time
0,iaf,436,2015-04-01 02:17:00,54.7422465763428,2015-04-01 01:39:00
1,hot,273,2015-04-01 15:01:00,79.60260845900267,2015-04-01 13:59:00
2,electricity,994,2015-04-02 03:17:00,118.04985481129034,2015-04-02 01:38:00
3,hot,854,2015-04-02 18:06:00,432.82657247789837,2015-04-02 12:57:00
4,bituch_leumi,159,2015-04-03 03:41:00,104.075861270497,2015-04-03 02:27:00
5,bituch_leumi,963,2015-04-03 20:53:00,349.0566188192984,2015-04-03 15:44:00
6,electricity,557,2015-04-04 05:42:00,185.15959124759434,2015-04-04 03:29:00
7,hot,373,2015-04-04 17:06:00,105.76405692693962,2015-04-04 15:50:00
8,osem,222,2015-04-05 01:02:00,67.90439081513374,2015-04-05 00:15:00
9,angel,937,2015-04-05 15:26:00,55.95715647606104,2015-04-05 14:40:00
10,tnuva,319,2015-04-06 04:47:00,245.86829991670862,2015-04-06 00:46:00
11,tara,7,2015-04-06 18:32:00,277.21314579665494,2015-04-06 14:04:00
12,jerusalem_muni,425,2015-04-07 07:51:00,686.6773872745046,2015-04-07 00:07:00
13,bituch_leumi,50,2015-04-07 18:32:00,428.40471176045423,2015-04-07 13:45:00
14,tara,379,2015-04-08 10:19:00,567.0091752501406,2015-04-08 03:48:00
15,jerusalem_muni,265,2015-04-08 15:15:00,199.1554897142243,2015-04-08 12:12:00
16,jerusalem_muni,553,2015-04-09 04:34:00,299.44048162912935,2015-04-09 00:47:00
17,bituch_leumi,238,2015-04-09 19:53:00,423.3972673380911,2015-04-09 14:05:00
18,yes,191,2015-04-10 04:41:00,57.99872468908156,2015-04-10 03:57:00
19,tara,124,2015-04-10 14:24:00,46.78107943322858,2015-04-10 13:48:00
20,electricity,661,2015-04-12 17:19:00,3029.2970929105963,2015-04-11 00:10:00
21,tnuva,244,2015-04-11 22:27:00,470.3533271398519,2015-04-11 15:52:00
22,bituch_leumi,168,2015-04-12 05:36:00,169.01304772491872,2015-04-12 03:13:00
23,intel,154,2015-04-12 20:45:00,635.1564020030374,2015-04-12 12:59:00
24,aminach,552,2015-04-13 07:03:00,387.05262330386483,2015-04-13 01:49:00
25,intel,32,2015-04-13 18:25:00,327.09548055937626,2015-04-13 14:34:00
26,bituch_leumi,668,2015-04-14 06:41:00,352.2421235248066,2015-04-14 02:12:00
27,aminach,685,2015-04-14 17:29:00,333.36206153104536,2015-04-14 13:04:00
28,intel,122,2015-04-15 05:44:00,486.4880312147185,2015-04-15 00:01:00
29,intel,768,2015-04-15 22:42:00,553.5492614806127,2015-04-15 15:19:00
30,intel,738,2015-04-16 06:49:00,437.20944968797284,2015-04-16 01:35:00
31,aminach,736,2015-04-16 21:59:00,498.82015989228574,2015-04-16 14:46:00
32,tara,490,2015-04-17 07:55:00,490.22276005327353,2015-04-17 01:08:00
33,yes,529,2015-04-17 15:03:00,186.93010103118382,2015-04-17 12:36:00
34,tnuva,828,2015-04-18 09:23:00,571.0811126904327,2015-04-18 02:43:00
35,iaf,243,2015-04-18 17:14:00,107.83169954324873,2015-04-18 15:31:00
36,intel,755,2015-04-19 05:11:00,284.5660788901117,2015-04-19 01:23:00
37,tara,14,2015-04-19 18:34:00,285.7782268113567,2015-04-19 14:50:00
38,tara,493,2015-04-20 04:27:00,253.46924573257422,2015-04-20 01:37:00
39,electricity,15,2015-04-20 18:04:00,172.74389938242967,2015-04-20 15:56:00
40,iaf,22,2015-04-21 02:40:00,93.35109581785446,2015-04-21 01:28:00
41,hot,689,2015-04-21 23:13:00,608.7709999371518,2015-04-21 15:27:00
42,bituch_leumi,253,2015-04-22 09:08:00,483.68918699193244,2015-04-22 01:28:00
43,osem,763,2015-04-22 13:12:00,47.50542690608171,2015-04-22 12:34:00
44,hot,194,2015-04-23 06:49:00,313.65706683249243,2015-04-23 03:14:00
45,bituch_leumi,706,2015-04-23 22:35:00,500.635101436613,2015-04-23 15:58:00
46,iaf,84,2015-04-24 00:51:00,37.99889071561896,2015-04-24 00:16:00
47,yes,145,2015-04-24 12:42:00,46.35412298074889,2015-04-24 12:05:00
48,tara,88,2015-04-25 07:58:00,490.55389749244057,2015-04-25 00:00:00
49,tara,556,2015-04-25 18:11:00,458.5397858832647,2015-04-25 12:28:00
50,jerusalem_muni,413,2015-04-26 08:19:00,544.6002166564239,2015-04-26 00:52:00
51,yes,36,2015-04-26 18:34:00,207.79531173508394,2015-04-26 15:43:00
52,yes,416,2015-04-27 04:57:00,184.16843458979625,2015-04-27 02:23:00
53,yes,807,2015-04-27 17:08:00,172.7942330392068,2015-04-27 14:20:00
