,customer,driver_id,end_time,km,start_time
0,hot,544,2015-08-01 01:29:00,41.671912051917644,2015-08-01 00:51:00
1,iaf,632,2015-08-01 22:01:00,476.0408533122076,2015-08-01 15:27:00
2,angel,974,2015-08-02 03:40:00,22.006656486446158,2015-08-02 00:11:00
3,aminach,170,2015-08-02 21:05:00,525.7318250255571,2015-08-02 13:33:00
4,tnuva,221,2015-08-03 03:03:00,179.11449567033347,2015-08-03 00:44:00
5,hot,113,2015-08-03 20:34:00,571.9481480347816,2015-08-03 12:36:00
6,intel,8,2015-08-04 05:21:00,223.46717863997392,2015-08-04 02:37:00
7,osem,253,2015-08-04 16:26:00,162.35271620209153,2015-08-04 14:36:00
8,jerusalem_muni,846,2015-08-05 02:49:00,149.1783948106961,2015-08-05 00:51:00
9,aminach,689,2015-08-05 18:44:00,328.72673453269164,2015-08-05 14:41:00
10,hot,325,2015-08-06 08:54:00,453.97525306804687,2015-08-06 02:16:00
11,jerusalem_muni,695,2015-08-05 21:49:00,574.2708917338093,
12,intel,67,2015-08-07 08:28:00,429.3428115966253,2015-08-07 02:42:00
13,yes,631,2015-08-07 19:47:00,415.9560543810609,2015-08-07 14:37:00
14,electricity,966,2015-08-08 09:57:00,567.784816009786,2015-08-08 03:02:00
15,hot,342,2015-08-08 19:40:00,385.26942066714514,2015-08-08 15:16:00
16,iaf,673,2015-08-09 01:29:00,82.58560226441367,2015-08-09 00:25:00
17,tnuva,777,2015-08-09 18:24:00,353.62028609824813,2015-08-09 14:02:00
18,yes,679,2015-08-10 06:19:00,311.2214114547969,2015-08-10 01:38:00
19,angel,23,2015-08-10 19:12:00,400.8834347806406,2015-08-10 13:34:00
20,hot,459,2015-08-11 06:05:00,427.6573705501961,2015-08-11 01:17:00
21,angel,842,2015-08-11 19:07:00,288.17253532785026,2015-08-11 15:14:00
22,aminach,154,2015-08-12 08:57:00,466.0502639937288,2015-08-12 02:13:00
23,osem,710,2015-08-12 21:50:00,554.1402822595521,2015-08-12 14:13:00
24,electricity,374,2015-08-13 04:07:00,170.22950086503278,2015-08-13 02:13:00
25,aminach,254,2015-08-13 14:19:00,57.72087851827368,2015-08-13 13:24:00
26,iaf,300,2015-08-14 08:33:00,676.8018396134748,2015-08-14 00:53:00
27,angel,910,2015-08-14 19:23:00,355.44176435524184,2015-08-14 13:53:00
28,osem,43,2015-08-15 02:49:00,146.74933931884567,2015-08-15 00:29:00
29,hot,276,2015-08-15 18:44:00,407.14172118847216,2015-08-15 12:37:00
30,angel,786,2015-08-16 08:14:00,566.7544346703068,2015-08-16 01:25:00
31,bituch_leumi,503,2015-08-16 15:20:00,253.14538840392976,2015-08-16 12:20:00
32,electricity,375,2015-08-17 05:47:00,393.35659711895323,2015-08-17 00:48:00
33,electricity,904,2015-08-17 18:43:00,194.65373803256176,2015-08-17 15:52:00
34,aminach,487,2015-08-18 05:30:00,206.59235368855045,2015-08-18 02:58:00
35,jerusalem_muni,35,2015-08-18 18:30:00,463.56027587094593,2015-08-18 13:15:00
36,yes,850,2015-08-19 02:50:00,170.73485346885968,2015-08-19 00:05:00
37,aminach,481,2015-08-19 15:45:00,155.00024986892944,2015-08-19 13:54:00
38,aminach,886,2015-08-20 09:46:00,447.8483271253289,2015-08-20 03:10:00
39,aminach,843,2015-08-21 23:53:00,3032.3954620327886,2015-08-20 13:15:00
40,electricity,29,2015-08-21 08:29:00,580.0005278769772,2015-08-21 00:42:00
41,hot,81,2015-08-21 22:22:00,489.08667761431025,2015-08-21 14:51:00
42,aminach,417,2015-08-22 03:34:00,57.22511258272344,2015-08-22 02:55:00
43,electricity,488,2015-08-22 16:26:00,374.9113624575436,2015-08-22 12:01:00
44,tnuva,609,2015-08-23 04:36:00,163.03278615055422,2015-08-23 02:23:00
45,electricity,517,2015-08-23 12:40:00,46.29669150411294,2015-08-23 12:05:00
46,osem,643,2015-08-24 06:52:00,274.2580477392767,2015-08-24 02:42:00
47,electricity,411,2015-08-24 13:36:00,88.30074581615139,2015-08-24 12:24:00
48,electricity,386,2015-08-25 06:36:00,360.0402430596266,2015-08-25 02:01:00
49,yes,836,2015-08-25 19:38:00,480.5759303133493,2015-08-25 13:11:00
50,tnuva,496,2015-08-26 07:28:00,326.1719050708786,2015-08-26 02:20:00
51,yes,239,2015-08-26 14:03:00,158.85463284554402,2015-08-26 12:14:00
52,iaf,572,2015-08-27 02:24:00,41.2918819573951,2015-08-27 01:47:00
53,angel,30,2015-08-27 15:05:00,129.0435744105516,2015-08-27 13:10:00
