,customer,driver_id,end_time,km,start_time
0,tnuva,375,2015-12-01 09:35:00,432.1695542549119,2015-12-01 03:15:00
1,intel,899,2015-12-01 15:53:00,226.2536530950299,2015-12-01 12:26:00
2,jerusalem_muni,247,2015-12-02 01:24:00,41.409752747977855,2015-12-02 00:44:00
3,electricity,145,2015-12-02 16:39:00,58.671077767372815,2015-12-02 15:49:00
4,aminach,520,2015-12-03 02:29:00,92.28916008047987,2015-12-03 01:11:00
5,bituch_leumi,252,2015-12-03 20:51:00,631.3305806981667,2015-12-03 13:27:00
6,iaf,473,2015-12-04 06:20:00,198.13150461176235,2015-12-04 03:42:00
7,intel,35,2015-12-04 16:20:00,289.8244318545227,2015-12-04 12:38:00
8,jerusalem_muni,644,2015-12-05 04:26:00,182.36808622688193,2015-12-05 01:48:00
9,tara,531,2015-12-05 18:31:00,242.86939494465705,2015-12-05 15:46:00
10,aminach,653,2015-12-06 02:15:00,92.53317046617354,2015-12-06 01:02:00
11,electricity,823,2015-12-06 17:19:00,281.34856965991366,2015-12-06 12:42:00
12,iaf,460,2015-12-07 10:10:00,461.0693137621196,2015-12-07 03:10:00
13,electricity,792,2015-12-07 17:47:00,209.02551672180067,2015-12-07 15:10:00
14,hot,366,2015-12-08 01:53:00,34.19563553356689,2015-12-08 01:20:00
15,osem,118,2015-12-08 18:32:00,262.3036326807905,2015-12-08 15:20:00
16,bituch_leumi,77,2015-12-09 08:47:00,383.4193922858801,2015-12-09 03:17:00
17,intel,563,2015-12-09 17:59:00,368.4879053306,2015-12-09 13:51:00
18,iaf,763,2015-12-10 06:00:00,161.6640101726065,2015-12-10 03:24:00
19,hot,513,2015-12-10 16:25:00,127.06063637653244,2015-12-10 14:52:00
20,angel,901,2015-12-11 08:05:00,382.5360485877801,2015-12-11 03:06:00
21,angel,145,2015-12-11 17:24:00,323.3100458942437,2015-12-11 13:48:00
22,iaf,780,2015-12-12 11:24:00,675.6749752189048,2015-12-12 03:40:00
23,aminach,733,2015-12-12 22:22:00,494.26197130586877,2015-12-12 15:47:00
24,jerusalem_muni,639,2015-12-13 11:25:00,674.5465853858925,2015-12-13 03:48:00
25,angel,668,2015-12-13 14:06:00,78.78832023531291,2015-12-13 13:13:00
26,hot,377,2015-12-14 03:11:00,52.82790898963139,2015-12-14 02:34:00
27,bituch_leumi,300,2015-12-14 18:10:00,260.3113045588492,2015-12-14 14:08:00
28,yes,36,2015-12-15 06:28:00,285.24061583100485,2015-12-15 02:50:00
29,aminach,615,2015-12-15 16:26:00,275.12847315046713,2015-12-15 12:40:00
30,electricity,768,2015-12-16 02:11:00,73.70314025369592,2015-12-16 01:18:00
31,tara,220,2015-12-16 19:02:00,354.51683445612395,2015-12-16 13:59:00
32,tnuva,536,2015-12-17 04:25:00,96.35364331321975,2015-12-17 03:16:00
33,tara,307,2015-12-17 21:40:00,501.56473363680254,2015-12-17 14:36:00
34,bituch_leumi,251,2015-12-18 03:08:00,199.22229143092736,2015-12-18 00:19:00
35,jerusalem_muni,481,2015-12-18 20:56:00,463.65130198255775,2015-12-18 13:46:00
36,angel,851,2015-12-19 07:22:00,368.4198281470925,2015-12-19 02:48:00
37,jerusalem_muni,283,2015-12-19 18:43:00,198.5508473026582,2015-12-19 15:34:00
38,intel,967,2015-12-20 06:10:00,285.378553210548,2015-12-20 02:59:00
39,angel,997,2015-12-20 14:39:00,98.24234819250388,2015-12-20 13:16:00
40,yes,860,2015-12-21 06:08:00,296.62252256361813,2015-12-21 02:18:00
41,hot,578,2015-12-21 13:24:00,43.27265502543876,2015-12-21 12:52:00
42,tnuva,305,2015-12-22 10:30:00,616.1605919944395,2015-12-22 03:32:00
43,angel,223,2015-12-22 14:49:00,159.09828198150265,2015-12-22 12:50:00
44,bituch_leumi,938,2015-12-23 03:05:00,73.18018374527547,2015-12-23 01:56:00
45,electricity,437,2015-12-23 17:21:00,133.7906962666295,2015-12-23 15:40:00
46,electricity,435,2015-12-24 07:13:00,361.57826546721753,2015-12-24 01:32:00
47,angel,367,2015-12-24 18:21:00,477.61144267274125,2015-12-24 12:56:00
48,yes,10,2015-12-25 09:40:00,510.2572616778903,2015-12-25 03:27:00
49,tnuva,321,2015-12-25 16:06:00,239.43086284309786,2015-12-25 12:31:00
50,jerusalem_muni,110,2015-12-26 06:15:00,399.4631588306421,2015-12-26 00:38:00
51,electricity,811,2015-12-26 15:08:00,175.56159957229002,2015-12-26 12:20:00
52,tara,227,2015-12-27 08:35:00,418.08714884046134,2015-12-27 02:19:00
53,tara,501,2015-12-27 17:48:00,218.55463378129926,2015-12-27 14:42:00
