,customer,driver_id,end_time,km,start_time
0,iaf,190,2015-02-01 02:34:00,168.60340934756283,2015-02-01 00:38:00
1,bituch_leumi,541,2015-02-01 17:42:00,422.5681102188089,2015-02-01 12:06:00
2,tara,548,2015-02-02 06:14:00,186.00801078588555,2015-02-02 03:40:00
3,bituch_leumi,616,2015-02-02 17:52:00,343.88273160787577,2015-02-02 12:37:00
4,angel,273,2015-02-03 05:17:00,372.19944565865114,2015-02-03 00:36:00
5,aminach,448,2015-02-03 17:06:00,237.3576506053097,2015-02-03 14:27:00
6,yes,501,2015-02-04 09:20:00,373.48551645077606,2015-02-04 03:09:00
7,aminach,981,2015-02-04 19:09:00,570.5721321072203,2015-02-04 12:14:00
8,bituch_leumi,187,2015-02-05 06:38:00,280.8190131587456,2015-02-05 03:02:00
9,aminach,757,2015-02-05 21:04:00,601.6147066660541,2015-02-05 13:35:00
10,yes,691,2015-02-06 09:29:00,565.7074414311672,2015-02-06 03:06:00
11,tnuva,353,2015-02-06 16:06:00,110.56518320903373,2015-02-06 14:25:00
12,osem,11,2015-02-07 10:36:00,607.8093540643707,2015-02-07 02:51:00
13,hot,616,2015-02-07 20:46:00,346.461572338207,2015-02-07 15:44:00
14,tnuva,828,2015-02-08 07:00:00,237.48169047699272,2015-02-08 03:25:00
15,bituch_leumi,567,2015-02-08 19:12:00,363.8593760173222,2015-02-08 15:09:00
16,iaf,775,2015-02-09 07:09:00,375.89530666657237,2015-02-09 01:35:00
17,aminach,823,2015-02-09 17:30:00,208.48169231798178,2015-02-09 14:52:00
18,osem,884,2015-02-10 07:53:00,539.7185588446159,2015-02-10 00:17:00
19,angel,442,2015-02-10 17:27:00,397.98079729972443,2015-02-10 12:56:00
20,angel,815,2015-02-11 08:32:00,309.9478139630215,2015-02-11 03:23:00
21,tnuva,722,2015-02-11 18:13:00,408.2639113059214,2015-02-11 13:02:00
22,tnuva,328,2015-02-12 08:42:00,595.5443791001532,2015-02-12 01:56:00
23,aminach,617,2015-02-12 15:20:00,127.01889337077705,2015-02-12 13:46:00
24,tara,308,2015-02-13 10:08:00,483.5997069089581,2015-02-13 02:22:00
25,jerusalem_muni,3,2015-02-13 23:12:00,515.5159466025804,2015-02-13 15:20:00
26,yes,964,2015-02-14 05:48:00,262.8039518477734,2015-02-14 02:40:00
27,tara,257,2015-02-14 13:17:00,56.09507312467525,2015-02-14 12:37:00
28,tnuva,805,2015-02-15 10:35:00,673.4396881834132,2015-02-15 02:50:00
29,bituch_leumi,110,2015-02-15 15:17:00,211.47629578967008,2015-02-15 12:53:00
30,jerusalem_muni,957,2015-02-16 09:15:00,435.2199404432855,2015-02-16 02:43:00
31,hot,658,2015-02-16 17:17:00,245.6386542599461,2015-02-16 14:00:00
32,intel,203,2015-02-17 06:44:00,479.5237129618206,2015-02-17 00:23:00
33,hot,921,2015-02-17 21:23:00,450.5748216017351,2015-02-17 14:10:00
34,jerusalem_muni,72,2015-02-18 05:11:00,371.3829683442916,2015-02-18 00:52:00
35,jerusalem_muni,291,2015-02-18 17:41:00,424.09832302891476,2015-02-18 12:12:00
36,tara,465,2015-02-19 08:34:00,483.73158946288396,2015-02-19 01:57:00
37,bituch_leumi,592,2015-02-19 17:20:00,149.27931478366935,2015-02-19 15:09:00
38,osem,977,2015-02-20 07:01:00,319.4118126481582,2015-02-20 02:22:00
39,aminach,323,2015-02-20 21:05:00,486.1921854051986,2015-02-20 15:12:00
40,intel,715,2015-02-21 07:37:00,302.7535791044604,2015-02-21 03:54:00
41,tara,86,2015-02-21 17:47:00,294.721466883323,2015-02-21 14:23:00
42,electricity,999,2015-02-22 08:35:00,472.10845289436145,2015-02-22 02:09:00
43,tnuva,317,2015-02-22 18:49:00,398.43970764039267,2015-02-22 14:12:00
44,jerusalem_muni,717,2015-02-23 07:23:00,386.8244421866447,2015-02-23 02:52:00
45,intel,554,2015-02-23 19:50:00,286.4071675055734,2015-02-23 15:15:00
46,angel,201,2015-02-24 04:35:00,195.89286391052144,2015-02-24 02:19:00
47,bituch_leumi,422,2015-02-24 18:06:00,350.9218912828659,2015-02-24 13:35:00
48,bituch_leumi,540,2015-02-24 07:15:00,413.3049325347979,
49,hot,49,2015-02-25 15:33:00,151.28442303905507,2015-02-25 13:22:00
50,bituch_leumi,495,2015-02-26 02:54:00,113.56338264809615,2015-02-26 01:21:00
51,yes,819,2015-02-26 13:25:00,75.43106378092361,2015-02-26 12:17:00
52,aminach,474,2015-02-27 05:04:00,295.18903980285234,2015-02-27 01:47:00
53,intel,455,2015-02-27 14:35:00,193.65814160322978,2015-02-27 12:04:00
