,customer,driver_id,end_time,km,start_time
0,angel,633,2015-06-01 06:19:00,460.23538950374154,2015-06-01 00:12:00
1,angel,741,2015-06-01 16:26:00,319.89966371791996,2015-06-01 12:07:00
2,bituch_leumi,98,2015-06-02 03:45:00,83.1777019632173,2015-06-02 02:40:00
3,osem,103,2015-06-02 15:56:00,73.30756579680944,2015-06-02 14:57:00
4,yes,994,2015-06-03 05:19:00,123.90902554393702,2015-06-03 03:56:00
5,aminach,677,2015-06-03 17:47:00,376.48876652101154,2015-06-03 12:05:00
6,yes,790,2015-06-04 08:43:00,575.8349310098253,2015-06-04 00:52:00
7,osem,748,2015-06-04 20:54:00,416.47905834245654,2015-06-04 14:03:00
8,yes,901,2015-06-05 05:22:00,245.08567534795313,2015-06-05 01:28:00
9,osem,292,2015-06-05 20:46:00,560.0763095039632,2015-06-05 13:58:00
10,hot,737,2015-06-06 07:32:00,365.9329696170748,2015-06-06 03:17:00
11,angel,697,2015-06-06 14:56:00,174.23360889754053,2015-06-06 12:12:00
12,hot,252,2015-06-07 08:16:00,377.60026436294515,2015-06-07 03:37:00
13,tnuva,809,2015-06-07 18:52:00,436.6286561637245,2015-06-07 12:26:00
14,yes,429,2015-06-08 07:44:00,383.8491587277371,2015-06-08 02:09:00
15,tara,711,2015-06-08 20:05:00,264.13652589889136,2015-06-08 15:50:00
16,electricity,633,2015-06-09 08:23:00,371.5842942521366,2015-06-09 03:20:00
17,bituch_leumi,32,2015-06-09 16:02:00,183.26405053574842,2015-06-09 13:12:00
18,tnuva,970,2015-06-10 08:11:00,262.2336093574635,2015-06-10 03:51:00
19,bituch_leumi,753,2015-06-10 16:46:00,317.62288561238285,2015-06-10 12:39:00
20,tnuva,674,2015-06-11 04:50:00,133.22992901794822,2015-06-11 03:09:00
21,tara,46,2015-06-11 15:01:00,95.62525111985273,2015-06-11 13:45:00
22,iaf,104,2015-06-12 07:01:00,348.4959046809886,2015-06-12 01:34:00
23,tnuva,214,2015-06-12 18:10:00,222.88773248620265,2015-06-12 14:28:00
24,electricity,503,2015-06-13 05:30:00,177.7675720191592,2015-06-13 02:48:00
25,electricity,406,,228.0760370260838,2015-06-13 14:31:00
26,osem,358,2015-06-14 07:28:00,501.0726249981967,2015-06-14 00:30:00
27,yes,682,2015-06-14 20:25:00,502.2575896227594,2015-06-14 12:38:00
28,tara,912,2015-06-15 03:04:00,222.52504107572324,2015-06-15 00:27:00
29,iaf,714,2015-06-15 19:23:00,452.55230137135675,2015-06-15 13:55:00
30,intel,867,2015-06-16 09:28:00,374.2533461897707,2015-06-16 03:30:00
31,osem,349,2015-06-16 22:04:00,569.256115842208,2015-06-16 15:21:00
32,aminach,878,2015-06-17 06:01:00,321.3397319999225,2015-06-17 01:56:00
33,angel,442,2015-06-17 18:13:00,221.47196421582728,2015-06-17 15:45:00
34,iaf,286,2015-06-18 02:18:00,61.83275120704361,2015-06-18 01:33:00
35,hot,445,2015-06-18 15:12:00,166.1832626053477,2015-06-18 12:32:00
36,aminach,818,2015-06-19 05:48:00,150.1839694879384,2015-06-19 03:36:00
37,iaf,684,2015-06-19 14:41:00,49.569312180712544,2015-06-19 13:57:00
38,tara,656,2015-06-20 06:48:00,298.70532426923927,2015-06-20 03:00:00
39,hot,688,2015-06-20 16:07:00,42.393412562528596,2015-06-20 15:33:00
40,electricity,498,2015-06-21 02:25:00,71.99672941656624,2015-06-21 01:26:00
41,intel,832,2015-06-21 20:54:00,355.25233036669533,2015-06-21 15:30:00
42,yes,231,2015-06-22 03:50:00,121.2821261058839,2015-06-22 02:08:00
43,iaf,979,2015-06-22 16:10:00,36.817609246917634,2015-06-22 15:38:00
44,tnuva,175,2015-06-23 10:14:00,568.2124795206726,2015-06-23 02:41:00
45,yes,882,2015-06-23 16:55:00,263.10611129735446,2015-06-23 12:42:00
46,iaf,151,2015-06-24 06:02:00,363.4094600692077,2015-06-24 01:05:00
47,jerusalem_muni,841,2015-06-24 18:40:00,411.43803217464546,2015-06-24 13:33:00
48,iaf,875,2015-06-25 08:25:00,457.37550912629547,2015-06-25 02:29:00
49,hot,764,2015-06-25 17:27:00,232.7651831165927,2015-06-25 14:20:00
50,tara,986,2015-06-26 07:12:00,438.82378022496897,2015-06-26 01:15:00
51,tara,637,2015-06-26 15:49:00,59.03891601355846,2015-06-26 14:50:00
52,yes,283,2015-06-27 07:40:00,305.5123141637634,2015-06-27 03:15:00
53,aminach,82,2015-06-27 19:32:00,373.3579100055826,2015-06-27 14:46:00
