,customer,driver_id,end_time,km,start_time
0,osem,281,2015-06-01 08:05:00,424.8095730841678,2015-06-01 02:40:00
1,yes,477,2015-06-01 15:54:00,103.1506373937859,2015-06-01 14:27:00
2,aminach,998,2015-06-02 09:20:00,384.3598661378928,2015-06-02 03:23:00
3,angel,878,2015-06-02 18:54:00,404.5169656765488,2015-06-02 12:19:00
4,tnuva,978,2015-06-03 03:18:00,153.43272512677896,2015-06-03 01:22:00
5,aminach,304,2015-06-03 17:28:00,353.3968461211078,2015-06-03 12:56:00
6,intel,70,2015-06-04 05:08:00,116.66556297311352,2015-06-04 03:13:00
7,tara,382,2015-06-04 19:12:00,317.154127175155,2015-06-04 14:31:00
8,intel,689,2015-06-05 07:36:00,309.102232113013,2015-06-05 03:49:00
9,jerusalem_muni,166,2015-06-05 20:55:00,369.79612442387173,2015-06-05 15:03:00
10,tara,104,2015-06-06 05:28:00,252.3042363624226,2015-06-06 02:27:00
11,bituch_leumi,101,2015-06-06 14:26:00,84.2305648199072,2015-06-06 13:04:00
12,aminach,494,2015-06-07 07:18:00,591.4624776192394,2015-06-07 00:41:00
13,electricity,629,2015-06-07 16:40:00,314.2787457832109,2015-06-07 12:18:00
14,jerusalem_muni,333,2015-06-08 07:13:00,354.3125553337491,2015-06-08 02:37:00
15,angel,196,2015-06-08 14:46:00,189.89753073080584,2015-06-08 12:13:00
16,osem,983,2015-06-09 03:01:00,89.84953720289943,2015-06-09 01:57:00
17,osem,133,2015-06-09 17:53:00,357.81425909325304,2015-06-09 13:37:00
18,tnuva,177,2015-06-10 07:55:00,358.1724236246251,2015-06-10 02:11:00
19,osem,908,2015-06-10 16:47:00,259.179271340711,2015-06-10 13:16:00
20,intel,379,2015-06-11 04:46:00,189.91204964487721,2015-06-11 02:02:00
21,yes,470,2015-06-11 20:34:00,1331.9117388853567,2015-06-11 14:34:00
22,hot,195,2015-06-12 04:34:00,317.9944696546655,2015-06-12 00:00:00
23,tnuva,320,2015-06-12 22:02:00,483.78069682765516,2015-06-12 14:58:00
24,osem,619,2015-06-13 03:17:00,202.38867425655732,2015-06-13 00:28:00
25,intel,542,2015-06-13 20:47:00,513.7368899570688,2015-06-13 13:49:00
26,tnuva,747,2015-06-14 06:18:00,495.44127906566973,2015-06-14 00:29:00
27,intel,39,2015-06-14 17:53:00,277.3651317001639,2015-06-14 13:24:00
28,electricity,486,2015-06-15 07:36:00,450.83047332311406,2015-06-15 00:41:00
29,hot,667,2015-06-15 22:41:00,613.0216838811796,2015-06-15 15:47:00
30,aminach,805,2015-06-16 05:20:00,343.5589920809862,2015-06-16 00:26:00
31,jerusalem_muni,476,2015-06-16 18:09:00,239.45750652354405,2015-06-16 15:29:00
32,tara,553,2015-06-17 03:03:00,186.63685857340008,2015-06-17 00:51:00
33,electricity,329,2015-06-17 18:40:00,447.07286344963427,2015-06-17 13:18:00
34,intel,60,2015-06-18 08:53:00,426.69465456922626,2015-06-18 03:49:00
35,angel,463,2015-06-18 18:24:00,497.3668302691087,2015-06-18 12:06:00
36,aminach,525,2015-06-19 06:57:00,227.86369485894494,2015-06-19 03:15:00
37,jerusalem_muni,879,2015-06-19 22:06:00,502.12463374080306,2015-06-19 15:05:00
38,bituch_leumi,55,2015-06-20 08:52:00,456.5323860104954,2015-06-20 03:46:00
39,aminach,26,2015-06-20 19:58:00,467.9172545497511,2015-06-20 12:18:00
40,tara,242,2015-06-21 07:51:00,464.6935869329613,2015-06-21 00:09:00
41,tara,968,2015-06-21 18:37:00,360.9859196527791,2015-06-21 14:03:00
42,yes,119,2015-06-22 04:14:00,299.49241364553916,2015-06-22 00:33:00
43,aminach,20,2015-06-22 18:28:00,466.5645233237905,2015-06-22 12:16:00
44,bituch_leumi,619,2015-06-23 05:29:00,199.4913992557802,2015-06-23 02:55:00
45,osem,649,2015-06-23 19:06:00,268.0807979062375,2015-06-23 15:44:00
46,iaf,294,2015-06-24 04:48:00,148.38131901078603,2015-06-24 02:28:00
47,angel,78,2015-06-24 17:29:00,373.2725026208237,2015-06-24 12:11:00
48,bituch_leumi,866,2015-06-25 06:03:00,280.1382396412918,2015-06-25 02:24:00
49,iaf,561,2015-06-25 16:34:00,156.25639371354245,2015-06-25 14:16:00
50,angel,464,2015-06-26 07:11:00,392.1751544124556,2015-06-26 02:38:00
51,bituch_leumi,252,2015-06-26 13:12:00,53.05179804757113,2015-06-26 12:27:00
52,electricity,493,2015-06-27 05:35:00,300.2802632942314,2015-06-27 00:58:00
53,electricity,107,2015-06-27 13:22:00,59.59155517457848,2015-06-27 12:42:00
