,customer,driver_id,end_time,km,start_time
0,osem,605,2015-03-01 04:22:00,40.39410933542189,2015-03-01 03:51:00
1,yes,593,2015-03-01 19:32:00,386.64332671530434,2015-03-01 14:48:00
2,intel,560,2015-03-02 02:43:00,167.70399262314686,2015-03-02 00:10:00
3,yes,589,2015-03-02 22:34:00,501.9429848515613,2015-03-02 14:40:00
4,intel,375,2015-03-03 03:38:00,121.71270726246162,2015-03-03 02:13:00
5,electricity,583,2015-03-03 21:29:00,466.7634344035464,2015-03-03 15:16:00
6,tnuva,854,2015-03-04 04:40:00,331.9101901203516,2015-03-04 00:26:00
7,yes,708,2015-03-04 17:54:00,378.7175874580196,2015-03-04 12:42:00
8,hot,664,2015-03-05 09:34:00,476.1569910906231,2015-03-05 03:23:00
9,electricity,262,2015-03-05 14:39:00,141.59202192729495,2015-03-05 12:58:00
10,yes,211,2015-03-06 05:26:00,163.5035781697589,2015-03-06 02:47:00
11,intel,739,2015-03-06 21:16:00,526.0331164946455,2015-03-06 13:56:00
12,tara,842,2015-03-07 08:11:00,320.13918010894974,2015-03-07 03:34:00
13,yes,162,2015-03-07 22:33:00,600.6476202671508,2015-03-07 15:32:00
14,electricity,15,2015-03-08 04:21:00,173.5359177799393,2015-03-08 02:20:00
15,hot,747,2015-03-08 15:52:00,208.08772413152997,2015-03-08 13:08:00
16,jerusalem_muni,409,2015-03-09 07:36:00,537.7281447024686,2015-03-09 01:34:00
17,electricity,960,2015-03-09 21:32:00,603.3446498351636,2015-03-09 14:39:00
18,angel,356,2015-03-10 03:41:00,163.705399873273,2015-03-10 01:23:00
19,osem,106,2015-03-10 15:28:00,238.47701494698103,2015-03-10 12:15:00
20,tnuva,817,2015-03-11 02:58:00,433.80621403935754,2015-03-11 00:37:00
21,iaf,968,2015-03-11 13:59:00,52.296261389212475,2015-03-11 13:13:00
22,yes,44,2015-03-12 04:21:00,77.54535585508219,2015-03-12 03:12:00
23,iaf,506,2015-03-12 16:50:00,257.1506794595249,2015-03-12 13:07:00
24,yes,904,2015-03-13 05:13:00,166.80394512609013,2015-03-13 03:16:00
25,aminach,430,2015-03-13 14:02:00,116.14531943927624,2015-03-13 12:12:00
26,osem,91,2015-03-14 02:31:00,111.46245754007319,2015-03-14 00:47:00
27,intel,159,2015-03-14 17:27:00,414.68191310762853,2015-03-14 12:43:00
28,angel,890,2015-03-15 09:48:00,505.90378230042006,2015-03-15 03:11:00
29,electricity,80,2015-03-15 20:16:00,498.32597731275166,2015-03-15 13:50:00
30,iaf,190,2015-03-16 05:42:00,276.0023873734017,2015-03-16 01:07:00
31,hot,938,2015-03-16 16:31:00,303.28636157004337,2015-03-16 12:07:00
32,aminach,444,2015-03-17 09:03:00,407.11005679382566,2015-03-17 03:21:00
33,electricity,417,2015-03-17 16:24:00,304.58303722520503,2015-03-17 12:57:00
34,intel,616,2015-03-18 07:31:00,417.0702515558636,2015-03-18 00:49:00
35,angel,284,2015-03-18 18:27:00,199.73618845602115,2015-03-18 15:10:00
36,iaf,545,2015-03-19 05:25:00,125.07340897060416,2015-03-19 03:39:00
37,bituch_leumi,743,2015-03-19 21:56:00,462.7290656259562,2015-03-19 15:00:00
38,iaf,511,2015-03-20 03:26:00,76.5457072868911,2015-03-20 02:30:00
39,yes,163,2015-03-20 16:06:00,123.7014996541128,2015-03-20 14:19:00
40,bituch_leumi,245,2015-03-21 03:45:00,116.30976934780672,2015-03-21 02:08:00
41,tnuva,820,2015-03-21 17:29:00,267.4089784365917,2015-03-21 13:23:00
42,jerusalem_muni,517,2015-03-22 07:28:00,390.7205981608738,2015-03-22 01:32:00
43,yes,96,2015-03-22 21:37:00,509.3248706069063,2015-03-22 14:03:00
44,yes,515,2015-03-23 04:18:00,255.83388955012347,2015-03-23 00:45:00
45,aminach,985,2015-03-23 20:13:00,516.2894707619503,2015-03-23 13:58:00
46,tara,42,2015-03-24 10:18:00,550.3900776849315,2015-03-24 02:33:00
47,yes,872,2015-03-24 14:52:00,44.94161014297413,2015-03-24 14:17:00
48,angel,580,2015-03-25 09:08:00,397.5215877833438,2015-03-25 03:45:00
49,yes,576,2015-03-25 16:48:00,174.81243006429773,2015-03-25 14:07:00
50,osem,211,2015-03-26 04:11:00,276.8025047513696,2015-03-26 01:06:00
51,tara,149,2015-03-26 15:29:00,228.58028631412967,2015-03-26 12:05:00
52,yes,709,2015-03-27 09:08:00,376.2808043174613,2015-03-27 03:11:00
53,tara,175,2015-03-27 16:34:00,222.93475204390242,2015-03-27 12:55:00
