,customer,driver_id,end_time,km,start_time
0,tara,146,2015-05-01 09:14:00,460.6625904056962,2015-05-01 03:36:00
1,hot,393,2015-05-27 16:41:00,228.178394235306,
2,aminach,449,2015-05-02 08:25:00,453.39058051541605,2015-05-02 03:06:00
3,angel,977,2015-05-02 20:17:00,491.8864320076662,2015-05-02 13:42:00
4,intel,341,2015-05-03 04:35:00,284.1297758430144,2015-05-03 00:31:00
5,intel,199,2015-05-03 18:04:00,174.0989705054254,2015-05-03 15:33:00
6,iaf,725,2015-05-04 07:26:00,549.9133822063272,2015-05-04 01:09:00
7,iaf,574,2015-05-04 21:08:00,522.1171629379577,2015-05-04 15:10:00
8,jerusalem_muni,443,2015-05-05 09:19:00,389.08080145875215,2015-05-05 03:32:00
9,aminach,546,2015-05-05 19:17:00,1249.7676195128563,2015-05-05 13:52:00
10,hot,151,2015-05-06 06:49:00,405.05969551847943,2015-05-06 00:17:00
11,bituch_leumi,795,2015-05-06 14:45:00,112.01522564482467,2015-05-06 13:14:00
12,electricity,632,2015-05-07 04:39:00,365.58008133132347,2015-05-07 00:33:00
13,bituch_leumi,123,2015-05-07 22:41:00,540.8081500544621,2015-05-07 14:49:00
14,osem,575,2015-05-08 04:39:00,223.52212599471528,2015-05-08 01:50:00
15,aminach,571,2015-05-08 21:01:00,467.0858087523987,2015-05-08 14:27:00
16,electricity,339,2015-05-09 10:02:00,428.66316914353155,2015-05-09 03:36:00
17,intel,478,2015-05-09 15:55:00,136.42115530053115,2015-05-09 13:53:00
18,tara,19,2015-05-10 03:54:00,267.35615960113086,2015-05-10 00:03:00
19,intel,698,2015-05-10 19:05:00,344.4867502383238,2015-05-10 14:56:00
20,tara,631,2015-05-11 05:47:00,347.21439220937316,2015-05-11 00:42:00
21,tara,715,2015-05-11 18:23:00,456.56137705723376,2015-05-11 12:22:00
22,electricity,752,2015-05-12 07:35:00,329.3612542390273,2015-05-12 03:05:00
23,tnuva,504,2015-05-12 19:42:00,476.3422840716253,2015-05-12 12:50:00
24,angel,878,2015-05-13 03:27:00,126.42386309566241,2015-05-13 01:36:00
25,tnuva,308,2015-05-13 16:47:00,283.8184384490741,2015-05-13 13:15:00
26,bituch_leumi,886,2015-05-14 01:48:00,49.37770323812388,2015-05-14 01:06:00
27,tnuva,819,2015-05-14 21:16:00,477.27624009559617,2015-05-14 13:36:00
28,angel,255,2015-05-15 03:38:00,126.95184021158298,2015-05-15 01:51:00
29,electricity,412,2015-05-15 20:55:00,481.9137608177852,2015-05-15 14:40:00
30,osem,930,2015-05-16 04:03:00,87.67588448456605,2015-05-16 02:44:00
31,hot,535,2015-05-16 16:10:00,133.54340389718791,2015-05-16 14:22:00
32,bituch_leumi,800,2015-05-17 04:31:00,305.0698361549843,2015-05-17 00:52:00
33,electricity,488,2015-05-17 19:24:00,341.52342129587817,2015-05-17 15:00:00
34,iaf,8,,249.79222603257097,2015-05-18 01:22:00
35,osem,334,2015-05-18 16:12:00,121.95085370145186,2015-05-18 14:50:00
36,angel,514,2015-05-19 07:49:00,310.4948085131298,2015-05-19 03:57:00
37,aminach,378,2015-05-19 22:51:00,517.4422109681892,2015-05-19 15:47:00
38,tnuva,895,2015-05-20 02:53:00,126.30030960901337,2015-05-20 00:57:00
39,jerusalem_muni,449,2015-05-20 14:51:00,121.99395602947999,2015-05-20 13:27:00
40,aminach,22,2015-05-21 07:01:00,462.088315506165,2015-05-21 01:27:00
41,tnuva,888,2015-05-21 17:01:00,186.18565200865987,2015-05-21 14:40:00
42,jerusalem_muni,216,2015-05-22 05:38:00,169.927653237581,2015-05-22 03:27:00
43,tnuva,813,2015-05-22 16:42:00,62.949489089258726,2015-05-22 15:56:00
44,angel,868,2015-05-23 04:37:00,186.2489964645856,2015-05-23 02:02:00
45,hot,736,2015-05-23 17:58:00,319.7923023187621,2015-05-23 13:29:00
46,tnuva,567,2015-05-24 08:38:00,698.8689421821583,2015-05-24 00:50:00
47,electricity,530,2015-05-24 18:47:00,455.52909573325115,2015-05-24 12:32:00
48,hot,439,2015-05-25 03:00:00,204.21506809229746,2015-05-25 00:15:00
49,iaf,271,2015-05-25 14:52:00,175.52782923340624,2015-05-25 12:22:00
50,intel,452,2015-05-26 06:38:00,282.47847801683633,2015-05-26 02:07:00
51,bituch_leumi,264,2015-05-26 15:28:00,210.55188986079833,2015-05-26 12:11:00
52,electricity,58,2015-05-27 11:50:00,579.299850973381,2015-05-27 03:52:00
53,hot,583,2015-05-27 16:46:00,246.41277219881303,2015-05-27 13:46:00
