,customer,driver_id,end_time,km,start_time
0,aminach,977,2015-11-01 04:30:00,311.1105989304206,2015-11-01 00:34:00
1,tara,827,2015-11-01 22:03:00,541.4486474432342,2015-11-01 15:47:00
2,electricity,82,2015-11-02 04:13:00,285.9424694924251,2015-11-02 00:40:00
3,intel,265,2015-11-02 14:54:00,77.46708532216789,2015-11-02 13:43:00
4,tara,88,2015-11-03 05:56:00,434.0858871371207,2015-11-03 00:42:00
5,aminach,313,2015-11-03 19:19:00,407.23768283275047,2015-11-03 13:40:00
6,angel,218,2015-11-04 05:49:00,200.5600288392533,2015-11-04 03:28:00
7,intel,113,2015-11-04 15:37:00,258.6863020051374,2015-11-04 12:03:00
8,iaf,435,2015-11-05 08:57:00,627.728744851557,2015-11-05 01:27:00
9,tnuva,534,2015-11-05 17:03:00,194.20846845336425,2015-11-05 13:49:00
10,osem,855,2015-11-06 04:53:00,296.3154268765827,2015-11-06 01:27:00
11,aminach,896,2015-11-06 22:43:00,548.8751126271535,2015-11-06 14:58:00
12,yes,375,2015-11-07 07:16:00,425.49885086326515,2015-11-07 02:19:00
13,aminach,453,2015-11-07 16:19:00,116.67170896327568,2015-11-07 14:56:00
14,electricity,888,2015-11-08 08:29:00,372.97666614925015,2015-11-08 03:37:00
15,tnuva,658,2015-11-08 19:07:00,530.0303380306116,2015-11-08 12:50:00
16,hot,262,2015-11-09 04:36:00,354.0012782721768,2015-11-09 00:15:00
17,osem,318,2015-11-09 19:44:00,384.5640455483922,2015-11-09 14:24:00
18,electricity,4,2015-11-10 09:05:00,372.1700766724616,2015-11-10 03:29:00
19,tara,165,2015-11-10 17:27:00,389.4232350921847,2015-11-10 12:48:00
20,electricity,885,2015-11-11 05:38:00,217.11168044273342,2015-11-11 02:52:00
21,osem,445,2015-11-11 16:30:00,126.0015541957798,2015-11-11 15:01:00
22,tara,905,2015-11-12 07:58:00,568.2060731346407,2015-11-12 00:28:00
23,intel,423,2015-11-12 18:46:00,338.9845574092531,2015-11-12 14:55:00
24,tara,26,2015-11-13 02:36:00,102.0006926350352,2015-11-13 01:23:00
25,yes,914,2015-11-13 18:41:00,264.53464056475224,2015-11-13 14:57:00
26,jerusalem_muni,345,2015-11-14 07:40:00,402.0105100477279,2015-11-14 02:01:00
27,jerusalem_muni,904,2015-11-14 14:25:00,101.64948257395744,2015-11-14 12:52:00
28,aminach,517,2015-11-15 08:59:00,515.4352003744393,2015-11-15 01:42:00
29,iaf,997,2015-11-15 21:01:00,438.5678219224824,2015-11-15 15:56:00
30,aminach,111,2015-11-16 08:34:00,494.3403334720852,2015-11-16 02:59:00
31,electricity,367,2015-11-16 19:39:00,582.3904811273918,2015-11-16 12:58:00
32,tara,542,2015-11-17 07:01:00,410.6713712228901,2015-11-17 01:15:00
33,iaf,435,2015-11-17 17:50:00,195.07681503710785,2015-11-17 14:39:00
34,hot,399,2015-11-18 08:02:00,458.1040536356339,2015-11-18 02:21:00
35,iaf,633,2015-11-18 15:29:00,213.61916105788825,2015-11-18 12:04:00
36,bituch_leumi,201,2015-11-19 06:50:00,255.5478027999379,2015-11-19 03:22:00
37,hot,373,2015-11-19 22:53:00,623.6155662184827,2015-11-19 15:06:00
38,angel,599,2015-11-20 08:25:00,424.14834738212414,2015-11-20 02:27:00
39,tara,57,2015-11-20 19:41:00,490.80315689295793,2015-11-20 12:40:00
40,aminach,416,2015-11-21 07:26:00,339.3080484642066,2015-11-21 02:39:00
41,yes,698,2015-11-21 17:42:00,107.93770575063654,2015-11-21 15:57:00
42,angel,214,2015-11-22 04:19:00,104.85555810898465,2015-11-22 02:56:00
43,osem,748,2015-11-22 19:19:00,214.98903900742343,2015-11-22 15:46:00
44,hot,79,2015-11-23 03:52:00,261.9781470544328,2015-11-23 00:36:00
45,angel,559,2015-11-23 20:04:00,506.41195207631046,2015-11-23 14:03:00
46,intel,370,2015-11-24 04:23:00,64.04176766965296,2015-11-24 03:37:00
47,angel,601,2015-11-24 19:45:00,376.85201807953655,2015-11-24 14:11:00
48,angel,548,2015-11-25 02:53:00,103.34904568910912,2015-11-25 01:22:00
49,jerusalem_muni,217,2015-11-25 16:29:00,93.63302025599538,2015-11-25 15:22:00
50,bituch_leumi,532,2015-11-26 09:04:00,535.6257760156171,2015-11-26 02:36:00
51,aminach,874,2015-11-26 15:57:00,292.7525104365295,2015-11-26 12:13:00
52,tara,918,2015-11-27 02:39:00,129.48197912647842,2015-11-27 00:43:00
53,tara,496,2015-11-27 16:06:00,202.30130006830066,2015-11-27 13:36:00
