,customer,driver_id,end_time,km,start_time
0,iaf,879,2015-11-01 05:31:00,294.02069063597565,2015-11-01 01:13:00
1,aminach,581,2015-11-01 20:14:00,567.8542160734713,2015-11-01 13:36:00
2,osem,212,2015-11-02 04:24:00,275.5735415904203,2015-11-02 01:04:00
3,osem,885,2015-11-02 18:17:00,283.09002573840024,2015-11-02 14:46:00
4,intel,884,2015-11-03 06:39:00,431.27878867494894,2015-11-03 01:34:00
5,iaf,100,2015-11-03 19:34:00,428.9743096171375,2015-11-03 12:59:00
6,tnuva,769,2015-11-04 02:09:00,78.74908216405507,2015-11-04 01:06:00
7,angel,867,2015-11-04 18:36:00,180.9572117270076,2015-11-04 15:36:00
8,iaf,291,2015-11-05 03:46:00,84.81104620703653,2015-11-05 02:47:00
9,aminach,731,2015-11-05 18:36:00,261.9652994771226,2015-11-05 14:51:00
10,electricity,483,2015-11-06 06:42:00,417.724840264933,2015-11-06 00:22:00
11,osem,829,2015-11-06 13:27:00,69.1635535149484,2015-11-06 12:31:00
12,tara,639,2015-11-07 09:49:00,613.68514295952,2015-11-07 02:07:00
13,hot,818,2015-11-07 17:36:00,158.30474115057453,2015-11-07 15:49:00
14,aminach,341,2015-11-08 07:31:00,386.9572764117815,2015-11-08 02:30:00
15,electricity,399,2015-11-08 18:07:00,328.679178357874,2015-11-08 13:37:00
16,aminach,504,2015-11-09 07:25:00,362.38221042253406,2015-11-09 01:56:00
17,jerusalem_muni,126,2015-11-09 18:16:00,186.24581466142064,2015-11-09 15:53:00
18,tara,726,2015-11-10 06:34:00,302.93601971780294,2015-11-10 03:12:00
19,tnuva,255,2015-11-10 20:40:00,522.8999549053821,2015-11-10 13:50:00
20,jerusalem_muni,661,2015-11-11 03:34:00,205.7399021198111,2015-11-11 01:15:00
21,yes,333,2015-11-11 17:10:00,179.0979517401076,2015-11-11 14:44:00
22,angel,231,2015-11-12 03:34:00,57.03038267772196,2015-11-12 02:44:00
23,iaf,52,2015-11-12 23:10:00,546.7957232997845,2015-11-12 15:54:00
24,electricity,732,2015-11-13 06:54:00,373.4530157910245,2015-11-13 00:46:00
25,bituch_leumi,417,2015-11-13 19:09:00,1284.9446325739727,2015-11-13 13:44:00
26,tnuva,253,2015-11-14 04:49:00,410.30346543711727,2015-11-14 00:12:00
27,tara,628,2015-11-14 19:28:00,456.3004166945346,2015-11-14 13:49:00
28,aminach,115,2015-11-15 08:53:00,416.7003640172112,2015-11-15 03:40:00
29,electricity,798,2015-11-15 16:12:00,283.85433129842795,2015-11-15 12:41:00
30,bituch_leumi,922,2015-11-16 04:23:00,250.2813655220157,2015-11-16 00:46:00
31,iaf,80,2015-11-16 15:47:00,172.2064222741925,2015-11-16 13:03:00
32,electricity,261,2015-11-17 07:39:00,371.9907476170275,2015-11-17 03:09:00
33,bituch_leumi,101,2015-11-17 22:39:00,500.0452245704258,2015-11-17 15:22:00
34,angel,423,2015-11-18 07:24:00,481.7881550629393,2015-11-18 00:53:00
35,osem,332,2015-11-18 21:48:00,554.0987190442527,2015-11-18 15:19:00
36,hot,278,2015-11-19 02:13:00,77.76290100231671,2015-11-19 01:06:00
37,electricity,557,2015-11-19 19:40:00,451.79771457960555,2015-11-19 13:41:00
38,jerusalem_muni,988,2015-11-20 06:46:00,394.4947929883012,2015-11-20 01:03:00
39,electricity,292,2015-11-22 00:34:00,2517.1232452228764,2015-11-20 12:18:00
40,angel,255,2015-11-21 09:06:00,611.325471264166,2015-11-21 01:55:00
41,yes,458,2015-11-21 15:47:00,85.28405177765953,2015-11-21 14:41:00
42,osem,750,2015-11-22 09:04:00,670.9815387398646,2015-11-22 01:32:00
43,bituch_leumi,524,2015-11-22 19:25:00,514.3256669135422,2015-11-22 12:18:00
44,jerusalem_muni,583,2015-11-23 06:17:00,893.5630512780058,2015-11-23 01:32:00
45,tara,550,2015-11-23 14:34:00,55.57761381455231,2015-11-23 13:43:00
46,tara,433,2015-11-24 01:34:00,112.09046013460511,2015-11-24 00:17:00
47,bituch_leumi,799,2015-11-24 17:44:00,264.4974401108517,2015-11-24 14:36:00
48,osem,617,2015-11-25 08:09:00,611.978158623918,2015-11-25 00:14:00
49,angel,473,2015-11-25 21:05:00,490.45047988420987,2015-11-25 14:53:00
50,iaf,461,2015-11-26 06:09:00,178.93767078028807,2015-11-26 03:31:00
51,electricity,747,2015-11-26 16:21:00,227.94249288141305,2015-11-26 13:22:00
52,tara,368,2015-11-27 04:47:00,69.94942762682041,2015-11-27 03:40:00
53,hot,411,2015-11-27 20:39:00,388.34984536710164,2015-11-27 15:03:00
