,customer,driver_id,end_time,km,start_time
0,tnuva,52,2015-10-01 05:17:00,176.45606789231846,2015-10-01 02:48:00
1,yes,767,2015-10-01 14:47:00,67.88310787150205,2015-10-01 13:57:00
2,electricity,32,2015-10-02 03:33:00,108.69442021592478,2015-10-02 02:05:00
3,osem,730,2015-10-02 18:23:00,394.0384855549053,2015-10-02 13:02:00
4,tnuva,432,2015-10-03 08:30:00,368.30306421520737,2015-10-03 02:52:00
5,electricity,122,2015-10-03 18:51:00,399.45316420672003,2015-10-03 14:19:00
6,tara,210,2015-10-04 05:33:00,251.06444989046784,2015-10-04 02:27:00
7,electricity,116,2015-10-04 21:55:00,592.2783010485416,2015-10-04 13:58:00
8,electricity,157,2015-10-05 06:14:00,338.81573379125723,2015-10-05 02:27:00
9,intel,73,2015-10-05 14:52:00,167.99228004092976,2015-10-05 12:25:00
10,osem,841,2015-10-06 03:49:00,177.9070635964673,2015-10-06 01:22:00
11,angel,400,2015-10-06 14:20:00,119.98599513725999,2015-10-06 12:56:00
12,hot,942,2015-10-07 05:11:00,317.7668680339362,2015-10-07 00:35:00
13,yes,125,2015-10-07 16:02:00,163.52167121488444,2015-10-07 13:59:00
14,bituch_leumi,393,2015-10-08 03:55:00,86.92346725637641,2015-10-08 02:49:00
15,iaf,636,2015-10-08 16:37:00,161.21839233651127,2015-10-08 14:37:00
16,jerusalem_muni,241,2015-10-09 06:50:00,339.2556101916474,2015-10-09 02:18:00
17,tara,26,2015-10-09 20:27:00,617.9629147814574,2015-10-09 13:29:00
18,jerusalem_muni,163,2015-10-09 08:26:00,397.4262537660519,
19,yes,295,2015-10-10 21:44:00,540.4310712634499,2015-10-10 14:16:00
20,iaf,741,2015-10-11 02:03:00,141.03940682439844,2015-10-11 00:26:00
21,osem,802,2015-10-11 15:05:00,158.44334416994676,2015-10-11 13:04:00
22,electricity,429,2015-10-11 08:12:00,104.94851022407951,
23,tnuva,517,2015-10-12 18:00:00,265.1067377549084,2015-10-12 14:17:00
24,jerusalem_muni,965,2015-10-13 07:00:00,369.1277830208613,2015-10-13 01:59:00
25,osem,659,2015-10-13 19:35:00,316.6824386494307,2015-10-13 15:58:00
26,electricity,536,2015-10-14 06:48:00,259.6275101443816,2015-10-14 02:39:00
27,jerusalem_muni,334,2015-10-14 18:52:00,299.51416206305464,2015-10-14 15:05:00
28,aminach,342,2015-10-14 08:10:00,370.2315896141428,
29,electricity,130,2015-10-15 18:37:00,548.5962838706919,2015-10-15 12:26:00
30,angel,258,2015-10-16 07:55:00,402.80164563757864,2015-10-16 01:52:00
31,electricity,752,2015-10-16 19:56:00,559.1093573717101,2015-10-16 13:29:00
32,tnuva,158,2015-10-17 05:44:00,379.2459382591142,2015-10-17 00:56:00
33,intel,91,2015-10-17 17:38:00,280.87466042167915,2015-10-17 14:04:00
34,bituch_leumi,850,2015-10-18 06:10:00,352.20378989444,2015-10-18 02:08:00
35,yes,97,2015-10-18 18:56:00,449.34833875060355,2015-10-18 12:21:00
36,bituch_leumi,260,2015-10-19 04:09:00,51.8774629940523,2015-10-19 03:23:00
37,bituch_leumi,822,2015-10-21 04:56:00,2522.0586940754806,2015-10-19 14:32:00
38,iaf,830,2015-10-19 05:46:00,193.95047351652747,
39,tnuva,579,2015-10-20 15:18:00,58.615358576355284,2015-10-20 14:32:00
40,osem,563,2015-10-21 10:53:00,519.4019719790703,2015-10-21 03:26:00
41,jerusalem_muni,842,2015-10-21 15:56:00,158.60705324247942,2015-10-21 14:08:00
42,iaf,913,2015-10-22 04:38:00,221.7153432585569,2015-10-22 02:05:00
43,iaf,356,2015-10-22 16:26:00,149.99213893493226,2015-10-22 14:43:00
44,aminach,828,2015-10-23 05:30:00,133.76587938959207,2015-10-23 03:50:00
45,jerusalem_muni,605,2015-10-23 20:12:00,417.48524965794127,2015-10-23 15:16:00
46,osem,793,2015-10-24 04:52:00,374.4582042105282,2015-10-24 00:37:00
47,osem,965,2015-10-24 18:57:00,304.5611811216238,2015-10-24 15:23:00
48,aminach,100,2015-10-25 04:25:00,149.52794470525095,2015-10-25 02:13:00
49,angel,718,2015-10-25 16:11:00,119.7398528606092,2015-10-25 14:31:00
50,jerusalem_muni,91,2015-10-26 09:26:00,451.9954074065445,2015-10-26 03:58:00
51,bituch_leumi,698,2015-10-26 15:21:00,178.12978778488852,2015-10-26 12:55:00
52,angel,221,2015-10-27 08:33:00,469.5701942574185,2015-10-27 01:04:00
53,angel,538,2015-10-27 14:17:00,47.112172207691295,2015-10-27 13:34:00
