,customer,driver_id,end_time,km,start_time
0,bituch_leumi,707,2015-10-01 05:50:00,174.58518201200923,2015-10-01 03:39:00
1,tara,847,2015-10-01 17:29:00,486.37275250602977,2015-10-01 12:00:00
2,angel,431,2015-10-02 06:02:00,350.2140501191239,2015-10-02 01:45:00
3,osem,757,2015-10-02 13:35:00,52.60801767280023,2015-10-02 12:55:00
4,jerusalem_muni,354,2015-10-03 02:01:00,136.05187068500675,2015-10-03 00:04:00
5,hot,753,2015-10-03 21:16:00,407.5204389560527,2015-10-03 15:45:00
6,hot,503,2015-10-04 04:59:00,415.0425120177324,2015-10-04 00:16:00
7,iaf,387,2015-10-04 18:02:00,221.97528366427838,2015-10-04 14:55:00
8,electricity,996,2015-10-05 06:26:00,76.02390680559238,2015-10-05 01:34:00
9,angel,629,2015-10-05 16:31:00,286.8988367288673,2015-10-05 12:27:00
10,tnuva,438,2015-10-06 10:06:00,613.2319995743236,2015-10-06 02:49:00
11,jerusalem_muni,468,2015-10-06 16:50:00,363.37582599306205,2015-10-06 12:09:00
12,osem,421,2015-10-07 06:53:00,453.64252351455116,2015-10-07 01:32:00
13,iaf,939,2015-10-07 19:40:00,358.48324785309006,2015-10-07 15:36:00
14,jerusalem_muni,354,2015-10-08 07:51:00,435.3323093076146,2015-10-08 01:58:00
15,electricity,199,2015-10-08 18:58:00,392.0148694312365,2015-10-08 14:11:00
16,jerusalem_muni,877,2015-10-09 09:48:00,494.18822978172545,2015-10-09 03:39:00
17,yes,873,2015-10-09 19:11:00,444.7879637532894,2015-10-09 13:07:00
18,yes,107,2015-10-10 08:49:00,489.3674674977112,2015-10-10 00:52:00
19,osem,99,2015-10-10 19:28:00,469.09477404656894,2015-10-10 13:06:00
20,angel,472,2015-10-11 09:15:00,560.8885958203365,2015-10-11 02:54:00
21,yes,562,2015-10-11 18:52:00,323.16945448711647,2015-10-11 14:52:00
22,aminach,979,2015-10-12 07:18:00,395.65975268699594,2015-10-12 02:02:00
23,aminach,324,2015-10-12 22:19:00,624.652160662439,2015-10-12 14:25:00
24,osem,490,2015-10-13 03:56:00,167.9413041133943,2015-10-13 01:31:00
25,iaf,416,2015-10-13 19:10:00,280.7093245112869,2015-10-13 15:34:00
26,aminach,117,2015-10-14 10:47:00,572.8975044675736,2015-10-14 03:46:00
27,hot,392,2015-10-14 15:32:00,205.04837612882847,2015-10-14 12:51:00
28,osem,503,2015-10-15 05:18:00,612.183060992519,2015-10-15 02:09:00
29,bituch_leumi,506,2015-10-15 17:50:00,380.0728964558603,2015-10-15 13:34:00
30,electricity,162,2015-10-16 04:02:00,313.00650237897554,2015-10-16 00:15:00
31,bituch_leumi,404,2015-10-16 18:31:00,361.5297308073028,2015-10-16 13:27:00
32,yes,636,2015-10-17 02:57:00,122.40284697285013,2015-10-17 01:05:00
33,electricity,6,2015-10-17 18:27:00,409.31537140551166,2015-10-17 12:03:00
34,tara,321,2015-10-18 06:51:00,380.77119839457566,2015-10-18 01:44:00
35,tara,563,2015-10-18 17:51:00,424.1463992126863,2015-10-18 12:39:00
36,hot,30,2015-10-19 02:21:00,132.4559700161691,2015-10-19 00:33:00
37,hot,851,2015-10-19 19:23:00,256.65066231226416,2015-10-19 15:41:00
38,bituch_leumi,55,2015-10-20 09:13:00,377.085096213631,2015-10-20 03:54:00
39,tnuva,929,2015-10-20 20:15:00,529.0250268521986,2015-10-20 12:53:00
40,bituch_leumi,522,2015-10-21 07:37:00,406.5389029471543,2015-10-21 02:44:00
41,intel,992,2015-10-21 14:10:00,129.03920037660205,2015-10-21 12:13:00
42,iaf,956,2015-10-22 08:42:00,485.691061575985,2015-10-22 03:17:00
43,electricity,602,2015-10-22 17:35:00,213.99567091762492,2015-10-22 15:01:00
44,intel,140,2015-10-23 03:46:00,205.99419792183517,2015-10-23 00:21:00
45,jerusalem_muni,974,2015-10-23 15:25:00,121.60228664675168,2015-10-23 13:57:00
46,jerusalem_muni,604,2015-10-24 07:54:00,443.6773198043427,2015-10-24 01:17:00
47,tnuva,116,2015-10-24 18:20:00,407.0379319808626,2015-10-24 12:51:00
48,angel,940,2015-10-25 04:42:00,95.27913756483356,2015-10-25 03:16:00
49,aminach,505,2015-10-24 13:58:00,81.27736175453346,
50,tnuva,709,2015-10-26 01:20:00,58.68084535593674,2015-10-26 00:24:00
51,iaf,668,2015-10-24 19:31:00,493.3744937391031,
52,yes,579,2015-10-27 03:45:00,193.01680628966037,2015-10-27 01:19:00
53,hot,154,2015-10-27 19:27:00,326.9182363720868,2015-10-27 15:09:00
