,customer,driver_id,end_time,km,start_time
0,osem,985,2015-09-01 07:47:00,400.98896509180406,2015-09-01 03:15:00
1,bituch_leumi,458,2015-09-01 16:02:00,272.2116849046497,2015-09-01 12:57:00
2,tnuva,21,2015-09-03 17:03:00,3150.9723553437348,2015-09-02 00:27:00
3,angel,33,2015-09-02 19:53:00,321.688217882798,2015-09-02 15:22:00
4,tara,583,2015-09-03 08:21:00,415.36634215027703,2015-09-03 02:13:00
5,electricity,617,2015-09-03 18:30:00,435.9350650405853,2015-09-03 13:06:00
6,hot,851,2015-09-04 02:46:00,153.61890625914742,2015-09-04 00:27:00
7,osem,159,2015-09-04 17:21:00,293.54574502835084,2015-09-04 13:58:00
8,aminach,222,2015-09-05 04:34:00,212.65752434189034,2015-09-05 01:57:00
9,tnuva,252,2015-09-07 01:57:00,2609.008857607313,2015-09-05 15:28:00
10,tara,812,2015-09-06 03:01:00,59.56568644842154,2015-09-06 02:11:00
11,angel,992,2015-09-06 15:43:00,129.15503761183933,2015-09-06 14:04:00
12,iaf,800,2015-09-07 04:05:00,283.333587451112,2015-09-07 00:14:00
13,jerusalem_muni,579,2015-09-07 18:25:00,298.7319997947182,2015-09-07 14:15:00
14,angel,609,2015-09-08 07:40:00,404.65384907886187,2015-09-08 03:09:00
15,tara,374,2015-09-08 17:44:00,221.76655434664045,2015-09-08 14:30:00
16,jerusalem_muni,685,2015-09-09 04:05:00,158.83486732880215,2015-09-09 02:15:00
17,angel,299,2015-09-09 16:54:00,282.83126117477605,2015-09-09 13:25:00
18,yes,225,2015-09-10 09:23:00,580.8645122258317,2015-09-10 01:53:00
19,aminach,203,2015-09-10 20:26:00,551.7913619176984,2015-09-10 12:51:00
20,tnuva,222,2015-09-11 07:15:00,597.2657600255825,2015-09-11 00:13:00
21,tara,457,2015-09-11 18:33:00,352.92336452268194,2015-09-11 14:11:00
22,tara,50,2015-09-12 03:05:00,62.204660857405386,2015-09-12 02:10:00
23,hot,292,2015-09-12 20:08:00,515.2475207622235,2015-09-12 13:48:00
24,bituch_leumi,161,2015-09-13 11:50:00,669.8689905214273,2015-09-13 03:57:00
25,intel,124,2015-09-13 19:23:00,245.67954349296042,2015-09-13 15:45:00
26,electricity,172,2015-09-14 02:32:00,167.16070729052637,2015-09-14 00:13:00
27,iaf,237,2015-09-14 16:29:00,35.726649813088635,2015-09-14 15:58:00
28,jerusalem_muni,220,2015-09-15 09:42:00,490.4257205510502,2015-09-15 02:37:00
29,intel,553,2015-09-15 14:08:00,91.71361635207293,2015-09-15 12:48:00
30,bituch_leumi,90,2015-09-16 06:48:00,396.2697714035144,2015-09-16 01:37:00
31,electricity,469,2015-09-16 21:56:00,461.04268816387935,2015-09-16 14:44:00
32,tnuva,66,2015-09-17 03:39:00,234.84505849158262,2015-09-17 00:47:00
33,tnuva,164,2015-09-17 17:30:00,386.64862858992996,2015-09-17 13:08:00
34,osem,468,2015-09-18 04:15:00,132.5680978675334,2015-09-18 02:22:00
35,yes,89,2015-09-18 22:47:00,614.2483797194992,2015-09-18 15:39:00
36,iaf,136,2015-09-19 04:18:00,284.6759129570422,2015-09-19 01:07:00
37,angel,123,2015-09-19 20:14:00,453.7694653534436,2015-09-19 12:50:00
38,intel,378,2015-09-20 07:44:00,414.1528229300018,2015-09-20 02:53:00
39,hot,115,2015-09-20 13:13:00,39.45156194151468,2015-09-20 12:40:00
40,tnuva,39,2015-09-21 04:05:00,460.4160071276877,2015-09-21 01:50:00
41,electricity,656,2015-09-21 17:37:00,336.00992959809804,2015-09-21 13:26:00
42,tnuva,877,2015-09-22 06:03:00,351.1869558612437,2015-09-22 00:25:00
43,angel,480,2015-09-22 22:42:00,482.22523433250143,2015-09-22 15:32:00
44,electricity,633,2015-09-23 07:46:00,234.34194441129407,2015-09-23 03:52:00
45,tara,450,2015-09-23 19:37:00,481.2680181389781,2015-09-23 12:14:00
46,aminach,521,2015-09-24 07:32:00,343.064750893219,2015-09-24 01:57:00
47,jerusalem_muni,264,2015-09-24 19:01:00,230.5820173790322,2015-09-24 15:19:00
48,aminach,951,2015-09-25 09:37:00,397.1878021146902,2015-09-25 03:34:00
49,aminach,912,2015-09-25 18:30:00,206.4513328662634,2015-09-25 15:39:00
50,osem,163,2015-09-26 09:51:00,516.9237020727711,2015-09-26 02:14:00
51,osem,745,2015-09-26 15:16:00,236.98322622079294,2015-09-26 12:14:00
52,aminach,209,2015-09-27 08:53:00,493.13986157568047,2015-09-27 02:18:00
53,intel,214,2015-09-27 15:13:00,74.52366841255423,2015-09-27 14:18:00
