,age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,capital-gain,capital-loss,hours-per-week,native-country
0,39,7,77516,9,4,1,1,4,2174,0,40,39
1,50,6,83311,9,2,4,0,4,0,0,13,39
2,38,4,215646,11,0,6,1,4,0,0,40,39
3,53,4,234721,1,2,6,0,2,0,0,40,39
4,28,4,338409,9,2,10,5,2,0,0,40,5
5,37,4,284582,12,2,4,5,4,0,0,40,39
6,49,4,160187,6,3,8,1,2,0,0,16,23
7,52,6,209642,11,2,4,0,4,0,0,45,39
8,31,4,45781,12,4,10,1,4,14084,0,50,39
9,42,4,159449,9,2,4,0,4,5178,0,40,39
10,37,4,280464,15,2,4,0,2,0,0,80,39
11,30,7,141297,9,2,10,0,1,0,0,40,19
12,23,4,122272,9,4,1,3,4,0,0,30,39
13,32,4,205019,7,4,12,1,2,0,0,50,39
14,40,4,121772,8,2,3,0,1,0,0,40,0
15,34,4,245487,5,2,14,0,0,0,0,45,26
16,25,6,176756,11,4,5,3,4,0,0,35,39
17,32,4,186824,11,4,7,4,4,0,0,40,39
18,38,4,28887,1,2,12,0,4,0,0,50,39
19,43,6,292175,12,0,4,4,4,0,0,45,39
20,40,4,193524,10,2,10,0,4,0,0,60,39
21,54,4,302146,11,5,8,4,2,0,0,20,39
22,35,1,76845,6,2,5,0,2,0,0,40,39
23,43,4,117037,1,2,14,0,4,0,2042,40,39
24,59,4,109015,11,0,13,4,4,0,0,40,39
25,56,2,216851,9,2,13,0,4,0,0,40,39
26,19,4,168294,11,4,3,3,4,0,0,40,39
27,54,0,180211,15,2,0,0,1,0,0,60,35
28,39,4,367260,11,0,4,1,4,0,0,80,39
29,49,4,193366,11,2,3,0,4,0,0,40,39
30,23,2,190709,7,4,11,1,4,0,0,52,39
31,20,4,266015,15,4,12,3,2,0,0,44,39
32,45,4,386940,9,0,4,3,4,0,1408,40,39
33,30,1,59951,15,2,1,3,4,0,0,40,39
34,22,7,311512,15,2,8,0,2,0,0,15,39
35,48,4,242406,1,4,7,4,4,0,0,40,33
36,21,4,197200,15,4,7,3,4,0,0,40,39
37,19,4,544091,11,1,1,5,4,0,0,25,39
38,31,4,84154,15,2,12,0,4,0,0,38,0
39,48,6,265477,7,2,10,0,4,0,0,40,39
40,31,4,507875,6,2,7,0,4,0,0,43,39
41,53,6,88506,9,2,10,0,4,0,0,40,39
42,24,4,172987,9,2,13,0,4,0,0,50,39
43,49,4,94638,11,5,1,4,4,0,0,40,39
44,25,4,289980,11,4,6,1,4,0,0,35,39
45,57,1,337895,9,2,10,0,2,0,0,40,39
46,53,4,144361,11,2,7,0,4,0,0,38,39
47,44,4,128354,12,0,4,4,4,0,0,40,39
48,41,7,101603,8,2,3,0,4,0,0,40,39
49,29,4,271466,8,4,10,1,4,0,0,43,39
50,25,4,32275,15,2,4,5,3,0,0,40,39
51,18,4,226956,11,4,8,3,4,0,0,30,0
52,47,4,51835,14,2,10,5,4,0,1902,60,16
53,50,1,251585,9,0,4,1,4,0,0,55,39
54,47,5,109832,11,0,4,1,4,0,0,60,39
55,43,4,237993,15,2,13,0,4,0,0,40,39
56,46,4,216666,4,2,7,0,4,0,0,40,26
57,35,4,56352,8,2,8,0,4,0,0,40,33
58,41,4,147372,11,2,1,0,4,0,0,48,39
59,30,4,188146,11,2,7,0,4,5013,0,40,39
60,30,4,59496,9,2,12,0,4,2407,0,40,39
61,32,0,293936,5,3,0,1,4,0,0,40,0
62,48,4,149640,11,2,14,0,4,0,0,40,39
63,42,4,116632,10,2,10,0,4,0,0,45,39
64,29,4,105598,15,0,13,1,4,0,0,58,39
65,36,4,155537,11,2,3,0,4,0,0,40,39
66,28,4,183175,15,0,1,1,4,0,0,40,39
67,53,4,169846,11,2,1,5,4,0,0,40,39
68,49,5,191681,15,2,4,0,4,0,0,50,39
69,25,0,200681,15,4,0,3,4,0,0,40,39
70,19,4,101509,15,4,10,3,4,0,0,32,39
71,31,4,309974,9,5,12,3,2,0,0,40,39
72,29,6,162298,9,2,12,0,4,0,0,70,39
73,23,4,211678,15,4,7,1,4,0,0,40,39
74,79,4,124744,15,2,10,2,4,0,0,20,39
75,27,4,213921,11,4,8,3,4,0,0,40,26
76,40,4,32214,7,2,1,0,4,0,0,40,39
77,67,0,212759,0,2,0,0,4,0,0,2,39
78,18,4,309634,1,4,8,3,4,0,0,22,39
79,31,2,125927,5,2,5,0,4,0,0,40,39
80,18,4,446839,11,4,12,1,4,0,0,30,39
81,52,4,276515,9,2,8,0,4,0,0,40,5
82,46,4,51618,11,2,8,5,4,0,0,40,39
83,59,4,159937,11,2,12,0,4,0,0,48,39
84,44,4,343591,11,0,3,1,4,14344,0,40,39
85,53,4,346253,11,0,12,3,4,0,0,35,39
86,49,2,268234,11,2,11,0,4,0,0,40,39
87,33,4,202051,12,2,10,0,4,0,0,50,39
88,30,4,54334,6,4,12,1,4,0,0,40,39
89,43,1,410867,10,4,10,1,4,0,0,50,39
90,57,4,249977,8,2,10,0,4,0,0,40,39
91,37,4,286730,15,0,3,4,4,0,0,40,39
92,28,4,212563,15,0,7,4,2,0,0,25,39
93,30,4,117747,11,2,12,5,1,0,1573,35,0
94,34,2,226296,9,2,11,0,4,0,0,40,39
95,29,2,115585,15,4,6,1,4,0,0,50,39
96,48,6,191277,10,2,10,0,4,0,1902,60,39
97,37,4,202683,15,2,12,0,4,0,0,48,39
98,48,4,171095,7,0,4,4,4,0,0,40,9
99,32,1,249409,11,4,8,3,2,0,0,40,39
100,76,4,124191,12,2,4,0,4,0,0,40,39
101,44,4,198282,9,2,4,0,4,15024,0,60,39
102,47,6,149116,12,4,10,1,4,0,0,50,39
103,20,4,188300,15,4,13,3,4,0,0,40,39
104,29,4,103432,11,4,3,1,4,0,0,40,39
105,32,5,317660,11,2,3,0,4,7688,0,40,39
106,17,0,304873,0,4,0,3,4,34095,0,32,39
107,30,4,194901,1,4,6,3,4,0,0,40,39
108,31,2,189265,11,4,1,1,4,0,0,40,39
109,42,4,124692,11,2,6,0,4,0,0,40,39
110,24,4,432376,9,4,12,2,4,0,0,40,39
111,38,4,65324,14,2,10,0,4,0,0,40,39
112,56,6,335605,11,2,8,0,4,0,1887,50,2
113,28,4,377869,15,2,12,5,4,4064,0,25,39
114,36,4,102864,11,4,7,3,4,0,0,40,39
115,53,4,95647,6,2,6,0,4,0,0,50,39
116,56,5,303090,15,2,12,0,4,0,0,50,39
117,49,2,197371,8,2,3,0,2,0,0,40,39
118,55,4,247552,15,2,12,0,4,0,0,56,39
119,22,4,102632,11,4,3,1,4,0,0,41,39
120,21,4,199915,15,4,8,3,4,0,0,40,39
121,40,4,118853,9,2,4,0,4,0,0,60,39
122,30,4,77143,9,4,4,3,2,0,0,40,11
123,29,7,267989,9,2,10,0,4,0,0,50,39
124,19,4,301606,15,4,8,3,2,0,0,35,39
125,47,4,287828,9,2,4,5,4,0,0,40,39
126,20,4,111697,15,4,1,3,4,0,1719,28,39
127,31,4,114937,7,2,1,0,4,0,0,40,39
128,35,0,129305,11,2,0,0,4,0,0,40,39
129,39,4,365739,15,0,3,1,4,0,0,40,39
130,28,4,69621,7,4,12,1,4,0,0,60,39
131,24,4,43323,11,4,8,1,4,0,1762,40,39
132,38,6,120985,11,2,3,0,4,4386,0,35,39
133,37,4,254202,9,2,12,0,4,0,0,50,39
134,46,4,146195,7,0,13,1,2,0,0,36,39
135,38,1,125933,12,2,10,0,4,0,0,40,20
136,43,6,56920,11,2,3,0,4,0,0,60,39
137,27,4,163127,8,2,1,5,4,0,0,35,39
