,annual_salary,suspect_id
0,65472,2454278
1,116136,2188970
2,34512,2240848
3,21936,2914198
4,41424,2298484
5,117960,2306464
6,65136,2759858
7,55908,2195546
8,82752,2729949
9,74436,2446534
10,37224,2254530
11,90072,2677037
12,84024,2221642
13,33336,2546634
14,111096,2417674
15,28644,2278274
16,115008,2315322
17,25368,2013967
18,97188,2659604
19,107388,2849997
20,81948,2797377
21,39924,2304653
22,56592,2849409
23,93612,2447302
24,92016,2606268
25,51972,2400538
26,108660,2156839
27,37236,2113800
28,106716,2377239
29,57792,2260135
30,43380,2735807
31,51876,2428908
32,78012,2279559
33,26532,2389476
34,40116,2203431
35,18672,2029242
36,117156,2089650
37,63756,2887470
38,75804,2814902
39,75096,2563992
40,87012,2618049
41,75048,2122360
42,74892,2654506
43,49524,2111544
44,57168,2028919
45,28548,2128540
46,80304,2846348
47,91032,2279522
48,73932,2137818
49,74088,2454508
50,37956,2547130
51,114612,2848377
52,18348,2208293
53,64524,2171673
54,68700,2547981
55,33780,2680206
56,52488,2137220
57,104364,2061592
58,98340,2329991
59,42072,2430329
60,91464,2663169
61,30240,2783880
62,63624,2252105
63,82296,2234105
64,35832,2801812
65,75156,2948967
66,49512,2781184
67,108360,2639486
68,110196,2051143
69,88320,2626818
70,40536,2059560
71,69216,2443409
72,67368,2166074
73,38640,2562183
74,110124,2024654
75,97368,2984916
76,69936,2544297
77,25020,2278688
78,117228,2398103
79,103632,2754197
80,112428,2110911
81,118224,2636220
82,117804,2588513
83,55056,2949768
84,74112,2104420
85,53124,2619390
86,74148,2203789
87,89796,2157234
88,97848,2906734
89,25140,2102326
90,80856,2673370
91,40764,2694196
92,96900,2080427
93,94284,2629692
94,103956,2840215
95,81684,2930631
96,41208,2215465
97,19392,2296264
98,60000,2793075
99,60384,2704785
100,85104,2893350
101,25500,2075932
102,99732,2498797
103,113700,2129452
104,50784,2211513
105,26160,2322352
106,105408,2185926
107,36144,2482912
108,74616,2114328
109,114984,2054836
110,53628,2860880
111,96420,2212105
112,54816,2644767
113,72756,2114740
114,107592,2465609
115,86748,2582288
116,90120,2401581
117,79236,2219200
118,80772,2390508
119,25440,2951066
120,37344,2111700
121,59508,2737377
122,113964,2240803
123,32940,2531625
124,34620,2447603
125,22008,2926066
126,102840,2907257
127,54600,2323189
128,18948,2937944
129,70920,2400004
130,112512,2017044
131,103584,2912333
132,98256,2723061
133,26460,2584742
134,106584,2378959
135,92976,2639257
136,97848,2590875
137,107328,2365450
138,95892,2660778
139,69024,2050685
140,20952,2897087
141,42528,2991562
142,102180,2305475
143,74928,2723830
144,105996,2997698
145,28332,2455488
146,41220,2518652
147,46584,2159745
148,117852,2371641
149,117888,2386865
150,88692,2847619
151,18696,2549129
152,80052,2780440
153,75948,2506593
154,110232,2500395
155,37932,2200980
156,113556,2146940
157,72372,2581853
158,74196,2892315
159,33240,2854468
160,113112,2538791
161,36708,2760599
162,115812,2101530
163,71100,2172448
164,65952,2245894
165,21084,2207414
166,56520,2847380
167,24768,2854942
168,68976,2404814
169,91320,2402549
170,37356,2739070
171,76236,2064210
172,110484,2256690
173,71652,2854331
174,115932,2325466
175,86892,2196760
176,65004,2124115
177,68700,2585846
178,108852,2911186
179,72888,2373822
180,29472,2321132
181,38568,2387147
182,72336,2966366
183,62352,2709092
184,51408,2872487
