,is_terrorist,suspect_id
3908713,True,3908713
2332495,True,2332495
2985118,True,2985118
2421851,True,2421851
3348324,True,3348324
2330744,True,2330744
2918944,True,2918944
3232123,True,3232123
3455966,True,3455966
3014559,True,3014559
3913638,True,3913638
2433974,True,2433974
3428562,True,3428562
2668889,True,2668889
3104749,True,3104749
3726797,True,3726797
2685370,True,2685370
3235995,True,3235995
2163943,False,2163943
3265688,True,3265688
2628486,True,2628486
3860643,True,3860643
3765946,True,3765946
3256016,True,3256016
3125402,True,3125402
3157326,True,3157326
3294684,True,3294684
3798787,True,3798787
3028402,True,3028402
3704489,True,3704489
3283272,True,3283272
2385611,True,2385611
3586002,True,3586002
2159885,True,2159885
3025648,True,3025648
3805321,True,3805321
3703216,True,3703216
3602933,True,3602933
2887288,True,2887288
3800524,True,3800524
2350659,True,2350659
2184788,True,2184788
3830597,False,3830597
3329617,True,3329617
3013259,True,3013259
3367081,True,3367081
3070697,True,3070697
3427628,True,3427628
3122232,False,3122232
2389762,True,2389762
3561611,True,3561611
3082021,True,3082021
3313241,True,3313241
3841701,True,3841701
3525324,True,3525324
3421538,True,3421538
2069185,True,2069185
2548190,True,2548190
2007415,True,2007415
3690481,True,3690481
3116417,True,3116417
3394370,True,3394370
3406614,True,3406614
2112379,True,2112379
3411171,True,3411171
3991624,True,3991624
2913454,True,2913454
2379141,True,2379141
3391412,True,3391412
3724384,True,3724384
3665702,True,3665702
3638444,True,3638444
3111624,True,3111624
3071316,True,3071316
3338208,True,3338208
2408882,True,2408882
3351132,True,3351132
2796625,True,2796625
2467678,True,2467678
3151454,False,3151454
3536272,True,3536272
3750462,True,3750462
2773150,True,2773150
3862493,True,3862493
2427945,True,2427945
3229211,False,3229211
3315768,True,3315768
3942830,True,3942830
3156473,True,3156473
3104560,True,3104560
2967070,True,2967070
2987035,True,2987035
3555811,True,3555811
3354490,True,3354490
3281865,True,3281865
2592058,True,2592058
2825919,True,2825919
3890366,True,3890366
2851936,True,2851936
3743050,True,3743050
3350496,True,3350496
3946675,True,3946675
2910516,True,2910516
2610748,True,2610748
2205234,True,2205234
2919818,True,2919818
2309542,True,2309542
2959933,True,2959933
3778616,True,3778616
3261937,True,3261937
3732432,True,3732432
3599338,True,3599338
2550153,True,2550153
3027934,True,3027934
3247073,True,3247073
2054714,True,2054714
2720064,True,2720064
3065894,True,3065894
3397352,True,3397352
2226974,True,2226974
3965362,True,3965362
2001003,True,2001003
3765238,True,3765238
3680155,True,3680155
3206986,True,3206986
3632449,True,3632449
3875807,True,3875807
2580761,True,2580761
2712936,True,2712936
2645516,True,2645516
2887417,True,2887417
3909828,True,3909828
3854092,True,3854092
3424675,True,3424675
2302132,True,2302132
3946352,True,3946352
2834593,False,2834593
2143254,False,2143254
3115600,True,3115600
3685194,True,3685194
3275220,True,3275220
2849172,True,2849172
2472408,True,2472408
3710897,True,3710897
3298469,True,3298469
3724160,True,3724160
3062515,True,3062515
2010628,True,2010628
3462273,True,3462273
3842224,True,3842224
2558453,True,2558453
2696497,True,2696497
3706051,False,3706051
3607265,True,3607265
3596352,True,3596352
3244528,True,3244528
3997740,True,3997740
2234977,True,2234977
3900746,False,3900746
2198546,True,2198546
3405012,True,3405012
2881708,True,2881708
3495081,True,3495081
2557491,True,2557491
3727298,True,3727298
2564702,True,2564702
3171024,True,3171024
3972270,True,3972270
3826290,True,3826290
3070042,True,3070042
2267205,True,2267205
2317675,True,2317675
3383924,True,3383924
2576973,True,2576973
3904987,True,3904987
3933878,True,3933878
3986850,True,3986850
3497795,True,3497795
3028697,True,3028697
2016380,True,2016380
3264086,True,3264086
2443237,True,2443237
2779522,True,2779522
3685503,False,3685503
3285022,True,3285022
3082126,True,3082126
2906786,True,2906786
2136501,True,2136501
3807190,True,3807190
2242497,False,2242497
3760503,True,3760503
2731525,True,2731525
3192745,True,3192745
3212652,True,3212652
2743271,True,2743271
3722819,True,3722819
2762141,True,2762141
2828782,False,2828782
3858286,True,3858286
3277783,True,3277783
2148418,True,2148418
2518466,True,2518466
2517884,True,2517884
3860996,True,3860996
2409094,False,2409094
2462085,True,2462085
3120877,False,3120877
2678106,True,2678106
3044466,True,3044466
3187681,True,3187681
2670728,True,2670728
2587104,True,2587104
3444505,True,3444505
3684743,True,3684743
2341528,True,2341528
3541540,True,3541540
2107354,True,2107354
3318269,True,3318269
2993851,True,2993851
3472264,False,3472264
3124944,True,3124944
3351113,True,3351113
3445404,True,3445404
3502964,True,3502964
2474465,True,2474465
3995256,False,3995256
3782106,True,3782106
2227395,True,2227395
3228273,True,3228273
2578191,True,2578191
3199382,True,3199382
3163688,True,3163688
2535703,True,2535703
3634267,True,3634267
3366413,True,3366413
3833213,True,3833213
2596512,True,2596512
2646178,True,2646178
3415053,True,3415053
2774197,True,2774197
3329842,True,3329842
3898273,True,3898273
3811642,True,3811642
3272736,True,3272736
3907443,True,3907443
3822760,True,3822760
2630383,True,2630383
2949603,True,2949603
3417535,True,3417535
3792219,True,3792219
2429655,True,2429655
3975855,True,3975855
3095763,True,3095763
2722345,True,2722345
3511509,True,3511509
2487468,True,2487468
2500089,True,2500089
2803587,True,2803587
3323912,True,3323912
2568462,True,2568462
2004107,True,2004107
2330434,True,2330434
3763511,True,3763511
3942648,True,3942648
3888986,True,3888986
3455989,True,3455989
2046303,True,2046303
3041916,True,3041916
3222446,True,3222446
2915769,True,2915769
3462308,True,3462308
2706288,True,2706288
2297840,True,2297840
3409499,True,3409499
2048124,True,2048124
3472495,True,3472495
3081553,False,3081553
3937981,True,3937981
2457409,True,2457409
2523018,True,2523018
2293630,True,2293630
3267180,False,3267180
3306951,True,3306951
2706522,True,2706522
3353156,False,3353156
3828141,True,3828141
3901819,False,3901819
3231688,True,3231688
3646397,True,3646397
3607203,True,3607203
2552658,True,2552658
3580128,True,3580128
3261787,True,3261787
3478874,True,3478874
3669939,False,3669939
3104514,True,3104514
3132856,True,3132856
2409209,True,2409209
3416076,True,3416076
2543348,True,2543348
3921740,True,3921740
3955035,False,3955035
2161711,True,2161711
3138342,True,3138342
3478290,True,3478290
2757169,True,2757169
3270928,True,3270928
3957108,True,3957108
3654873,True,3654873
3193492,True,3193492
3227675,True,3227675
2257978,True,2257978
3990668,False,3990668
2872471,True,2872471
3830718,True,3830718
3982283,True,3982283
3373994,True,3373994
2857090,True,2857090
3958548,True,3958548
3730308,True,3730308
3776023,True,3776023
3090164,True,3090164
3085727,True,3085727
3486548,True,3486548
3937986,True,3937986
3572025,False,3572025
3795148,False,3795148
3519649,True,3519649
3288341,True,3288341
2407396,True,2407396
3375331,True,3375331
2519125,True,2519125
3334102,True,3334102
3259698,False,3259698
2018316,True,2018316
2675511,True,2675511
2847566,True,2847566
3494329,False,3494329
3070076,True,3070076
3747661,False,3747661
3364426,True,3364426
3308167,True,3308167
3421631,True,3421631
3983592,False,3983592
3250479,True,3250479
2456976,True,2456976
3099632,True,3099632
3638343,True,3638343
2099589,True,2099589
3501824,True,3501824
3228260,True,3228260
2813420,True,2813420
2037603,True,2037603
3666069,False,3666069
2117100,True,2117100
3047537,True,3047537
3181111,False,3181111
2763308,True,2763308
2453020,True,2453020
3169440,True,3169440
2740450,True,2740450
2748155,True,2748155
3410445,True,3410445
2487959,True,2487959
3841805,True,3841805
3444799,True,3444799
3600003,True,3600003
3543375,True,3543375
2193694,True,2193694
3332573,False,3332573
2683078,True,2683078
3457707,True,3457707
3146885,True,3146885
3209728,True,3209728
3912960,True,3912960
3687719,True,3687719
3275182,False,3275182
2798167,True,2798167
2479311,True,2479311
2306047,True,2306047
3743797,True,3743797
2455301,True,2455301
2183535,True,2183535
3258920,False,3258920
3209184,False,3209184
3246298,True,3246298
3088818,True,3088818
2794901,True,2794901
3217167,True,3217167
3124743,True,3124743
2114129,True,2114129
3717416,True,3717416
3657550,True,3657550
3866772,True,3866772
3687429,True,3687429
3472423,True,3472423
3325213,True,3325213
3666162,True,3666162
3565364,True,3565364
3597463,True,3597463
3416930,True,3416930
2588952,True,2588952
2204294,True,2204294
3674975,True,3674975
3887391,True,3887391
3820355,True,3820355
2415400,False,2415400
3996756,True,3996756
3087098,True,3087098
3490554,True,3490554
2766010,True,2766010
2166751,True,2166751
3579999,True,3579999
3059420,True,3059420
3164033,False,3164033
3806754,True,3806754
3830690,True,3830690
2568417,True,2568417
3594617,True,3594617
2092089,True,2092089
3856156,True,3856156
3275177,True,3275177
3756621,False,3756621
3348403,True,3348403
2289878,True,2289878
3497990,True,3497990
3599863,True,3599863
2284757,True,2284757
2357413,False,2357413
3725161,True,3725161
2805861,True,2805861
3672806,False,3672806
3653159,True,3653159
3643815,True,3643815
3712779,True,3712779
3478168,False,3478168
3869126,False,3869126
3233815,True,3233815
3531968,True,3531968
3425510,True,3425510
2303930,True,2303930
2613033,True,2613033
3739977,True,3739977
3510061,True,3510061
3051649,True,3051649
3833145,True,3833145
3375259,True,3375259
2249262,True,2249262
2469125,True,2469125
2111942,True,2111942
3139077,True,3139077
3856149,True,3856149
2949279,True,2949279
3869569,True,3869569
3311144,True,3311144
2430509,True,2430509
3521394,True,3521394
3458523,True,3458523
2456647,True,2456647
2743477,True,2743477
2072056,True,2072056
3032949,True,3032949
3390392,True,3390392
3988392,False,3988392
3347274,True,3347274
3864763,True,3864763
2326680,True,2326680
2616173,True,2616173
3212875,True,3212875
3043785,True,3043785
3812229,True,3812229
2569505,True,2569505
2730330,True,2730330
3445152,False,3445152
2612072,True,2612072
2458690,True,2458690
3297776,False,3297776
2776792,True,2776792
3248592,True,3248592
2663321,True,2663321
3894492,True,3894492
3303045,True,3303045
3976118,True,3976118
3124641,True,3124641
2500009,True,2500009
3759349,True,3759349
2426740,True,2426740
2727576,True,2727576
2451761,True,2451761
3910283,True,3910283
2043493,True,2043493
3335396,True,3335396
2178644,True,2178644
3489674,True,3489674
3966325,True,3966325
3843525,True,3843525
3355451,True,3355451
3794352,True,3794352
3782808,True,3782808
2312714,False,2312714
3631268,True,3631268
2676137,True,2676137
2183572,True,2183572
3570340,True,3570340
3479020,True,3479020
3074617,True,3074617
2905614,True,2905614
2906823,True,2906823
2853879,True,2853879
3456266,True,3456266
2140243,True,2140243
2676957,False,2676957
2881694,True,2881694
2432488,True,2432488
3134389,True,3134389
3369510,True,3369510
3964224,True,3964224
3459298,True,3459298
2555129,True,2555129
2179403,True,2179403
3559438,True,3559438
3433397,True,3433397
3862691,True,3862691
2596842,True,2596842
3430786,True,3430786
3511426,True,3511426
3081414,True,3081414
2796874,True,2796874
3982674,True,3982674
3034423,True,3034423
2198912,True,2198912
3025506,True,3025506
3863459,False,3863459
2996688,True,2996688
2869596,True,2869596
2632775,True,2632775
3655899,True,3655899
3627962,True,3627962
3586690,True,3586690
3902199,True,3902199
2360602,True,2360602
2766516,True,2766516
3609411,False,3609411
3117011,True,3117011
3373233,True,3373233
3641361,True,3641361
3300387,True,3300387
3050753,True,3050753
2546164,True,2546164
3367993,True,3367993
3199576,True,3199576
3321345,True,3321345
3911957,True,3911957
2912544,True,2912544
2667710,True,2667710
3390714,True,3390714
3297827,True,3297827
3803201,True,3803201
3435447,True,3435447
2397810,False,2397810
2313790,True,2313790
3929187,True,3929187
3878187,False,3878187
3485530,True,3485530
3046684,False,3046684
3402273,False,3402273
3783242,True,3783242
2170439,True,2170439
2834716,True,2834716
2117513,True,2117513
3938371,True,3938371
3542099,True,3542099
